indication_mesh_id	indication_mesh_term	category_2015	area_2023
D003928	Diabetic Nephropathies	Diabetes	endocrine
D006333	Heart Failure	Cardiovascular	cardiovascular
D007511	Ischemia	Cardiovascular	signs/symptoms
D051437	Renal Insufficiency	Liver & kidney	other
D055371	Acute Lung Injury	Respiratory	respiratory
D003093	Colitis, Ulcerative	Autoimmune	digestive
D012128	Respiratory Distress Syndrome	Respiratory	respiratory
D001289	Attention Deficit Disorder with Hyperactivity	Neurological/behavioral	psychiatry
D003704	Dementia	Neurological/behavioral	neurology
D003704	Dementia	Neurological/behavioral	psychiatry
D004314	Down Syndrome	Neurological/behavioral	neurology
D004314	Down Syndrome	Neurological/behavioral	congenital
D004827	Epilepsy	Neurological/behavioral	neurology
D006816	Huntington Disease	Neurological/behavioral	neurology
D006816	Huntington Disease	Neurological/behavioral	congenital
D006816	Huntington Disease	Neurological/behavioral	psychiatry
D020961	Lewy Body Disease	Neurological/behavioral	neurology
D020961	Lewy Body Disease	Neurological/behavioral	psychiatry
D008569	Memory Disorders	Neurological/behavioral	
D011041	Poisoning	Neurological/behavioral	other
D006949	Hyperlipidemias	Cardiovascular	metabolic
D006566	Herpesviridae Infections	Infection	infection
D015658	HIV Infections	Infection	infection
D015658	HIV Infections	Infection	immune
D010212	Papilloma	Oncology	
D060737	Reproductive Tract Infections	Infection	infection
D002100	Cachexia	Musculoskeletal	signs/symptoms
D009220	Myositis	Musculoskeletal	musculoskeletal
D009220	Myositis	Musculoskeletal	neurology
D009133	Muscular Atrophy	Neurological/behavioral	neurology
D009133	Muscular Atrophy	Neurological/behavioral	signs/symptoms
D000310	Adrenal Gland Neoplasms	Oncology	oncology
D000740	Anemia	Blood	hematology
D001172	Arthritis, Rheumatoid	Autoimmune	musculoskeletal
D001172	Arthritis, Rheumatoid	Autoimmune	dermatology
D001172	Arthritis, Rheumatoid	Autoimmune	immune
D002292	Carcinoma, Renal Cell	Oncology	
D016889	Endometrial Neoplasms	Oncology	oncology
D008654	Mesothelioma	Oncology	oncology
D009101	Multiple Myeloma	Oncology	oncology
D007938	Leukemia	Oncology	oncology
D007943	Leukemia, Hairy Cell	Oncology	oncology
D008228	Lymphoma, Non-Hodgkin	Oncology	oncology
D016511	Severe Combined Immunodeficiency	Metabolic	congenital
D016511	Severe Combined Immunodeficiency	Metabolic	metabolic
D016511	Severe Combined Immunodeficiency	Metabolic	immune
D001943	Breast Neoplasms	Oncology	oncology
D005185	Fallopian Tube Neoplasms	Oncology	oncology
D010534	Peritoneal Neoplasms	Oncology	oncology
D011565	Psoriasis	Autoimmune	dermatology
D011697	Purpura, Thrombotic Thrombocytopenic	Blood	hematology
D011697	Purpura, Thrombotic Thrombocytopenic	Blood	signs/symptoms
D018805	Sepsis	Infection	infection
D018805	Sepsis	Infection	signs/symptoms
D010300	Parkinson Disease	Neurological/behavioral	neurology
D013494	Supranuclear Palsy, Progressive	Neurological/behavioral	neurology
D013494	Supranuclear Palsy, Progressive	Neurological/behavioral	ophthalmology
D013494	Supranuclear Palsy, Progressive	Neurological/behavioral	signs/symptoms
D001249	Asthma	Respiratory	respiratory
D001249	Asthma	Respiratory	immune
D029481	Bronchitis, Chronic	Respiratory	infection
D029481	Bronchitis, Chronic	Respiratory	respiratory
D004646	Emphysema	Liver & kidney	signs/symptoms
D005901	Glaucoma	Eye	ophthalmology
D006967	Hypersensitivity	Inflammation	immune
D029424	Pulmonary Disease, Chronic Obstructive	Respiratory	respiratory
D012140	Respiratory Tract Diseases	Respiratory	
D015009	Yersinia Infections	Infection	
D001049	Apnea	Respiratory	respiratory
D001049	Apnea	Respiratory	signs/symptoms
D003863	Depression	Neurological/behavioral	psychiatry
D000755	Anemia, Sickle Cell	Blood	hematology
D000755	Anemia, Sickle Cell	Blood	congenital
D015212	Inflammatory Bowel Diseases	Autoimmune	digestive
D007172	Erectile Dysfunction	Urogenital	psychiatry
D006509	Hepatitis B	Infection	infection
D006509	Hepatitis B	Infection	digestive
D006526	Hepatitis C	Infection	infection
D006526	Hepatitis C	Infection	digestive
D009503	Neutropenia	Blood	hematology
D010003	Osteoarthritis	Musculoskeletal	musculoskeletal
D014605	Uveitis	Eye	ophthalmology
D014985	Xerophthalmia	Eye	
D001714	Bipolar Disorder	Neurological/behavioral	psychiatry
D002318	Cardiovascular Diseases	Cardiovascular	cardiovascular
D002386	Cataract	Eye	ophthalmology
D053159	Dysuria	Urogenital	signs/symptoms
D007022	Hypotension	Cardiovascular	cardiovascular
D011141	Polyuria	Urogenital	signs/symptoms
D011470	Prostatic Hyperplasia	Urogenital	other
D011472	Prostatitis	Urogenital	other
D011618	Psychotic Disorders	Neurological/behavioral	psychiatry
D053201	Urinary Bladder, Overactive	Urogenital	signs/symptoms
D014545	Urinary Calculi	Liver & kidney	signs/symptoms
D014549	Urinary Incontinence	Urogenital	signs/symptoms
D016055	Urinary Retention	Urogenital	other
D001007	Anxiety	Neurological/behavioral	
D001008	Anxiety Disorders	Neurological/behavioral	psychiatry
D001010	Anxiety, Separation	Neurological/behavioral	
D001321	Autistic Disorder	Neurological/behavioral	psychiatry
D003233	Conjunctivitis, Allergic	Eye	ophthalmology
D003233	Conjunctivitis, Allergic	Eye	immune
D003866	Depressive Disorder	Neurological/behavioral	
D003929	Diabetic Neuropathies	Neurological/behavioral	neurology
D003929	Diabetic Neuropathies	Neurological/behavioral	endocrine
D020820	Dyskinesias	Neurological/behavioral	neurology
D020820	Dyskinesias	Neurological/behavioral	signs/symptoms
D005356	Fibromyalgia	Musculoskeletal	musculoskeletal
D005356	Fibromyalgia	Musculoskeletal	neurology
D009437	Neuralgia	Neurological/behavioral	neurology
D009437	Neuralgia	Neurological/behavioral	signs/symptoms
D009293	Opioid-Related Disorders	Neurological/behavioral	psychiatry
D010698	Phobic Disorders	Neurological/behavioral	psychiatry
D012163	Retinal Detachment	Eye	ophthalmology
D012174	Retinitis Pigmentosa	Eye	ophthalmology
D012174	Retinitis Pigmentosa	Eye	congenital
D012220	Rhinitis	Respiratory	infection
D012220	Rhinitis	Respiratory	respiratory
D014552	Urinary Tract Infections	Infection	infection
D001145	Arrhythmias, Cardiac	Cardiovascular	cardiovascular
D001145	Arrhythmias, Cardiac	Cardiovascular	signs/symptoms
D001281	Atrial Fibrillation	Cardiovascular	cardiovascular
D001281	Atrial Fibrillation	Cardiovascular	signs/symptoms
D003550	Cystic Fibrosis	Liver & kidney	digestive
D003550	Cystic Fibrosis	Liver & kidney	respiratory
D003550	Cystic Fibrosis	Liver & kidney	congenital
D008881	Migraine Disorders	Neurological/behavioral	neurology
D055948	Sarcopenia	Neurological/behavioral	neurology
D055948	Sarcopenia	Neurological/behavioral	signs/symptoms
D013610	Tachycardia	Cardiovascular	cardiovascular
D013610	Tachycardia	Cardiovascular	signs/symptoms
D013617	Tachycardia, Supraventricular	Cardiovascular	cardiovascular
D013617	Tachycardia, Supraventricular	Cardiovascular	signs/symptoms
D017180	Tachycardia, Ventricular	Cardiovascular	cardiovascular
D017180	Tachycardia, Ventricular	Cardiovascular	signs/symptoms
D014029	Tobacco Use Disorder	Neurological/behavioral	psychiatry
D014693	Ventricular Fibrillation	Cardiovascular	cardiovascular
D014693	Ventricular Fibrillation	Cardiovascular	signs/symptoms
D003371	Cough	Respiratory	respiratory
D003371	Cough	Respiratory	signs/symptoms
D005094	Exophthalmos	Eye	
D009765	Obesity	Metabolic	metabolic
D009765	Obesity	Metabolic	signs/symptoms
D007744	Obstetric Labor Complications	Urogenital	
D054058	Acute Coronary Syndrome	Cardiovascular	cardiovascular
D003930	Diabetic Retinopathy	Diabetes	ophthalmology
D003930	Diabetic Retinopathy	Diabetes	cardiovascular
D003930	Diabetic Retinopathy	Diabetes	endocrine
D006937	Hypercholesterolemia	Cardiovascular	metabolic
D008659	Metabolic Diseases	Metabolic	metabolic
D005355	Fibrosis	Inflammation	signs/symptoms
D051474	Neuralgia, Postherpetic	Neurological/behavioral	neurology
D051474	Neuralgia, Postherpetic	Neurological/behavioral	signs/symptoms
D006959	Hyperoxaluria	Urogenital	other
D007154	Immune System Diseases	Inflammation	immune
D050197	Atherosclerosis	Cardiovascular	cardiovascular
D007674	Kidney Diseases	Liver & kidney	other
D009422	Nervous System Diseases	Neurological/behavioral	neurology
D015835	Ocular Motility Disorders	Eye	
D011085	Polycystic Ovary Syndrome	Urogenital	oncology
D006689	Hodgkin Disease	Oncology	oncology
D008181	Lupus Nephritis	Autoimmune	dermatology
D008181	Lupus Nephritis	Autoimmune	immune
D008223	Lymphoma	Oncology	oncology
D009190	Myelodysplastic Syndromes	Blood	hematology
D011164	Porphyrias	Metabolic	metabolic
D019966	Substance-Related Disorders	Neurological/behavioral	psychiatry
D020268	Alcohol-Induced Disorders, Nervous System	Neurological/behavioral	
D016393	Lymphoma, B-Cell	Oncology	oncology
D004938	Esophageal Neoplasms	Oncology	oncology
D016491	Peripheral Vascular Diseases	Cardiovascular	cardiovascular
D010149	Pain, Postoperative	Neurological/behavioral	signs/symptoms
D055752	Small Cell Lung Carcinoma	Oncology	oncology
D000881	Anthrax	Infection	infection
D003877	Dermatitis, Contact	Skin & connective tissue	dermatology
D054990	Idiopathic Pulmonary Fibrosis	Respiratory	respiratory
D009103	Multiple Sclerosis	Autoimmune	neurology
D009103	Multiple Sclerosis	Autoimmune	immune
D014657	Vasculitis	Cardiovascular	cardiovascular
D000686	Amyloidosis	Neurological/behavioral	metabolic
D008269	Macular Edema	Eye	ophthalmology
D012164	Retinal Diseases	Eye	ophthalmology
D001024	Aortic Valve Stenosis	Cardiovascular	cardiovascular
D015228	Hypertriglyceridemia	Cardiovascular	metabolic
D000152	Acne Vulgaris	Skin & connective tissue	dermatology
D000505	Alopecia	Skin & connective tissue	dermatology
D000505	Alopecia	Skin & connective tissue	signs/symptoms
D012628	Dermatitis, Seborrheic	Skin & connective tissue	dermatology
D004715	Endometriosis	Urogenital	other
D006628	Hirsutism	Skin & connective tissue	dermatology
D006628	Hirsutism	Skin & connective tissue	signs/symptoms
D008599	Menstruation Disturbances	Urogenital	signs/symptoms
D010024	Osteoporosis	Musculoskeletal	musculoskeletal
D010024	Osteoporosis	Musculoskeletal	metabolic
D012735	Sexual Dysfunction, Physiological	Urogenital	other
D012871	Skin Diseases	Skin & connective tissue	dermatology
D014424	Turner Syndrome	Urogenital	cardiovascular
D014424	Turner Syndrome	Urogenital	congenital
D014424	Turner Syndrome	Urogenital	endocrine
D007966	Leukodystrophy, Metachromatic	Neurological/behavioral	neurology
D007966	Leukodystrophy, Metachromatic	Neurological/behavioral	congenital
D007966	Leukodystrophy, Metachromatic	Neurological/behavioral	metabolic
D009087	Mucopolysaccharidosis VI	Metabolic	congenital
D009087	Mucopolysaccharidosis VI	Metabolic	dermatology
D009087	Mucopolysaccharidosis VI	Metabolic	metabolic
D059352	Musculoskeletal Pain	Neurological/behavioral	musculoskeletal
D059352	Musculoskeletal Pain	Neurological/behavioral	signs/symptoms
D064420	Drug-Related Side Effects and Adverse Reactions	Neurological/behavioral	other
D010939	Plant Poisoning	Neurological/behavioral	other
D011225	Pre-Eclampsia	Urogenital	other
D020388	Muscular Dystrophy, Duchenne	Musculoskeletal	musculoskeletal
D020388	Muscular Dystrophy, Duchenne	Musculoskeletal	neurology
D020388	Muscular Dystrophy, Duchenne	Musculoskeletal	congenital
D016481	Helicobacter Infections	Infection	infection
D020767	Intracranial Thrombosis	Neurological/behavioral	neurology
D020767	Intracranial Thrombosis	Neurological/behavioral	cardiovascular
D013167	Spondylitis, Ankylosing	Autoimmune	musculoskeletal
D015043	Zollinger-Ellison Syndrome	Oncology	oncology
D008080	Liposarcoma	Oncology	oncology
D016399	Lymphoma, T-Cell	Oncology	oncology
D009447	Neuroblastoma	Oncology	oncology
D008258	Waldenstrom Macroglobulinemia	Oncology	oncology
D001778	Blood Coagulation Disorders	Blood	hematology
D004412	Dysmenorrhea	Urogenital	signs/symptoms
D007010	Hyponatremia	Metabolic	metabolic
D007247	Infertility, Female	Urogenital	other
D013313	Stress Disorders, Post-Traumatic	Neurological/behavioral	psychiatry
D000437	Alcoholism	Neurological/behavioral	psychiatry
D003919	Diabetes Insipidus	Diabetes	endocrine
D004487	Edema	Inflammation	signs/symptoms
D004489	Edema, Cardiac	Cardiovascular	cardiovascular
D004489	Edema, Cardiac	Cardiovascular	signs/symptoms
D004775	Enuresis	Urogenital	psychiatry
D008175	Lung Neoplasms	Oncology	oncology
D008180	Lupus Erythematosus, Systemic	Autoimmune	dermatology
D008180	Lupus Erythematosus, Systemic	Autoimmune	immune
D011087	Polycythemia Vera	Blood	oncology
D057135	Wet Macular Degeneration	Eye	ophthalmology
D000799	Angioedema	Cardiovascular	cardiovascular
D000799	Angioedema	Cardiovascular	dermatology
D000799	Angioedema	Cardiovascular	immune
D054179	Angioedemas, Hereditary	Cardiovascular	cardiovascular
D054179	Angioedemas, Hereditary	Cardiovascular	congenital
D054179	Angioedemas, Hereditary	Cardiovascular	dermatology
D054179	Angioedemas, Hereditary	Cardiovascular	immune
D007890	Leiomyosarcoma	Oncology	oncology
D013953	Thymus Neoplasms	Oncology	oncology
D009140	Musculoskeletal Diseases	Musculoskeletal	musculoskeletal
D002276	Carcinoid Tumor	Oncology	oncology
D013584	Sarcoma, Synovial	Oncology	oncology
D013964	Thyroid Neoplasms	Oncology	oncology
D001327	Autoimmune Diseases	Autoimmune	immune
D000744	Anemia, Hemolytic, Autoimmune	Blood	hematology
D000744	Anemia, Hemolytic, Autoimmune	Blood	immune
D016736	Antiphospholipid Syndrome	Autoimmune	immune
D015432	Glomerulonephritis, Membranoproliferative	Urogenital	immune
D006463	Hemolytic-Uremic Syndrome	Blood	hematology
D015417	Hereditary Sensory and Motor Neuropathy	Neurological/behavioral	
D009157	Myasthenia Gravis	Neurological/behavioral	oncology
D009902	Optic Neuritis	Neurological/behavioral	neurology
D009902	Optic Neuritis	Neurological/behavioral	ophthalmology
D015427	Reperfusion Injury	Cardiovascular	cardiovascular
D015427	Reperfusion Injury	Cardiovascular	signs/symptoms
D002583	Uterine Cervical Neoplasms	Oncology	oncology
D009202	Cardiomyopathies	Cardiovascular	cardiovascular
D011928	Raynaud Disease	Cardiovascular	cardiovascular
D013345	Subarachnoid Hemorrhage	Neurological/behavioral	neurology
D013345	Subarachnoid Hemorrhage	Neurological/behavioral	cardiovascular
D013345	Subarachnoid Hemorrhage	Neurological/behavioral	signs/symptoms
D001750	Urinary Bladder, Neurogenic	Neurological/behavioral	neurology
D001750	Urinary Bladder, Neurogenic	Neurological/behavioral	signs/symptoms
D006429	Hemiplegia	Neurological/behavioral	neurology
D006429	Hemiplegia	Neurological/behavioral	signs/symptoms
D004828	Epilepsies, Partial	Neurological/behavioral	neurology
D004830	Epilepsy, Tonic-Clonic	Neurological/behavioral	neurology
D012148	Restless Legs Syndrome	Neurological/behavioral	neurology
D012148	Restless Legs Syndrome	Neurological/behavioral	psychiatry
D006934	Hypercalcemia	Metabolic	metabolic
D010001	Osteitis Deformans	Musculoskeletal	musculoskeletal
D002547	Cerebral Palsy	Neurological/behavioral	neurology
D003922	Diabetes Mellitus, Type 1	Diabetes	metabolic
D003922	Diabetes Mellitus, Type 1	Diabetes	endocrine
D003922	Diabetes Mellitus, Type 1	Diabetes	immune
D003876	Dermatitis, Atopic	Autoimmune	congenital
D003876	Dermatitis, Atopic	Autoimmune	dermatology
D003876	Dermatitis, Atopic	Autoimmune	immune
D030361	Papillomavirus Infections	Infection	infection
D018917	Optic Neuropathy, Ischemic	Neurological/behavioral	neurology
D018917	Optic Neuropathy, Ischemic	Neurological/behavioral	ophthalmology
D018917	Optic Neuropathy, Ischemic	Neurological/behavioral	cardiovascular
D005234	Fatty Liver	Liver & kidney	
D006525	Hepatitis, Viral, Human	Infection	infection
D006525	Hepatitis, Viral, Human	Infection	digestive
D055623	Keratosis, Actinic	Oncology	oncology
D018295	Neoplasms, Basal Cell	Oncology	oncology
D012393	Rosacea	Skin & connective tissue	dermatology
D006996	Hypocalcemia	Metabolic	metabolic
D003424	Crohn Disease	Autoimmune	digestive
D005512	Food Hypersensitivity	Inflammation	immune
D007637	Keratoconjunctivitis	Eye	ophthalmology
D007946	Leukemia, Mast-Cell	Oncology	oncology
D009303	Nasopharyngeal Neoplasms	Oncology	oncology
D012516	Osteosarcoma	Oncology	oncology
D001987	Bronchiectasis	Respiratory	respiratory
D000690	Amyotrophic Lateral Sclerosis	Neurological/behavioral	neurology
D000690	Amyotrophic Lateral Sclerosis	Neurological/behavioral	metabolic
D002446	Celiac Disease	Autoimmune	digestive
D002446	Celiac Disease	Autoimmune	metabolic
D020529	Multiple Sclerosis, Relapsing-Remitting	Neurological/behavioral	neurology
D020529	Multiple Sclerosis, Relapsing-Remitting	Neurological/behavioral	immune
D011014	Pneumonia	Respiratory	infection
D011014	Pneumonia	Respiratory	respiratory
D012208	Rhabdomyosarcoma	Oncology	oncology
D000741	Anemia, Aplastic	Neurological/behavioral	hematology
D007251	Influenza, Human	Infection	infection
D007251	Influenza, Human	Infection	respiratory
D059413	Intraabdominal Infections	Infection	infection
D012874	Skin Diseases, Infectious	Infection	infection
D012874	Skin Diseases, Infectious	Infection	dermatology
D001168	Arthritis	Autoimmune	musculoskeletal
D036981	Fasciitis, Plantar	Musculoskeletal	
D003668	Pressure Ulcer	Skin & connective tissue	dermatology
D012878	Skin Neoplasms	Oncology	oncology
D052256	Tendinopathy	Musculoskeletal	musculoskeletal
D013716	Tennis Elbow	Musculoskeletal	musculoskeletal
D001171	Arthritis, Juvenile	Autoimmune	musculoskeletal
D001171	Arthritis, Juvenile	Autoimmune	dermatology
D001171	Arthritis, Juvenile	Autoimmune	immune
D015535	Arthritis, Psoriatic	Autoimmune	musculoskeletal
D015535	Arthritis, Psoriatic	Autoimmune	dermatology
D008105	Liver Cirrhosis, Biliary	Liver & kidney	digestive
D008105	Liver Cirrhosis, Biliary	Liver & kidney	signs/symptoms
D018278	Carcinoma, Neuroendocrine	Oncology	oncology
D009062	Mouth Neoplasms	Oncology	oncology
D012595	Scleroderma, Systemic	Autoimmune	dermatology
D020256	Choroidal Neovascularization	Eye	
D005354	Fibrosarcoma	Oncology	oncology
D009216	Myopia	Eye	ophthalmology
D013945	Thymoma	Oncology	oncology
D014625	Vaginal Neoplasms	Oncology	oncology
D001005	Anus Neoplasms	Oncology	oncology
D000592	Amino Acid Metabolism, Inborn Errors	Metabolic	congenital
D000592	Amino Acid Metabolism, Inborn Errors	Metabolic	metabolic
D006467	Hemophilia A	Blood	hematology
D006467	Hemophilia A	Blood	congenital
D002836	Hemophilia B	Blood	hematology
D002836	Hemophilia B	Blood	congenital
D013736	Testicular Neoplasms	Oncology	oncology
D020329	Essential Tremor	Neurological/behavioral	neurology
D003092	Colitis	Autoimmune	digestive
D005600	Fragile X Syndrome	Neurological/behavioral	neurology
D005600	Fragile X Syndrome	Neurological/behavioral	congenital
D012798	Sialorrhea	Neurological/behavioral	other
D012859	Sjogren's Syndrome	Musculoskeletal	musculoskeletal
D012859	Sjogren's Syndrome	Musculoskeletal	ophthalmology
D012859	Sjogren's Syndrome	Musculoskeletal	dermatology
D012859	Sjogren's Syndrome	Musculoskeletal	immune
D013035	Spasm	Neurological/behavioral	neurology
D013035	Spasm	Neurological/behavioral	signs/symptoms
D014564	Urogenital Abnormalities	Urogenital	
D014987	Xerostomia	Neurological/behavioral	other
D007896	Leishmaniasis	Infection	infection
D007896	Leishmaniasis	Infection	dermatology
D005128	Eye Diseases	Eye	ophthalmology
D013130	Spinal Stenosis	Musculoskeletal	musculoskeletal
D003117	Color Vision Defects	Eye	neurology
D003117	Color Vision Defects	Eye	ophthalmology
D003117	Color Vision Defects	Eye	signs/symptoms
D000855	Anorexia	Neurological/behavioral	signs/symptoms
D020528	Multiple Sclerosis, Chronic Progressive	Neurological/behavioral	neurology
D020528	Multiple Sclerosis, Chronic Progressive	Neurological/behavioral	immune
D009128	Muscle Spasticity	Musculoskeletal	musculoskeletal
D009128	Muscle Spasticity	Musculoskeletal	neurology
D009128	Muscle Spasticity	Musculoskeletal	signs/symptoms
D011537	Pruritus	Skin & connective tissue	dermatology
D011537	Pruritus	Skin & connective tissue	signs/symptoms
D005879	Tourette Syndrome	Neurological/behavioral	neurology
D005879	Tourette Syndrome	Neurological/behavioral	congenital
D005879	Tourette Syndrome	Neurological/behavioral	psychiatry
D024821	Metabolic Syndrome	Metabolic	metabolic
D013684	Telangiectasis	Cardiovascular	
D016066	Pleural Effusion, Malignant	Oncology	oncology
D022124	Hyperammonemia	Metabolic	signs/symptoms
D002312	Cardiomyopathy, Hypertrophic	Cardiovascular	cardiovascular
D001929	Brain Edema	Neurological/behavioral	neurology
D007319	Sleep Initiation and Maintenance Disorders	Neurological/behavioral	neurology
D007319	Sleep Initiation and Maintenance Disorders	Neurological/behavioral	psychiatry
D008178	Lupus Erythematosus, Cutaneous	Skin & connective tissue	dermatology
D012507	Sarcoidosis	Liver & kidney	hematology
D001851	Bone Diseases, Metabolic	Metabolic	musculoskeletal
D001851	Bone Diseases, Metabolic	Metabolic	metabolic
D009393	Nephritis	Urogenital	other
D018307	Neoplasms, Squamous Cell	Oncology	oncology
D012512	Sarcoma, Ewing	Oncology	oncology
D000380	Agranulocytosis	Blood	
D017719	Diabetic Foot	Cardiovascular	cardiovascular
D017719	Diabetic Foot	Cardiovascular	dermatology
D017719	Diabetic Foot	Cardiovascular	endocrine
D054070	Postthrombotic Syndrome	Cardiovascular	
D007970	Leukopenia	Blood	hematology
D005871	Castleman Disease	Blood	hematology
D005871	Castleman Disease	Blood	immune
D011507	Proteinuria	Urogenital	signs/symptoms
D014565	Urogenital Neoplasms	Oncology	oncology
D011125	Adenomatous Polyposis Coli	Oncology	
D001859	Bone Neoplasms	Oncology	oncology
D000752	Anemia, Pernicious	Blood	
D010391	Pemphigoid, Bullous	Skin & connective tissue	dermatology
D010391	Pemphigoid, Bullous	Skin & connective tissue	immune
D019970	Cocaine-Related Disorders	Neurological/behavioral	psychiatry
D004719	Endomyocardial Fibrosis	Cardiovascular	cardiovascular
D047748	Pituitary ACTH Hypersecretion	Neurological/behavioral	neurology
D047748	Pituitary ACTH Hypersecretion	Neurological/behavioral	endocrine
D009181	Mycoses	Infection	infection
D012221	Rhinitis, Allergic, Perennial	Respiratory	respiratory
D012221	Rhinitis, Allergic, Perennial	Respiratory	immune
D006255	Rhinitis, Allergic, Seasonal	Respiratory	respiratory
D006255	Rhinitis, Allergic, Seasonal	Respiratory	immune
D002311	Cardiomyopathy, Dilated	Cardiovascular	cardiovascular
D002311	Cardiomyopathy, Dilated	Cardiovascular	congenital
D009136	Muscular Dystrophies	Musculoskeletal	musculoskeletal
D009136	Muscular Dystrophies	Musculoskeletal	neurology
D009136	Muscular Dystrophies	Musculoskeletal	congenital
D049288	Muscular Dystrophies, Limb-Girdle	Musculoskeletal	musculoskeletal
D049288	Muscular Dystrophies, Limb-Girdle	Musculoskeletal	neurology
D049288	Muscular Dystrophies, Limb-Girdle	Musculoskeletal	congenital
D010661	Phenylketonurias	Neurological/behavioral	neurology
D010661	Phenylketonurias	Neurological/behavioral	congenital
D010661	Phenylketonurias	Neurological/behavioral	metabolic
D009134	Muscular Atrophy, Spinal	Neurological/behavioral	neurology
D011656	Pulmonary Emphysema	Respiratory	
D001847	Bone Diseases	Musculoskeletal	musculoskeletal
D009223	Myotonic Dystrophy	Musculoskeletal	musculoskeletal
D009223	Myotonic Dystrophy	Musculoskeletal	neurology
D009223	Myotonic Dystrophy	Musculoskeletal	congenital
D060831	Hand-Foot Syndrome	Skin & connective tissue	dermatology
D015140	Dementia, Vascular	Neurological/behavioral	neurology
D015140	Dementia, Vascular	Neurological/behavioral	cardiovascular
D015140	Dementia, Vascular	Neurological/behavioral	psychiatry
D007174	Disruptive, Impulse Control, and Conduct Disorders	Neurological/behavioral	psychiatry
D007926	Lesch-Nyhan Syndrome	Neurological/behavioral	
D000172	Acromegaly	Musculoskeletal	musculoskeletal
D000172	Acromegaly	Musculoskeletal	neurology
D000172	Acromegaly	Musculoskeletal	endocrine
D000568	Amenorrhea	Urogenital	signs/symptoms
D016543	Central Nervous System Neoplasms	Oncology	oncology
D019955	Conduct Disorder	Neurological/behavioral	psychiatry
D005687	Galactorrhea	Urogenital	
D006261	Headache	Neurological/behavioral	signs/symptoms
D006966	Hyperprolactinemia	Neurological/behavioral	neurology
D006966	Hyperprolactinemia	Neurological/behavioral	endocrine
D015518	Rett Syndrome	Neurological/behavioral	neurology
D015518	Rett Syndrome	Neurological/behavioral	congenital
D008288	Malaria	Infection	infection
D005921	Glomerulonephritis	Urogenital	other
D011552	Pseudomonas Infections	Infection	infection
D018242	Neuroectodermal Tumors, Primitive	Oncology	oncology
D014523	Urethral Neoplasms	Oncology	oncology
D019896	alpha 1-Antitrypsin Deficiency	Respiratory	digestive
D019896	alpha 1-Antitrypsin Deficiency	Respiratory	respiratory
