area	gene	indication_mesh_id	indication_mesh_term	gwas_source
ophthalmology	ICOSLG	D012859	Sjogren's Syndrome	GWAS Catalog
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	GWAS Catalog
ophthalmology	LOXL2	D005901	Glaucoma	GWAS Catalog
ophthalmology	MAPT	D013494	Supranuclear Palsy, Progressive	GWAS Catalog
ophthalmology	MC1R	D000417	Albinism	GWAS Catalog
ophthalmology	PDGFRA	D008269	Macular Edema	GWAS Catalog
ophthalmology	PTPN1	D005901	Glaucoma	GWAS Catalog
ophthalmology	TGFB2	D005901	Glaucoma	GWAS Catalog
ophthalmology	TYK2	D012859	Sjogren's Syndrome	GWAS Catalog
ophthalmology	VEGFA	D008269	Macular Edema	GWAS Catalog
ophthalmology	VEGFA	D009216	Myopia	GWAS Catalog
ophthalmology	VEGFA	D012174	Retinitis Pigmentosa	GWAS Catalog
ophthalmology	FLT1	D009216	Myopia	Neale UKBB
ophthalmology	MC1R	D000417	Albinism	Neale UKBB
ophthalmology	VEGFA	D009216	Myopia	Neale UKBB
ophthalmology	C3	D057135	Wet Macular Degeneration	FinnGen
ophthalmology	CFH	D057135	Wet Macular Degeneration	FinnGen
dermatology	C3	D008181	Lupus Nephritis	GWAS Catalog
dermatology	CBS	D006712	Homocystinuria	GWAS Catalog
dermatology	CD200R1	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	CD28	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	CD28	D011565	Psoriasis	GWAS Catalog
dermatology	CD28	D012859	Sjogren's Syndrome	GWAS Catalog
dermatology	CD28	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	CD40	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	CD40	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
dermatology	CD40	D008181	Lupus Nephritis	GWAS Catalog
dermatology	CD40	D012859	Sjogren's Syndrome	GWAS Catalog
dermatology	CD80	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	CTLA4	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
dermatology	DPP4	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	ESR1	D006177	Gynecomastia	GWAS Catalog
dermatology	GATA3	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	HLA-DRB1	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	ICOSLG	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	ICOSLG	D012859	Sjogren's Syndrome	GWAS Catalog
dermatology	IFNG	D011565	Psoriasis	GWAS Catalog
dermatology	IL12B	D011565	Psoriasis	GWAS Catalog
dermatology	IL12B	D013625	Takayasu Arteritis	GWAS Catalog
dermatology	IL12B	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	IL12RB2	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	IL13	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	IL13	D011565	Psoriasis	GWAS Catalog
dermatology	IL1B	D000152	Acne Vulgaris	GWAS Catalog
dermatology	IL2	D011565	Psoriasis	GWAS Catalog
dermatology	IL23R	D011565	Psoriasis	GWAS Catalog
dermatology	IL23R	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	IL2RA	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	IL2RA	D012859	Sjogren's Syndrome	GWAS Catalog
dermatology	IL33	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	IL4R	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	IL6R	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	INPP5D	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	JAK2	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
dermatology	JAK2	D011565	Psoriasis	GWAS Catalog
dermatology	JAK2	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	MAPK14	D017719	Diabetic Foot	GWAS Catalog
dermatology	MC1R	D000417	Albinism	GWAS Catalog
dermatology	MC1R	D010787	Photosensitivity Disorders	GWAS Catalog
dermatology	NFKB1	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	NFKB1	D008181	Lupus Nephritis	GWAS Catalog
dermatology	PRKCB	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	PRKCB	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
dermatology	SOAT1	D000152	Acne Vulgaris	GWAS Catalog
dermatology	SOAT1	D012628	Dermatitis, Seborrheic	GWAS Catalog
dermatology	STAT3	D011565	Psoriasis	GWAS Catalog
dermatology	TNFRSF1A	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	TNFSF4	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	TSLP	D003876	Dermatitis, Atopic	GWAS Catalog
dermatology	TYK2	D001172	Arthritis, Rheumatoid	GWAS Catalog
dermatology	TYK2	D011565	Psoriasis	GWAS Catalog
dermatology	TYK2	D012859	Sjogren's Syndrome	GWAS Catalog
dermatology	TYK2	D015535	Arthritis, Psoriatic	GWAS Catalog
dermatology	IL12B	D011565	Psoriasis	Neale UKBB
dermatology	IL12B	D015535	Arthritis, Psoriatic	Neale UKBB
dermatology	IL13	D003876	Dermatitis, Atopic	Neale UKBB
dermatology	IL2RA	D003876	Dermatitis, Atopic	Neale UKBB
dermatology	MC1R	D000417	Albinism	Neale UKBB
dermatology	MC1R	D010787	Photosensitivity Disorders	Neale UKBB
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	FinnGen
dermatology	IL12B	D011565	Psoriasis	FinnGen
dermatology	IL12B	D015535	Arthritis, Psoriatic	FinnGen
dermatology	IL13	D003876	Dermatitis, Atopic	FinnGen
signs/symptoms	APP	D013494	Supranuclear Palsy, Progressive	GWAS Catalog
signs/symptoms	AVPR1A	D018805	Sepsis	GWAS Catalog
signs/symptoms	CALCR	D009765	Obesity	GWAS Catalog
signs/symptoms	CRP	D007249	Inflammation	GWAS Catalog
signs/symptoms	CYP7A1	D042882	Gallstones	GWAS Catalog
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	GWAS Catalog
signs/symptoms	FGFR1	D009765	Obesity	GWAS Catalog
signs/symptoms	FGFR4	D009765	Obesity	GWAS Catalog
signs/symptoms	GFRAL	D009765	Obesity	GWAS Catalog
signs/symptoms	GIPR	D009765	Obesity	GWAS Catalog
signs/symptoms	GLP1R	D009765	Obesity	GWAS Catalog
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	GWAS Catalog
signs/symptoms	HCN4	D001281	Atrial Fibrillation	GWAS Catalog
signs/symptoms	HCRTR1	D012893	Sleep Wake Disorders	GWAS Catalog
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	GWAS Catalog
signs/symptoms	HTR1A	D009765	Obesity	GWAS Catalog
signs/symptoms	IL12B	D008105	Liver Cirrhosis, Biliary	GWAS Catalog
signs/symptoms	IL18	D007249	Inflammation	GWAS Catalog
signs/symptoms	IL1RN	D007249	Inflammation	GWAS Catalog
signs/symptoms	IL33	D009298	Nasal Polyps	GWAS Catalog
signs/symptoms	IL6	D007249	Inflammation	GWAS Catalog
signs/symptoms	INSR	D009765	Obesity	GWAS Catalog
signs/symptoms	KCND3	D001281	Atrial Fibrillation	GWAS Catalog
signs/symptoms	KCNH2	D001281	Atrial Fibrillation	GWAS Catalog
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	GWAS Catalog
signs/symptoms	LEPR	D009765	Obesity	GWAS Catalog
signs/symptoms	MAPK1	D009765	Obesity	GWAS Catalog
signs/symptoms	MAPT	D013494	Supranuclear Palsy, Progressive	GWAS Catalog
signs/symptoms	MC4R	D009765	Obesity	GWAS Catalog
signs/symptoms	MTNR1B	D012893	Sleep Wake Disorders	GWAS Catalog
signs/symptoms	NLRP3	D007249	Inflammation	GWAS Catalog
signs/symptoms	NPY	D009765	Obesity	GWAS Catalog
signs/symptoms	NR1H4	D007249	Inflammation	GWAS Catalog
signs/symptoms	NR3C1	D009765	Obesity	GWAS Catalog
signs/symptoms	OPRM1	D009765	Obesity	GWAS Catalog
signs/symptoms	PLG	D009203	Myocardial Infarction	GWAS Catalog
signs/symptoms	PPARA	D009765	Obesity	GWAS Catalog
signs/symptoms	PPARD	D009765	Obesity	GWAS Catalog
signs/symptoms	PPARG	D009765	Obesity	GWAS Catalog
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	GWAS Catalog
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	GWAS Catalog
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	GWAS Catalog
signs/symptoms	SLC6A3	D012893	Sleep Wake Disorders	GWAS Catalog
signs/symptoms	SLC6A4	D009765	Obesity	GWAS Catalog
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	GWAS Catalog
signs/symptoms	TNFRSF1A	D007249	Inflammation	GWAS Catalog
signs/symptoms	TNFRSF1A	D008103	Liver Cirrhosis	GWAS Catalog
signs/symptoms	TNFRSF1A	D018805	Sepsis	GWAS Catalog
signs/symptoms	TSLP	D009298	Nasal Polyps	GWAS Catalog
signs/symptoms	CALCR	D009765	Obesity	Neale UKBB
signs/symptoms	GHR	D009765	Obesity	Neale UKBB
signs/symptoms	GIPR	D009765	Obesity	Neale UKBB
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	Neale UKBB
signs/symptoms	HTR1A	D009765	Obesity	Neale UKBB
signs/symptoms	IL33	D009298	Nasal Polyps	Neale UKBB
signs/symptoms	INSR	D009765	Obesity	Neale UKBB
signs/symptoms	KCND3	D001281	Atrial Fibrillation	Neale UKBB
signs/symptoms	MC4R	D009765	Obesity	Neale UKBB
signs/symptoms	NPY5R	D009765	Obesity	Neale UKBB
signs/symptoms	NR3C1	D009765	Obesity	Neale UKBB
signs/symptoms	OPRM1	D009765	Obesity	Neale UKBB
signs/symptoms	PDE7A	D009437	Neuralgia	Neale UKBB
signs/symptoms	PPARA	D009765	Obesity	Neale UKBB
signs/symptoms	PPARG	D009765	Obesity	Neale UKBB
signs/symptoms	SLC6A3	D012893	Sleep Wake Disorders	Neale UKBB
signs/symptoms	TSLP	D009298	Nasal Polyps	Neale UKBB
signs/symptoms	GIPR	D009765	Obesity	FinnGen
signs/symptoms	HCN4	D001281	Atrial Fibrillation	FinnGen
signs/symptoms	IL33	D009298	Nasal Polyps	FinnGen
signs/symptoms	KCND3	D001281	Atrial Fibrillation	FinnGen
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	FinnGen
signs/symptoms	MC4R	D009765	Obesity	FinnGen
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	FinnGen
signs/symptoms	SERPINA1	D019896	alpha 1-Antitrypsin Deficiency	FinnGen
signs/symptoms	TSLP	D009298	Nasal Polyps	FinnGen
immune	ADORA1	D001249	Asthma	GWAS Catalog
immune	ADRB2	D001249	Asthma	GWAS Catalog
immune	C3	D008181	Lupus Nephritis	GWAS Catalog
immune	CD200R1	D003876	Dermatitis, Atopic	GWAS Catalog
immune	CD28	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	CD28	D001327	Autoimmune Diseases	GWAS Catalog
immune	CD28	D012859	Sjogren's Syndrome	GWAS Catalog
immune	CD40	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	CD40	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
immune	CD40	D008181	Lupus Nephritis	GWAS Catalog
immune	CD40	D012859	Sjogren's Syndrome	GWAS Catalog
immune	CD6	D009103	Multiple Sclerosis	GWAS Catalog
immune	CD80	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
immune	CHRM3	D001249	Asthma	GWAS Catalog
immune	CHRM3	D065631	Rhinitis, Allergic	GWAS Catalog
immune	CTLA4	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	CTLA4	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
immune	CXCR4	D009103	Multiple Sclerosis	GWAS Catalog
immune	DPP4	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	GWAS Catalog
immune	FGFR3	D001249	Asthma	GWAS Catalog
immune	GATA3	D001249	Asthma	GWAS Catalog
immune	GATA3	D003876	Dermatitis, Atopic	GWAS Catalog
immune	HLA-DRB1	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	ICOSLG	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	ICOSLG	D012859	Sjogren's Syndrome	GWAS Catalog
immune	IL12B	D001327	Autoimmune Diseases	GWAS Catalog
immune	IL12B	D009103	Multiple Sclerosis	GWAS Catalog
immune	IL12RB2	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	IL13	D001249	Asthma	GWAS Catalog
immune	IL13	D003876	Dermatitis, Atopic	GWAS Catalog
immune	IL13	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	IL1B	D006967	Hypersensitivity	GWAS Catalog
immune	IL2RA	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	IL2RA	D001327	Autoimmune Diseases	GWAS Catalog
immune	IL2RA	D003876	Dermatitis, Atopic	GWAS Catalog
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	GWAS Catalog
immune	IL2RA	D012859	Sjogren's Syndrome	GWAS Catalog
immune	IL33	D001249	Asthma	GWAS Catalog
immune	IL33	D001327	Autoimmune Diseases	GWAS Catalog
immune	IL33	D003876	Dermatitis, Atopic	GWAS Catalog
immune	IL33	D065631	Rhinitis, Allergic	GWAS Catalog
immune	IL4R	D001249	Asthma	GWAS Catalog
immune	IL4R	D003876	Dermatitis, Atopic	GWAS Catalog
immune	IL4R	D006967	Hypersensitivity	GWAS Catalog
immune	IL4R	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	IL4R	D065631	Rhinitis, Allergic	GWAS Catalog
immune	IL5RA	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	IL6	D001249	Asthma	GWAS Catalog
immune	IL6R	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	IL7R	D001327	Autoimmune Diseases	GWAS Catalog
immune	IL7R	D003922	Diabetes Mellitus, Type 1	GWAS Catalog
immune	IL7R	D009103	Multiple Sclerosis	GWAS Catalog
immune	INPP5D	D003876	Dermatitis, Atopic	GWAS Catalog
immune	INS	D003922	Diabetes Mellitus, Type 1	GWAS Catalog
immune	JAK2	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
immune	MMP12	D001249	Asthma	GWAS Catalog
immune	NFKB1	D001249	Asthma	GWAS Catalog
immune	NFKB1	D003876	Dermatitis, Atopic	GWAS Catalog
immune	NFKB1	D006967	Hypersensitivity	GWAS Catalog
immune	NFKB1	D008181	Lupus Nephritis	GWAS Catalog
immune	NR3C1	D001249	Asthma	GWAS Catalog
immune	NR3C1	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	NR3C1	D065631	Rhinitis, Allergic	GWAS Catalog
immune	PDE3A	D001249	Asthma	GWAS Catalog
immune	PDE4D	D001249	Asthma	GWAS Catalog
immune	PDE4D	D065631	Rhinitis, Allergic	GWAS Catalog
immune	PRKCB	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	PRKCB	D008180	Lupus Erythematosus, Systemic	GWAS Catalog
immune	PTGER4	D006967	Hypersensitivity	GWAS Catalog
immune	S1PR1	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	S1PR4	D057765	Eosinophilic Esophagitis	GWAS Catalog
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	GWAS Catalog
immune	TNFRSF1A	D009103	Multiple Sclerosis	GWAS Catalog
immune	TNFSF15	D001249	Asthma	GWAS Catalog
immune	TNFSF4	D001249	Asthma	GWAS Catalog
immune	TNFSF4	D003876	Dermatitis, Atopic	GWAS Catalog
immune	TNFSF4	D065631	Rhinitis, Allergic	GWAS Catalog
immune	TSLP	D001249	Asthma	GWAS Catalog
immune	TSLP	D003876	Dermatitis, Atopic	GWAS Catalog
immune	TYK2	D001172	Arthritis, Rheumatoid	GWAS Catalog
immune	TYK2	D001327	Autoimmune Diseases	GWAS Catalog
immune	TYK2	D012859	Sjogren's Syndrome	GWAS Catalog
immune	ADORA1	D001249	Asthma	Neale UKBB
immune	GATA3	D001249	Asthma	Neale UKBB
immune	IL13	D003876	Dermatitis, Atopic	Neale UKBB
immune	IL2RA	D003876	Dermatitis, Atopic	Neale UKBB
immune	IL33	D001249	Asthma	Neale UKBB
immune	IL33	D006255	Rhinitis, Allergic, Seasonal	Neale UKBB
immune	IL33	D065631	Rhinitis, Allergic	Neale UKBB
immune	IL4R	D001249	Asthma	Neale UKBB
immune	IL4R	D057765	Eosinophilic Esophagitis	Neale UKBB
immune	IL4R	D065631	Rhinitis, Allergic	Neale UKBB
immune	IL5RA	D057765	Eosinophilic Esophagitis	Neale UKBB
immune	IL6	D001249	Asthma	Neale UKBB
immune	NR3C1	D057765	Eosinophilic Esophagitis	Neale UKBB
immune	S1PR1	D057765	Eosinophilic Esophagitis	Neale UKBB
immune	S1PR4	D057765	Eosinophilic Esophagitis	Neale UKBB
immune	TNFSF4	D001249	Asthma	Neale UKBB
immune	TNFSF4	D065631	Rhinitis, Allergic	Neale UKBB
immune	TSLP	D001249	Asthma	Neale UKBB
immune	CTLA4	D001172	Arthritis, Rheumatoid	FinnGen
immune	IL13	D003876	Dermatitis, Atopic	FinnGen
immune	IL2RA	D001327	Autoimmune Diseases	FinnGen
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	FinnGen
immune	IL33	D001249	Asthma	FinnGen
immune	IL33	D065631	Rhinitis, Allergic	FinnGen
immune	IL4R	D001249	Asthma	FinnGen
immune	IL4R	D065631	Rhinitis, Allergic	FinnGen
immune	IL7R	D001327	Autoimmune Diseases	FinnGen
immune	TSLP	D001249	Asthma	FinnGen
immune	TYK2	D001327	Autoimmune Diseases	FinnGen
psychiatry	ADRB1	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	ALDH2	D000437	Alcoholism	GWAS Catalog
psychiatry	ALDH2	D019973	Alcohol-Related Disorders	GWAS Catalog
psychiatry	APOE	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	APP	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	APP	D003704	Dementia	GWAS Catalog
psychiatry	C9orf72	D057180	Frontotemporal Dementia	GWAS Catalog
psychiatry	CACNA2D1	D001008	Anxiety Disorders	GWAS Catalog
psychiatry	CD33	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	CHRNA4	D014029	Tobacco Use Disorder	GWAS Catalog
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	GWAS Catalog
psychiatry	DRD2	D000437	Alcoholism	GWAS Catalog
psychiatry	DRD2	D001008	Anxiety Disorders	GWAS Catalog
psychiatry	DRD2	D001714	Bipolar Disorder	GWAS Catalog
psychiatry	DRD2	D003863	Depression	GWAS Catalog
psychiatry	DRD2	D003865	Depressive Disorder, Major	GWAS Catalog
psychiatry	DRD2	D011618	Psychotic Disorders	GWAS Catalog
psychiatry	DRD2	D012559	Schizophrenia	GWAS Catalog
psychiatry	GRIA1	D012559	Schizophrenia	GWAS Catalog
psychiatry	GRIA1	D012893	Sleep Wake Disorders	GWAS Catalog
psychiatry	GRIN2B	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	GRM3	D001008	Anxiety Disorders	GWAS Catalog
psychiatry	GRM3	D011618	Psychotic Disorders	GWAS Catalog
psychiatry	GRM3	D012559	Schizophrenia	GWAS Catalog
psychiatry	GRM5	D001008	Anxiety Disorders	GWAS Catalog
psychiatry	GRM5	D003865	Depressive Disorder, Major	GWAS Catalog
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	GWAS Catalog
psychiatry	GRN	D057180	Frontotemporal Dementia	GWAS Catalog
psychiatry	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	GWAS Catalog
psychiatry	HCRTR1	D012893	Sleep Wake Disorders	GWAS Catalog
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	GWAS Catalog
psychiatry	HCRTR2	D009290	Narcolepsy	GWAS Catalog
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	GWAS Catalog
psychiatry	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	GWAS Catalog
psychiatry	HTR6	D001714	Bipolar Disorder	GWAS Catalog
psychiatry	MAPT	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	GWAS Catalog
psychiatry	MTNR1B	D012893	Sleep Wake Disorders	GWAS Catalog
psychiatry	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	GWAS Catalog
psychiatry	OPRM1	D009293	Opioid-Related Disorders	GWAS Catalog
psychiatry	OPRM1	D019966	Substance-Related Disorders	GWAS Catalog
psychiatry	PDE10A	D001714	Bipolar Disorder	GWAS Catalog
psychiatry	PTPRS	D000544	Alzheimer Disease	GWAS Catalog
psychiatry	SCN2A	D001714	Bipolar Disorder	GWAS Catalog
psychiatry	SLC6A3	D009290	Narcolepsy	GWAS Catalog
psychiatry	SLC6A3	D012148	Restless Legs Syndrome	GWAS Catalog
psychiatry	SLC6A3	D012893	Sleep Wake Disorders	GWAS Catalog
psychiatry	SLC6A3	D020920	Dyssomnias	GWAS Catalog
psychiatry	SLC7A11	D001008	Anxiety Disorders	GWAS Catalog
psychiatry	SLC7A11	D003863	Depression	GWAS Catalog
psychiatry	SLC7A11	D009771	Obsessive-Compulsive Disorder	GWAS Catalog
psychiatry	APOE	D000544	Alzheimer Disease	Neale UKBB
psychiatry	CHRNA4	D014029	Tobacco Use Disorder	Neale UKBB
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	Neale UKBB
psychiatry	DRD2	D001008	Anxiety Disorders	Neale UKBB
psychiatry	DRD2	D003865	Depressive Disorder, Major	Neale UKBB
psychiatry	DRD2	D007319	Sleep Initiation and Maintenance Disorders	Neale UKBB
psychiatry	DRD2	D012148	Restless Legs Syndrome	Neale UKBB
psychiatry	GABRA1	D001008	Anxiety Disorders	Neale UKBB
psychiatry	GABRA1	D016584	Panic Disorder	Neale UKBB
psychiatry	GRM3	D001008	Anxiety Disorders	Neale UKBB
psychiatry	GRM5	D001008	Anxiety Disorders	Neale UKBB
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	Neale UKBB
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	Neale UKBB
psychiatry	HCRTR2	D009290	Narcolepsy	Neale UKBB
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	Neale UKBB
psychiatry	HCRTR2	D020177	Idiopathic Hypersomnia	Neale UKBB
psychiatry	HTR7	D007319	Sleep Initiation and Maintenance Disorders	Neale UKBB
psychiatry	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	Neale UKBB
psychiatry	SLC6A3	D009290	Narcolepsy	Neale UKBB
psychiatry	SLC6A3	D012148	Restless Legs Syndrome	Neale UKBB
psychiatry	SLC6A3	D012893	Sleep Wake Disorders	Neale UKBB
psychiatry	SLC6A3	D020920	Dyssomnias	Neale UKBB
psychiatry	SLC7A11	D001008	Anxiety Disorders	Neale UKBB
psychiatry	SLC7A11	D009771	Obsessive-Compulsive Disorder	Neale UKBB
psychiatry	APOE	D000544	Alzheimer Disease	FinnGen
psychiatry	GRN	D000544	Alzheimer Disease	FinnGen
digestive	CASP8	D008107	Liver Diseases	GWAS Catalog
digestive	CCL20	D003093	Colitis, Ulcerative	GWAS Catalog
digestive	CD40	D003093	Colitis, Ulcerative	GWAS Catalog
