area	gene	indication_mesh_id	indication_mesh_term	assoc_year
ophthalmology	FLT1	D009216	Myopia	2018
ophthalmology	ICOSLG	D012859	Sjogren's Syndrome	2020
ophthalmology	IL2RA	D012859	Sjogren's Syndrome	2012
ophthalmology	LOXL2	D005901	Glaucoma	2018
ophthalmology	MC1R	D000417	Albinism	2007
ophthalmology	PDGFRA	D008269	Macular Edema	2018
ophthalmology	PTPN1	D005901	Glaucoma	2018
ophthalmology	TGFB2	D005901	Glaucoma	2018
ophthalmology	TYK2	D012859	Sjogren's Syndrome	2013
ophthalmology	VEGFA	D008269	Macular Edema	2011
ophthalmology	VEGFA	D009216	Myopia	2020
ophthalmology	VEGFA	D012174	Retinitis Pigmentosa	2011
dermatology	C3	D008181	Lupus Nephritis	2020
dermatology	CD200R1	D003876	Dermatitis, Atopic	2021
dermatology	CD28	D001172	Arthritis, Rheumatoid	2013
dermatology	CD28	D011565	Psoriasis	2012
dermatology	CD28	D012859	Sjogren's Syndrome	2013
dermatology	CD28	D015535	Arthritis, Psoriatic	2012
dermatology	CD40	D001172	Arthritis, Rheumatoid	2008
dermatology	CD40	D008180	Lupus Erythematosus, Systemic	2017
dermatology	CD40	D008181	Lupus Nephritis	2017
dermatology	CD40	D012859	Sjogren's Syndrome	2008
dermatology	CD80	D008180	Lupus Erythematosus, Systemic	2012
dermatology	CTLA4	D001172	Arthritis, Rheumatoid	2009
dermatology	CTLA4	D008180	Lupus Erythematosus, Systemic	2021
dermatology	DPP4	D001172	Arthritis, Rheumatoid	2014
dermatology	ESR1	D006177	Gynecomastia	2012
dermatology	GATA3	D003876	Dermatitis, Atopic	2018
dermatology	HLA-DRB1	D001172	Arthritis, Rheumatoid	2007
dermatology	ICOSLG	D001172	Arthritis, Rheumatoid	2020
dermatology	ICOSLG	D012859	Sjogren's Syndrome	2020
dermatology	IFNG	D011565	Psoriasis	2012
dermatology	IL12B	D011565	Psoriasis	2009
dermatology	IL12B	D013625	Takayasu Arteritis	2020
dermatology	IL12B	D015535	Arthritis, Psoriatic	2009
dermatology	IL12RB2	D001172	Arthritis, Rheumatoid	2020
dermatology	IL13	D003876	Dermatitis, Atopic	2013
dermatology	IL13	D011565	Psoriasis	2009
dermatology	IL1B	D000152	Acne Vulgaris	2022
dermatology	IL2	D011565	Psoriasis	2012
dermatology	IL23R	D011565	Psoriasis	2012
dermatology	IL23R	D015535	Arthritis, Psoriatic	2010
dermatology	IL2RA	D001172	Arthritis, Rheumatoid	2012
dermatology	IL2RA	D003876	Dermatitis, Atopic	2018
dermatology	IL2RA	D012859	Sjogren's Syndrome	2012
dermatology	IL33	D003876	Dermatitis, Atopic	2018
dermatology	IL4R	D003876	Dermatitis, Atopic	2018
dermatology	IL6R	D001172	Arthritis, Rheumatoid	2012
dermatology	INPP5D	D003876	Dermatitis, Atopic	2018
dermatology	JAK2	D008180	Lupus Erythematosus, Systemic	2016
dermatology	JAK2	D011565	Psoriasis	2012
dermatology	JAK2	D015535	Arthritis, Psoriatic	2012
dermatology	MAPK14	D017719	Diabetic Foot	2017
dermatology	MC1R	D000417	Albinism	2007
dermatology	MC1R	D010787	Photosensitivity Disorders	2018
dermatology	NFKB1	D003876	Dermatitis, Atopic	2018
dermatology	NFKB1	D008181	Lupus Nephritis	2020
dermatology	PRKCB	D001172	Arthritis, Rheumatoid	2020
dermatology	PRKCB	D008180	Lupus Erythematosus, Systemic	2020
dermatology	SOAT1	D000152	Acne Vulgaris	2022
dermatology	SOAT1	D012628	Dermatitis, Seborrheic	2022
dermatology	STAT3	D011565	Psoriasis	2017
dermatology	TNFRSF1A	D015535	Arthritis, Psoriatic	2013
dermatology	TNFSF4	D003876	Dermatitis, Atopic	2018
dermatology	TSLP	D003876	Dermatitis, Atopic	2018
dermatology	TYK2	D001172	Arthritis, Rheumatoid	2013
dermatology	TYK2	D011565	Psoriasis	2017
dermatology	TYK2	D012859	Sjogren's Syndrome	2013
dermatology	TYK2	D015535	Arthritis, Psoriatic	2017
signs/symptoms	AVPR1A	D018805	Sepsis	2020
signs/symptoms	CALCR	D009765	Obesity	2015
signs/symptoms	CRP	D007249	Inflammation	2011
signs/symptoms	CYP7A1	D042882	Gallstones	2021
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	2020
signs/symptoms	FGFR1	D009765	Obesity	2018
signs/symptoms	FGFR4	D009765	Obesity	2021
signs/symptoms	GFRAL	D009765	Obesity	2017
signs/symptoms	GIPR	D009765	Obesity	2012
signs/symptoms	GLP1R	D009765	Obesity	2021
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	2019
signs/symptoms	HCN4	D001281	Atrial Fibrillation	2012
signs/symptoms	HCRTR1	D012893	Sleep Wake Disorders	2021
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	2019
signs/symptoms	HTR1A	D009765	Obesity	2015
signs/symptoms	IL12B	D008105	Liver Cirrhosis, Biliary	2021
signs/symptoms	IL18	D007249	Inflammation	2010
signs/symptoms	IL1RN	D007249	Inflammation	2011
signs/symptoms	IL33	D009298	Nasal Polyps	2019
signs/symptoms	IL6	D007249	Inflammation	2021
signs/symptoms	INSR	D009765	Obesity	2015
signs/symptoms	KCND3	D001281	Atrial Fibrillation	2017
signs/symptoms	KCNH2	D001281	Atrial Fibrillation	2018
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	2017
signs/symptoms	MAPK1	D009765	Obesity	2018
signs/symptoms	MC4R	D009765	Obesity	2008
signs/symptoms	MTNR1B	D012893	Sleep Wake Disorders	2021
signs/symptoms	NLRP3	D007249	Inflammation	2011
signs/symptoms	NPY	D009765	Obesity	2018
signs/symptoms	NR1H4	D007249	Inflammation	2020
signs/symptoms	NR3C1	D009765	Obesity	2021
signs/symptoms	OPRM1	D009765	Obesity	2018
signs/symptoms	PLG	D009203	Myocardial Infarction	2015
signs/symptoms	PPARA	D009765	Obesity	2021
signs/symptoms	PPARD	D009765	Obesity	2021
signs/symptoms	PPARG	D009765	Obesity	2017
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	2010
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	2013
signs/symptoms	SLC6A3	D012893	Sleep Wake Disorders	2019
signs/symptoms	SLC6A4	D009765	Obesity	2018
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	2018
signs/symptoms	TNFRSF1A	D007249	Inflammation	2020
signs/symptoms	TNFRSF1A	D008103	Liver Cirrhosis	2012
signs/symptoms	TNFRSF1A	D018805	Sepsis	2020
signs/symptoms	TSLP	D009298	Nasal Polyps	2019
immune	ADORA1	D001249	Asthma	2016
immune	ADRB2	D001249	Asthma	2019
immune	C3	D008181	Lupus Nephritis	2020
immune	CD200R1	D003876	Dermatitis, Atopic	2021
immune	CD28	D001172	Arthritis, Rheumatoid	2013
immune	CD28	D001327	Autoimmune Diseases	2018
immune	CD28	D012859	Sjogren's Syndrome	2013
immune	CD40	D001172	Arthritis, Rheumatoid	2008
immune	CD40	D008180	Lupus Erythematosus, Systemic	2017
immune	CD40	D008181	Lupus Nephritis	2017
immune	CD40	D012859	Sjogren's Syndrome	2008
immune	CD6	D009103	Multiple Sclerosis	2019
immune	CD80	D008180	Lupus Erythematosus, Systemic	2012
immune	CHRM3	D001249	Asthma	2017
immune	CHRM3	D065631	Rhinitis, Allergic	2017
immune	CTLA4	D001172	Arthritis, Rheumatoid	2009
immune	CTLA4	D008180	Lupus Erythematosus, Systemic	2021
immune	CXCR4	D009103	Multiple Sclerosis	2019
immune	DPP4	D001172	Arthritis, Rheumatoid	2014
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	2020
immune	FGFR3	D001249	Asthma	2018
immune	GATA3	D001249	Asthma	2018
immune	GATA3	D003876	Dermatitis, Atopic	2018
immune	HLA-DRB1	D001172	Arthritis, Rheumatoid	2007
immune	ICOSLG	D001172	Arthritis, Rheumatoid	2020
immune	ICOSLG	D012859	Sjogren's Syndrome	2020
immune	IL12B	D001327	Autoimmune Diseases	2018
immune	IL12B	D009103	Multiple Sclerosis	2019
immune	IL12RB2	D001172	Arthritis, Rheumatoid	2020
immune	IL13	D001249	Asthma	2011
immune	IL13	D003876	Dermatitis, Atopic	2013
immune	IL13	D057765	Eosinophilic Esophagitis	2011
immune	IL1B	D006967	Hypersensitivity	2019
immune	IL2RA	D001172	Arthritis, Rheumatoid	2012
immune	IL2RA	D001327	Autoimmune Diseases	2018
immune	IL2RA	D003876	Dermatitis, Atopic	2018
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	2011
immune	IL2RA	D012859	Sjogren's Syndrome	2012
immune	IL33	D001249	Asthma	2010
immune	IL33	D001327	Autoimmune Diseases	2021
immune	IL33	D003876	Dermatitis, Atopic	2018
immune	IL33	D065631	Rhinitis, Allergic	2010
immune	IL4R	D001249	Asthma	2019
immune	IL4R	D003876	Dermatitis, Atopic	2018
immune	IL4R	D006967	Hypersensitivity	2017
immune	IL4R	D057765	Eosinophilic Esophagitis	2016
immune	IL4R	D065631	Rhinitis, Allergic	2019
immune	IL5RA	D057765	Eosinophilic Esophagitis	2016
immune	IL6	D001249	Asthma	2019
immune	IL6R	D001172	Arthritis, Rheumatoid	2012
immune	IL7R	D001327	Autoimmune Diseases	2021
immune	IL7R	D003922	Diabetes Mellitus, Type 1	2021
immune	IL7R	D009103	Multiple Sclerosis	2013
immune	INPP5D	D003876	Dermatitis, Atopic	2018
immune	JAK2	D008180	Lupus Erythematosus, Systemic	2016
immune	MMP12	D001249	Asthma	2014
immune	NFKB1	D001249	Asthma	2018
immune	NFKB1	D003876	Dermatitis, Atopic	2018
immune	NFKB1	D006967	Hypersensitivity	2018
immune	NFKB1	D008181	Lupus Nephritis	2020
immune	NR3C1	D001249	Asthma	2018
immune	NR3C1	D057765	Eosinophilic Esophagitis	2020
immune	NR3C1	D065631	Rhinitis, Allergic	2018
immune	PDE3A	D001249	Asthma	2018
immune	PDE4D	D001249	Asthma	2009
immune	PDE4D	D065631	Rhinitis, Allergic	2009
immune	PRKCB	D001172	Arthritis, Rheumatoid	2020
immune	PRKCB	D008180	Lupus Erythematosus, Systemic	2020
immune	PTGER4	D006967	Hypersensitivity	2013
immune	S1PR1	D057765	Eosinophilic Esophagitis	2016
immune	S1PR4	D057765	Eosinophilic Esophagitis	2016
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	2018
immune	TNFRSF1A	D009103	Multiple Sclerosis	2009
immune	TNFSF15	D001249	Asthma	2021
immune	TNFSF4	D001249	Asthma	2016
immune	TNFSF4	D003876	Dermatitis, Atopic	2018
immune	TNFSF4	D065631	Rhinitis, Allergic	2016
immune	TSLP	D001249	Asthma	2011
immune	TSLP	D003876	Dermatitis, Atopic	2018
immune	TYK2	D001172	Arthritis, Rheumatoid	2013
immune	TYK2	D001327	Autoimmune Diseases	2018
immune	TYK2	D012859	Sjogren's Syndrome	2013
psychiatry	ADRB1	D000544	Alzheimer Disease	2020
psychiatry	ALDH2	D000437	Alcoholism	2021
psychiatry	ALDH2	D019973	Alcohol-Related Disorders	2021
psychiatry	APOE	D000544	Alzheimer Disease	2013
psychiatry	CACNA2D1	D001008	Anxiety Disorders	2018
psychiatry	CD33	D000544	Alzheimer Disease	2011
psychiatry	CHRNA4	D014029	Tobacco Use Disorder	2015
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	2020
psychiatry	DRD2	D000437	Alcoholism	2019
psychiatry	DRD2	D001008	Anxiety Disorders	2016
psychiatry	DRD2	D001714	Bipolar Disorder	2020
psychiatry	DRD2	D003863	Depression	2018
psychiatry	DRD2	D003865	Depressive Disorder, Major	2018
psychiatry	DRD2	D011618	Psychotic Disorders	2014
psychiatry	DRD2	D012559	Schizophrenia	2014
psychiatry	GRIA1	D012559	Schizophrenia	2013
psychiatry	GRIA1	D012893	Sleep Wake Disorders	2019
psychiatry	GRIN2B	D000544	Alzheimer Disease	2017
psychiatry	GRM3	D001008	Anxiety Disorders	2017
psychiatry	GRM3	D011618	Psychotic Disorders	2014
psychiatry	GRM3	D012559	Schizophrenia	2014
psychiatry	GRM5	D001008	Anxiety Disorders	2017
psychiatry	GRM5	D003865	Depressive Disorder, Major	2021
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	2017
psychiatry	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	2021
psychiatry	HCRTR1	D012893	Sleep Wake Disorders	2021
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	2019
psychiatry	HCRTR2	D009290	Narcolepsy	2019
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	2019
psychiatry	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	2021
psychiatry	HTR6	D001714	Bipolar Disorder	2021
psychiatry	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	2021
psychiatry	MTNR1B	D012893	Sleep Wake Disorders	2021
psychiatry	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	2019
psychiatry	OPRM1	D009293	Opioid-Related Disorders	2020
psychiatry	OPRM1	D019966	Substance-Related Disorders	2020
psychiatry	PDE10A	D001714	Bipolar Disorder	2011
psychiatry	PTPRS	D000544	Alzheimer Disease	2020
psychiatry	SCN2A	D001714	Bipolar Disorder	2019
psychiatry	SLC6A3	D009290	Narcolepsy	2019
psychiatry	SLC6A3	D012148	Restless Legs Syndrome	2019
psychiatry	SLC6A3	D012893	Sleep Wake Disorders	2019
psychiatry	SLC6A3	D020920	Dyssomnias	2019
psychiatry	SLC7A11	D001008	Anxiety Disorders	2018
psychiatry	SLC7A11	D003863	Depression	2019
psychiatry	SLC7A11	D009771	Obsessive-Compulsive Disorder	2018
digestive	CASP8	D008107	Liver Diseases	2021
digestive	CCL20	D003093	Colitis, Ulcerative	2015
digestive	CD40	D003093	Colitis, Ulcerative	2012
digestive	CD40	D003424	Crohn Disease	2012
digestive	CYP7A1	D042882	Gallstones	2021
digestive	HSD17B13	D065626	Non-alcoholic Fatty Liver Disease	2021
digestive	IFNG	D003424	Crohn Disease	2009
digestive	IL12B	D003093	Colitis, Ulcerative	2008
digestive	IL12B	D003424	Crohn Disease	2008
digestive	IL12B	D008105	Liver Cirrhosis, Biliary	2021
digestive	IL13	D057765	Eosinophilic Esophagitis	2011
digestive	IL23R	D003093	Colitis, Ulcerative	2007
digestive	IL23R	D003424	Crohn Disease	2007
digestive	IL23R	D015212	Inflammatory Bowel Diseases	2007
digestive	IL2RA	D003093	Colitis, Ulcerative	2010
digestive	IL4R	D057765	Eosinophilic Esophagitis	2016
digestive	IL5RA	D057765	Eosinophilic Esophagitis	2016
digestive	ITGA4	D003093	Colitis, Ulcerative	2017
digestive	ITGA4	D015212	Inflammatory Bowel Diseases	2017
digestive	ITGAV	D003424	Crohn Disease	2017
digestive	JAK2	D003093	Colitis, Ulcerative	2008
digestive	JAK2	D003424	Crohn Disease	2008
digestive	MAP3K8	D003093	Colitis, Ulcerative	2012
digestive	MAP3K8	D015212	Inflammatory Bowel Diseases	2012
digestive	MMP9	D003093	Colitis, Ulcerative	2017
digestive	MMP9	D003424	Crohn Disease	2017
digestive	NFKB1	D003093	Colitis, Ulcerative	2012
digestive	NFKB1	D003424	Crohn Disease	2012
digestive	NR1H4	D008107	Liver Diseases	2021
digestive	NR3C1	D057765	Eosinophilic Esophagitis	2020
digestive	PDE4B	D003093	Colitis, Ulcerative	2011
digestive	PDE4B	D003424	Crohn Disease	2011
digestive	PDE4B	D015212	Inflammatory Bowel Diseases	2011
digestive	PNPLA3	D065626	Non-alcoholic Fatty Liver Disease	2011
digestive	PPARG	D065626	Non-alcoholic Fatty Liver Disease	2021
digestive	PRKCB	D003093	Colitis, Ulcerative	2012
digestive	PTGER4	D003093	Colitis, Ulcerative	2015
digestive	S1PR1	D057765	Eosinophilic Esophagitis	2016
digestive	S1PR4	D057765	Eosinophilic Esophagitis	2016
digestive	SMAD7	D003093	Colitis, Ulcerative	2012
digestive	SMAD7	D003424	Crohn Disease	2012
digestive	STAT3	D003093	Colitis, Ulcerative	2008
digestive	TNFRSF1A	D008103	Liver Cirrhosis	2012
digestive	TNFSF15	D003093	Colitis, Ulcerative	2008
digestive	TNFSF15	D003424	Crohn Disease	2008
oncology	ALCAM	D001943	Breast Neoplasms	2019
oncology	AR	D011471	Prostatic Neoplasms	2021
oncology	BCL2	D008224	Lymphoma, Follicular	2014
oncology	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	2013
oncology	BCL2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	2013
oncology	CASP8	D008175	Lung Neoplasms	2019
oncology	CCND1	D001943	Breast Neoplasms	2015
oncology	CCNE1	D001943	Breast Neoplasms	2017
oncology	CDK6	D011471	Prostatic Neoplasms	2021
oncology	CDKN1A	D015179	Colorectal Neoplasms	2012
oncology	CHEK2	D006258	Head and Neck Neoplasms	2010
oncology	CHEK2	D015179	Colorectal Neoplasms	2010
oncology	EDNRB	D005770	Gastrointestinal Neoplasms	2019
oncology	EGFR	D005909	Glioblastoma	2015
oncology	EGFR	D008527	Medulloblastoma	2015
oncology	EGFR	D018242	Neuroectodermal Tumors, Primitive	2015
oncology	EPAS1	D007680	Kidney Neoplasms	2010
oncology	ERBB4	D001943	Breast Neoplasms	2012
oncology	ESR1	D001943	Breast Neoplasms	2012
oncology	ESR1	D009369	Neoplasms	2020
oncology	FGFR2	D001943	Breast Neoplasms	2007
oncology	FGFR2	D009369	Neoplasms	2016
oncology	FGFR2	D011471	Prostatic Neoplasms	2010
oncology	FGFR2	D013736	Testicular Neoplasms	2010
oncology	FLT4	D006258	Head and Neck Neoplasms	2013
oncology	FLT4	D009303	Nasopharyngeal Neoplasms	2013
oncology	FSHR	D010051	Ovarian Neoplasms	2012
oncology	GNRH1	D007889	Leiomyoma	2021
oncology	IL13	D006689	Hodgkin Disease	2012
oncology	ITGB8	D011471	Prostatic Neoplasms	2018
oncology	JAK2	D019337	Hematologic Neoplasms	2009
oncology	KLK2	D011471	Prostatic Neoplasms	2017
oncology	KLK3	D011471	Prostatic Neoplasms	2010
oncology	LHCGR	D010051	Ovarian Neoplasms	2010
oncology	LHCGR	D011085	Polycystic Ovary Syndrome	2010
oncology	MAP3K1	D001943	Breast Neoplasms	2007
oncology	MAP3K1	D009369	Neoplasms	2016
oncology	MC1R	D014983	Xeroderma Pigmentosum	2018
oncology	MC1R	D018307	Neoplasms, Squamous Cell	2020
oncology	MDM4	D001943	Breast Neoplasms	2013
oncology	MSLN	D009369	Neoplasms	2019
oncology	MYC	D001943	Breast Neoplasms	2013
oncology	MYC	D008223	Lymphoma	2021
oncology	MYC	D011471	Prostatic Neoplasms	2018
oncology	NKX3-1	D011471	Prostatic Neoplasms	2009
oncology	NOTCH2	D001943	Breast Neoplasms	2020
oncology	NOTCH4	D015179	Colorectal Neoplasms	2018
oncology	PARP1	D008545	Melanoma	2020
oncology	PIK3C2B	D009369	Neoplasms	2020
oncology	PTPN1	D015179	Colorectal Neoplasms	2019
oncology	TNFRSF13B	D009101	Multiple Myeloma	2013
oncology	TYR	D008545	Melanoma	2009
oncology	TYRP1	D008545	Melanoma	2020
oncology	VEGFA	D011471	Prostatic Neoplasms	2021
oncology	VEGFA	D014565	Urogenital Neoplasms	2021
oncology	WT1	D010051	Ovarian Neoplasms	2018
cardiovascular	ACE	D006973	Hypertension	2010
cardiovascular	ADRA1A	D006973	Hypertension	2021
cardiovascular	ADRA2C	D006973	Hypertension	2018
cardiovascular	ADRB1	D006973	Hypertension	2011
cardiovascular	ADRB2	D006973	Hypertension	2020
cardiovascular	AGT	D006973	Hypertension	2016
cardiovascular	CETP	D050197	Atherosclerosis	2017
cardiovascular	CYP11B2	D006973	Hypertension	2021
cardiovascular	EDNRA	D006973	Hypertension	2017
cardiovascular	F11	D013927	Thrombosis	2016
cardiovascular	F11	D020246	Venous Thrombosis	2016
cardiovascular	F2	D013927	Thrombosis	2021
cardiovascular	F2	D020246	Venous Thrombosis	2021
cardiovascular	FCGR2A	D014657	Vasculitis	2011
cardiovascular	GP6	D013927	Thrombosis	2010
cardiovascular	GUCY1A1	D050197	Atherosclerosis	2015
cardiovascular	GUCY1B1	D050197	Atherosclerosis	2020
cardiovascular	HCN4	D001281	Atrial Fibrillation	2012
cardiovascular	IL12B	D013625	Takayasu Arteritis	2020
cardiovascular	KCND3	D001281	Atrial Fibrillation	2017
cardiovascular	KCNH2	D001281	Atrial Fibrillation	2018
cardiovascular	KCNJ5	D001281	Atrial Fibrillation	2017
cardiovascular	LPA	D002318	Cardiovascular Diseases	2018
cardiovascular	LPA	D050197	Atherosclerosis	2015
cardiovascular	MAPK14	D017719	Diabetic Foot	2017
cardiovascular	MME	D006973	Hypertension	2016
cardiovascular	NOS3	D020521	Stroke	2018
cardiovascular	NPR1	D006973	Hypertension	2020
cardiovascular	PCSK9	D050197	Atherosclerosis	2015
cardiovascular	PDE3A	D020521	Stroke	2021
cardiovascular	PDE3A	D050197	Atherosclerosis	2017
cardiovascular	PDE5A	D006973	Hypertension	2016
cardiovascular	PLG	D009203	Myocardial Infarction	2015
cardiovascular	REN	D006973	Hypertension	2018
cardiovascular	SCN5A	D001145	Arrhythmias, Cardiac	2010
cardiovascular	SCN5A	D017180	Tachycardia, Ventricular	2013
cardiovascular	SLC12A2	D006973	Hypertension	2018
cardiovascular	VDR	D006973	Hypertension	2021
cardiovascular	VEGFA	D050197	Atherosclerosis	2017
cardiovascular	VWF	D013927	Thrombosis	2021
cardiovascular	VWF	D020246	Venous Thrombosis	2021
neurology	ADRB1	D000544	Alzheimer Disease	2020
neurology	APOE	D000544	Alzheimer Disease	2013
neurology	CALCB	D008881	Migraine Disorders	2021
neurology	CD33	D000544	Alzheimer Disease	2011
neurology	CD6	D009103	Multiple Sclerosis	2019
neurology	CXCR4	D009103	Multiple Sclerosis	2019
neurology	FYN	D010300	Parkinson Disease	2019
neurology	GCH1	D010300	Parkinson Disease	2014
neurology	GRIA1	D012893	Sleep Wake Disorders	2019
neurology	GRIN2B	D000544	Alzheimer Disease	2017
neurology	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	2021
neurology	HCRTR1	D012893	Sleep Wake Disorders	2021
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	2019
neurology	HCRTR2	D009290	Narcolepsy	2019
neurology	HCRTR2	D012893	Sleep Wake Disorders	2019
neurology	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	2021
neurology	IL12B	D009103	Multiple Sclerosis	2019
neurology	IL7R	D009103	Multiple Sclerosis	2013
neurology	LRRK2	D010300	Parkinson Disease	2011
neurology	MAPK14	D003929	Diabetic Neuropathies	2017
neurology	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	2021
neurology	MTNR1B	D012893	Sleep Wake Disorders	2021
neurology	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	2019
neurology	MTNR1B	D058496	Smith-Magenis Syndrome	2019
neurology	NOS3	D020521	Stroke	2018
neurology	PDE3A	D020521	Stroke	2021
neurology	PTPRS	D000544	Alzheimer Disease	2020
neurology	SCN1A	D004828	Epilepsies, Partial	2018
neurology	SLC6A3	D009290	Narcolepsy	2019
neurology	SLC6A3	D012148	Restless Legs Syndrome	2019
neurology	SLC6A3	D012893	Sleep Wake Disorders	2019
neurology	SLC6A3	D020920	Dyssomnias	2019
neurology	TNFRSF1A	D009103	Multiple Sclerosis	2009
neurology	TRPM8	D008881	Migraine Disorders	2011
congenital	APOA1	D006938	Hyperlipoproteinemia Type II	2020
congenital	APOE	D006938	Hyperlipoproteinemia Type II	2012
congenital	BCL11A	D000755	Anemia, Sickle Cell	2009
congenital	BCL11A	D013789	Thalassemia	2009
congenital	CD200R1	D003876	Dermatitis, Atopic	2021
congenital	CETP	D006938	Hyperlipoproteinemia Type II	2009
congenital	GATA3	D003876	Dermatitis, Atopic	2018
congenital	IL13	D003876	Dermatitis, Atopic	2013
congenital	IL2RA	D003876	Dermatitis, Atopic	2018
congenital	IL33	D003876	Dermatitis, Atopic	2018
congenital	IL4R	D003876	Dermatitis, Atopic	2018
congenital	INPP5D	D003876	Dermatitis, Atopic	2018
congenital	MC1R	D000417	Albinism	2007
congenital	MTNR1B	D058496	Smith-Magenis Syndrome	2019
congenital	NFKB1	D003876	Dermatitis, Atopic	2018
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	2008
congenital	PPARA	D006938	Hyperlipoproteinemia Type II	2020
congenital	PPARG	D006073	Gout	2020
congenital	SLC22A12	D006073	Gout	2012
congenital	THRB	D006938	Hyperlipoproteinemia Type II	2018
congenital	TNFSF4	D003876	Dermatitis, Atopic	2018
congenital	TSLP	D003876	Dermatitis, Atopic	2018
congenital	VEGFA	D012174	Retinitis Pigmentosa	2011
congenital	VWF	D006467	Hemophilia A	2010
infection	AVPR1A	D018805	Sepsis	2020
