indication_mesh_id	n_human_target	n_drugs	n_supported_genes	logbin	indication_mesh_term
D001997	6	6	0	-1	Bronchopulmonary Dysplasia
D004489	5	6	0	-1	Edema, Cardiac
D011654	5	6	0	-1	Pulmonary Edema
D012038	5	6	0	-1	Regeneration
D012127	6	6	0	-1	Respiratory Distress Syndrome, Newborn
D019559	4	6	0	-1	Capillary Leak Syndrome
D044968	10	6	0	-1	Regenerative Medicine
D000077299	5	5	0	-1	Healthcare-Associated Pneumonia
D001201	9	5	0	-1	Ascites
D001861	4	5	0	-1	Bone Regeneration
D002817	11	5	0	-1	Chordoma
D007751	3	5	0	-1	Labor, Induced
D011818	8	5	0	-1	Rabies
D015673	5	5	0	-1	Fatigue Syndrome, Chronic
D018352	8	5	0	-1	Coronavirus Infections
D000077295	3	4	0	-1	Urinary Bladder, Underactive
D002813	3	4	0	-1	Chondrosarcoma
D004357	1	4	0	-1	Drug Synergism
D006530	5	4	0	-1	Hepatorenal Syndrome
D007968	4	4	0	-1	Leukoencephalopathy, Progressive Multifocal
D011552	4	4	0	-1	Pseudomonas Infections
D013919	4	4	0	-1	Thromboangiitis Obliterans
D014901	4	4	0	-1	West Nile Fever
D015356	6	4	0	-1	Retinal Artery Occlusion
D015461	3	4	0	-1	Leukemia, Prolymphocytic, T-Cell
D020345	6	4	0	-1	Enterocolitis, Necrotizing
D060737	5	4	0	-1	Reproductive Tract Infections
D000077733	3	3	0	-1	Immunoglobulin G4-Related Disease
D000079690	3	3	0	-1	Postoperative Cognitive Complications
D000258	4	3	0	-1	Adenovirus Infections, Human
D000707	3	3	0	-1	Anaphylaxis
D003693	4	3	0	-1	Delirium
D008231	3	3	0	-1	Lymphopenia
D012080	2	3	0	-1	Chronic Kidney Disease-Mineral and Bone Disorder
D015526	7	3	0	-1	AIDS Dementia Complex
D016066	3	3	0	-1	Pleural Effusion, Malignant
D018058	3	3	0	-1	Tympanic Membrane Perforation
D018192	1	3	0	-1	Lymphangioleiomyomatosis
D019121	3	3	0	-1	Burkholderia Infections
D019449	4	3	0	-1	Pouchitis
D055501	3	3	0	-1	Macrophage Activation Syndrome
D058065	3	3	0	-1	Diabetic Cardiomyopathies
C537477	1	2	0	-1	
D000070627	3	2	0	-1	Chronic Traumatic Encephalopathy
D000762	1	2	0	-1	Anesthesia Recovery Period
D005242	4	2	0	-1	Fecal Incontinence
D006461	1	2	0	-1	Hemolysis
D010144	3	2	0	-1	Paget's Disease, Mammary
D012552	2	2	0	-1	Schistosomiasis
D012899	4	2	0	-1	Smallpox
D014328	2	2	0	-1	Trophoblastic Neoplasms
D014355	2	2	0	-1	Chagas Disease
D014406	2	2	0	-1	Tularemia
D015423	2	2	0	-1	Scleritis
D016751	2	2	0	-1	Hepatitis E
D017250	3	2	0	-1	Caliciviridae Infections
D059373	2	2	0	-1	Mastodynia
D065227	4	2	0	-1	Transfusion Reaction
D000007	1	1	0	-1	Abdominal Injuries
D000068884	1	1	0	-1	Immunosenescence
D000080365	1	1	0	-1	Birdshot Chorioretinopathy
D000292	1	1	0	-1	Pelvic Inflammatory Disease
D001906	1	1	0	-1	Botulism
D001919	1	1	0	-1	Bradycardia
D002771	1	1	0	-1	Cholera
D004672	1	1	0	-1	Encephalitis, Japanese
D004673	1	1	0	-1	Encephalomyelitis, Acute Disseminated
D004685	1	1	0	-1	Encephalomyelitis, Venezuelan Equine
D004696	1	1	0	-1	Endocarditis
D005348	1	1	0	-1	Fibrocystic Breast Disease
D006192	1	1	0	-1	Haemophilus Infections
D006965	1	1	0	-1	Hyperplasia
D007027	3	1	0	-1	Hypothalamic Diseases
D007174	1	1	0	-1	Disruptive, Impulse Control, and Conduct Disorders
D007775	1	1	0	-1	Lactation Disorders
D007971	1	1	0	-1	Leukoplakia
D009335	1	1	0	-1	Necrobiosis Lipoidica
D010018	1	1	0	-1	Osteomalacia
D010262	1	1	0	-1	Paraphilic Disorders
D010930	1	1	0	-1	Plague
D010939	1	1	0	-1	Plant Poisoning
D011271	1	1	0	-1	Pregnancy, Ectopic
D012398	1	1	0	-1	Ross River virus
D012400	1	1	0	-1	Rotavirus Infections
D014245	1	1	0	-1	Trichomonas Infections
D014256	1	1	0	-1	Trichotillomania
D014947	1	1	0	-1	Wounds and Injuries
D015275	1	1	0	-1	Tumor Lysis Syndrome
D016557	1	1	0	-1	Guided Tissue Regeneration, Periodontal
D016908	2	1	0	-1	Gram-Positive Bacterial Infections
D017590	1	1	0	-1	Myelinolysis, Central Pontine
D018325	1	1	0	-1	Hemangioblastoma
D018778	1	1	0	-1	Hantavirus Infections
D018883	1	1	0	-1	Heat Stroke
D020301	1	1	0	-1	Vasospasm, Intracranial
D027601	1	1	0	-1	Polyomavirus Infections
D045464	1	1	0	-1	Henipavirus Infections
D045602	1	1	0	-1	Steatorrhea
D050724	1	1	0	-1	Fractures, Cartilage
D054066	1	1	0	-1	Leukemia, Large Granular Lymphocytic
D054973	1	1	0	-1	Perivascular Epithelioid Cell Neoplasms
D055496	1	1	0	-1	Neurogenic Bowel
D056650	1	1	0	-1	Vulvodynia
D058088	1	1	0	-1	Sarcoglycanopathies
D060585	1	1	0	-1	Fusariosis
D065632	1	1	0	-1	Chikungunya Fever
D000072742	1		0	-1	Invasive Fungal Infections
D000080984	1		0	-1	Congenital Bone Marrow Failure Syndromes
D006985	2		0	-1	Hyperventilation
D014314	2		0	-1	Trisomy
