gene	n_gsup_ti	n_gsup_pp_ti	n_nonsup_pp_ti	launched	omim	gwas
ADRB2	4	0	24	TRUE	FALSE	TRUE
AFP	1	0	9	FALSE	TRUE	TRUE
AGER	5	0	3	FALSE	FALSE	TRUE
AGRP	1	0	1	FALSE	FALSE	FALSE
AGT	3	1	7	TRUE	TRUE	TRUE
AGTR1	1	0	12	TRUE	TRUE	TRUE
AHR	17	0	4	TRUE	FALSE	TRUE
AIFM1	1	0	2	FALSE	TRUE	FALSE
AKR1C3	2	0	6	FALSE	FALSE	TRUE
AKT1	13	5	42	FALSE	TRUE	TRUE
AKT2	2	0	12	FALSE	FALSE	TRUE
AKT3	9	0	5	FALSE	TRUE	TRUE
ALAS1	3	0	1	TRUE	FALSE	FALSE
ALB	2	0	17	FALSE	TRUE	TRUE
ALCAM	4	0	2	FALSE	FALSE	TRUE
ALDH2	12	0	6	FALSE	TRUE	TRUE
ALK	7	5	23	TRUE	FALSE	TRUE
ALOX15	8	0	12	FALSE	FALSE	TRUE
ALOX5AP	1	0	4	FALSE	FALSE	TRUE
ALPL	8	1	1	TRUE	TRUE	TRUE
AMHR2	1	0	4	FALSE	TRUE	FALSE
ANG	1	0	1	FALSE	TRUE	TRUE
ANGPT1	6	0	22	FALSE	FALSE	TRUE
ANGPTL3	3	2	8	TRUE	TRUE	FALSE
ANGPTL4	5	1	0	FALSE	FALSE	TRUE
ANGPTL8	3	0	1	FALSE	FALSE	TRUE
ANO1	9	0	1	FALSE	FALSE	TRUE
ANPEP	2	0	31	TRUE	FALSE	TRUE
ANTXR1	3	0	13	TRUE	TRUE	TRUE
APC	13	0	2	FALSE	TRUE	TRUE
APCS	1	0	10	FALSE	FALSE	TRUE
APEX1	1	0	21	FALSE	FALSE	TRUE
APOA1	5	2	18	FALSE	TRUE	TRUE
APOB	20	4	3	TRUE	TRUE	TRUE
APOC3	5	1	6	TRUE	TRUE	TRUE
APOE	48	2	0	FALSE	TRUE	TRUE
APOL1	3	2	1	FALSE	FALSE	TRUE
APP	5	1	15	TRUE	TRUE	TRUE
AQP1	4	0	2	FALSE	FALSE	TRUE
AQP4	8	0	3	FALSE	FALSE	TRUE
AR	8	1	36	TRUE	TRUE	TRUE
ARAF	2	1	2	FALSE	FALSE	FALSE
ARG1	4	0	15	FALSE	TRUE	TRUE
ARHGAP45	1	0	2	FALSE	FALSE	FALSE
ARHGEF2	3	0	14	TRUE	FALSE	FALSE
ARSA	1	1	0	FALSE	TRUE	TRUE
ATM	19	0	4	FALSE	TRUE	TRUE
ATOH1	1	0	1	FALSE	FALSE	TRUE
ATP1A1	6	0	10	TRUE	TRUE	TRUE
ATP2A2	5	0	8	FALSE	TRUE	TRUE
ATP4A	1	0	9	TRUE	FALSE	TRUE
ATP5F1D	1	0	1	FALSE	TRUE	FALSE
ATP5F1E	3	0	3	FALSE	TRUE	TRUE
ATR	5	0	10	FALSE	TRUE	TRUE
ATXN2	9	0	1	FALSE	FALSE	TRUE
AURKC	1	0	21	FALSE	TRUE	FALSE
AVPR1A	2	0	22	TRUE	FALSE	TRUE
AVPR2	1	0	16	TRUE	TRUE	FALSE
AXL	4	0	40	TRUE	FALSE	TRUE
BACE1	1	0	4	FALSE	FALSE	TRUE
BACH1	8	0	4	FALSE	FALSE	TRUE
BAK1	13	0	3	FALSE	FALSE	TRUE
BAX	1	0	2	FALSE	FALSE	TRUE
BCHE	3	0	4	TRUE	TRUE	TRUE
BCKDK	4	0	2	TRUE	TRUE	FALSE
BCL11A	21	1	1	FALSE	FALSE	TRUE
BCL2	20	7	25	TRUE	FALSE	TRUE
BCL2L1	1	0	26	FALSE	FALSE	TRUE
BCR	7	3	38	TRUE	FALSE	TRUE
BDKRB2	2	0	11	FALSE	FALSE	TRUE
BIRC3	2	0	21	FALSE	FALSE	TRUE
BMP10	2	0	14	FALSE	FALSE	TRUE
BMP2	14	0	2	FALSE	TRUE	TRUE
BMP4	10	0	3	FALSE	TRUE	TRUE
BMPR1A	6	0	2	FALSE	TRUE	TRUE
BRAF	18	12	29	TRUE	TRUE	TRUE
BRD1	1	0	1	FALSE	FALSE	TRUE
BRD3	6	0	16	FALSE	FALSE	TRUE
BRD4	2	1	27	FALSE	FALSE	TRUE
BRDT	1	0	8	FALSE	FALSE	TRUE
BST1	1	0	1	FALSE	FALSE	TRUE
BTK	4	2	59	TRUE	TRUE	FALSE
BTN3A1	3	0	2	FALSE	FALSE	TRUE
C2	2	0	5	FALSE	TRUE	FALSE
C3	3	1	17	TRUE	FALSE	TRUE
C5	2	0	38	TRUE	FALSE	TRUE
C9	5	0	1	FALSE	FALSE	TRUE
C9orf72	1	1	1	FALSE	TRUE	TRUE
CA2	1	0	4	TRUE	TRUE	TRUE
CACNA1A	5	0	1	FALSE	TRUE	TRUE
CACNA1B	4	0	8	FALSE	TRUE	TRUE
CACNA1C	9	0	15	TRUE	TRUE	TRUE
CACNA1G	2	0	8	FALSE	TRUE	TRUE
CACNA1H	1	0	9	FALSE	TRUE	TRUE
CACNA1I	4	0	1	FALSE	TRUE	TRUE
CACNA2D1	5	0	20	TRUE	TRUE	TRUE
CAD	2	0	1	FALSE	TRUE	FALSE
CALCB	3	1	1	TRUE	FALSE	TRUE
CALCR	5	2	6	FALSE	FALSE	TRUE
CALCRL	13	0	7	TRUE	FALSE	TRUE
CALM1	1	0	1	FALSE	TRUE	TRUE
CALR	4	0	1	FALSE	FALSE	FALSE
CAPN1	3	0	3	FALSE	TRUE	TRUE
CASP3	2	1	18	FALSE	FALSE	TRUE
CASP8	15	3	8	FALSE	FALSE	TRUE
CASP9	2	0	17	FALSE	FALSE	FALSE
CASR	6	2	3	TRUE	TRUE	TRUE
CBLB	9	0	5	FALSE	TRUE	TRUE
CBS	4	1	0	FALSE	TRUE	TRUE
CCK	2	0	1	FALSE	FALSE	TRUE
CCL11	1	0	7	FALSE	FALSE	TRUE
CCL2	2	0	20	FALSE	FALSE	TRUE
CCL20	5	1	5	FALSE	FALSE	TRUE
CCL24	2	0	7	FALSE	FALSE	TRUE
CCNA2	2	0	2	FALSE	FALSE	TRUE
CCND1	12	0	6	FALSE	FALSE	TRUE
CCNE1	6	1	8	FALSE	FALSE	TRUE
CCNE2	1	0	9	FALSE	FALSE	FALSE
CCR1	4	0	14	FALSE	FALSE	FALSE
CCR2	4	0	30	FALSE	FALSE	TRUE
CCR3	6	0	14	FALSE	FALSE	TRUE
CCR4	1	0	12	TRUE	FALSE	TRUE
CCR6	2	0	1	FALSE	FALSE	TRUE
CCR7	1	0	2	FALSE	FALSE	TRUE
CD163	2	0	2	FALSE	FALSE	TRUE
CD200	1	0	4	FALSE	FALSE	TRUE
CD200R1	3	0	3	FALSE	FALSE	TRUE
CD22	1	0	11	TRUE	FALSE	FALSE
CD226	13	0	1	FALSE	FALSE	TRUE
CD248	3	0	3	FALSE	FALSE	TRUE
CD27	1	0	14	FALSE	TRUE	TRUE
CD274	2	1	63	TRUE	FALSE	TRUE
CD276	4	0	16	TRUE	FALSE	TRUE
CD28	8	3	29	TRUE	FALSE	TRUE
CD33	7	1	9	FALSE	FALSE	TRUE
CD36	9	0	12	FALSE	TRUE	TRUE
CD37	1	0	12	FALSE	FALSE	FALSE
CD38	1	0	30	TRUE	FALSE	TRUE
CD3E	1	0	67	TRUE	TRUE	FALSE
CD4	1	0	18	TRUE	TRUE	FALSE
CD40	11	3	34	FALSE	TRUE	TRUE
CD40LG	1	0	19	FALSE	TRUE	FALSE
CD44	4	0	15	FALSE	FALSE	TRUE
CD46	7	0	2	FALSE	FALSE	TRUE
CD47	3	0	32	FALSE	FALSE	TRUE
CD48	1	0	4	FALSE	FALSE	TRUE
CD59	1	0	2	FALSE	TRUE	TRUE
CD6	4	1	9	TRUE	FALSE	TRUE
CD70	2	0	13	FALSE	TRUE	TRUE
CD79B	4	2	5	TRUE	TRUE	TRUE
CD80	2	1	14	TRUE	FALSE	TRUE
CD86	2	0	13	TRUE	FALSE	TRUE
CD8A	2	0	4	FALSE	TRUE	TRUE
CD96	1	0	1	FALSE	TRUE	TRUE
CDC7	5	0	4	FALSE	FALSE	TRUE
CDH11	12	0	5	FALSE	TRUE	TRUE
CDH3	3	0	3	FALSE	FALSE	TRUE
CDH6	6	0	3	FALSE	FALSE	TRUE
CDK19	3	0	5	FALSE	TRUE	TRUE
CDK4	1	1	43	TRUE	FALSE	FALSE
CDK6	16	1	33	TRUE	FALSE	TRUE
CDK8	2	0	5	FALSE	TRUE	TRUE
CDKN1A	20	1	3	FALSE	FALSE	TRUE
CDKN2A	23	1	1	FALSE	FALSE	TRUE
CEBPA	8	0	2	FALSE	FALSE	TRUE
CEL	1	0	1	FALSE	TRUE	FALSE
CENPE	5	0	8	FALSE	FALSE	TRUE
CEP290	3	1	0	FALSE	TRUE	FALSE
CETP	12	2	6	FALSE	FALSE	TRUE
CFB	5	0	9	FALSE	FALSE	TRUE
CFD	1	0	8	FALSE	TRUE	TRUE
CFH	9	1	3	FALSE	TRUE	TRUE
CFLAR	1	0	9	FALSE	FALSE	TRUE
CFTR	5	1	10	TRUE	TRUE	TRUE
CHAT	1	0	3	FALSE	TRUE	FALSE
CHEK2	21	2	9	FALSE	TRUE	TRUE
CHKA	1	0	1	FALSE	TRUE	FALSE
CHM	1	1	0	FALSE	TRUE	FALSE
CHRM1	2	0	25	TRUE	FALSE	TRUE
CHRM2	1	0	18	TRUE	FALSE	TRUE
CHRM3	6	1	25	TRUE	TRUE	TRUE
CHRM4	1	1	17	TRUE	FALSE	FALSE
CHRNA3	11	1	11	FALSE	FALSE	TRUE
CHRNA4	5	1	18	TRUE	TRUE	TRUE
CHRNB2	2	0	19	TRUE	TRUE	TRUE
CHRNB4	9	0	12	FALSE	FALSE	TRUE
CLCN1	1	0	1	FALSE	TRUE	TRUE
CLCN2	2	0	20	TRUE	TRUE	TRUE
CLDN1	1	0	2	FALSE	TRUE	FALSE
CLEC14A	2	0	1	FALSE	FALSE	TRUE
CLEC4M	3	0	3	FALSE	FALSE	TRUE
CLEC7A	1	0	1	FALSE	TRUE	FALSE
CLN3	3	1	0	FALSE	TRUE	FALSE
CLN5	3	1	0	FALSE	TRUE	TRUE
CLN6	1	1	0	FALSE	TRUE	FALSE
CLPP	1	0	18	FALSE	TRUE	FALSE
CLU	2	0	7	FALSE	FALSE	TRUE
CMKLR1	3	0	5	FALSE	FALSE	TRUE
CNGA3	1	1	0	FALSE	TRUE	FALSE
CNGB3	2	1	0	FALSE	TRUE	TRUE
COL18A1	4	0	5	FALSE	TRUE	TRUE
COL1A1	7	0	13	FALSE	TRUE	TRUE
COL3A1	3	0	1	FALSE	TRUE	TRUE
COL4A1	13	0	8	FALSE	TRUE	TRUE
COL7A1	3	1	0	TRUE	TRUE	FALSE
COMT	2	0	3	TRUE	FALSE	TRUE
COQ7	1	0	1	FALSE	TRUE	FALSE
CPS1	28	0	1	TRUE	TRUE	TRUE
CPT1A	7	0	6	FALSE	TRUE	TRUE
CPT2	1	0	1	FALSE	TRUE	TRUE
CR1	3	0	3	TRUE	FALSE	TRUE
CRBN	2	0	32	TRUE	TRUE	TRUE
CREB1	2	0	1	FALSE	FALSE	TRUE
CREBBP	19	4	4	FALSE	TRUE	TRUE
CRHR2	1	0	7	FALSE	FALSE	TRUE
CRP	4	1	7	FALSE	FALSE	TRUE
CSF1	8	0	13	FALSE	FALSE	TRUE
CSF1R	4	0	64	TRUE	TRUE	TRUE
CSF2RA	1	0	29	TRUE	FALSE	FALSE
CSF2RB	4	0	1	FALSE	FALSE	TRUE
CSF3	2	1	6	TRUE	FALSE	TRUE
CSF3R	4	2	18	TRUE	TRUE	TRUE
CSNK1A1	1	0	4	FALSE	FALSE	FALSE
CSNK1D	1	1	2	FALSE	TRUE	FALSE
CTCFL	1	0	1	FALSE	FALSE	TRUE
CTLA4	16	2	34	TRUE	TRUE	TRUE
CTNNB1	19	1	13	FALSE	TRUE	TRUE
CTSB	5	0	6	FALSE	TRUE	TRUE
CTSC	2	0	3	FALSE	TRUE	TRUE
CTSF	1	0	3	FALSE	TRUE	FALSE
CTSK	1	0	10	FALSE	TRUE	FALSE
CTSS	6	0	10	FALSE	FALSE	TRUE
CXCL10	1	0	12	FALSE	FALSE	FALSE
CXCL12	7	0	27	FALSE	FALSE	TRUE
CXCL2	3	0	5	FALSE	FALSE	TRUE
CXCL8	1	0	15	TRUE	FALSE	TRUE
CXCR1	4	2	11	FALSE	FALSE	TRUE
CXCR2	2	1	24	FALSE	FALSE	TRUE
CXCR4	12	4	44	TRUE	TRUE	TRUE
CYP11A1	1	0	2	FALSE	TRUE	TRUE
CYP11B1	1	0	5	TRUE	TRUE	FALSE
CYP11B2	1	0	8	TRUE	TRUE	TRUE
CYP17A1	2	0	3	TRUE	TRUE	TRUE
CYP19A1	12	1	2	FALSE	TRUE	TRUE
CYP1B1	9	0	5	FALSE	TRUE	TRUE
CYP24A1	14	0	1	FALSE	TRUE	TRUE
CYP26A1	16	0	1	FALSE	FALSE	TRUE
CYP2A6	14	1	0	FALSE	TRUE	TRUE
CYP51A1	1	0	4	TRUE	FALSE	TRUE
CYP7A1	9	1	3	FALSE	FALSE	TRUE
DBH	3	0	2	FALSE	TRUE	TRUE
DCPS	1	0	1	FALSE	FALSE	TRUE
DCT	4	0	1	FALSE	TRUE	TRUE
DDC	6	1	3	TRUE	TRUE	TRUE
DDR1	4	0	2	FALSE	FALSE	FALSE
DDX58	5	0	11	FALSE	FALSE	TRUE
DGAT1	1	0	9	FALSE	TRUE	FALSE
DGAT2	7	0	5	FALSE	FALSE	TRUE
DHODH	4	0	28	TRUE	TRUE	TRUE
DIABLO	1	0	19	FALSE	TRUE	FALSE
DKK1	4	0	9	FALSE	FALSE	TRUE
DKK3	3	0	6	FALSE	FALSE	TRUE
DLG4	2	0	2	FALSE	TRUE	TRUE
DLK1	13	0	2	FALSE	FALSE	TRUE
DLL3	1	0	8	FALSE	TRUE	FALSE
DLL4	2	0	12	FALSE	TRUE	TRUE
DMD	2	1	0	TRUE	TRUE	FALSE
DMPK	2	1	1	FALSE	TRUE	FALSE
DNMT1	1	0	12	FALSE	TRUE	TRUE
DNMT3A	23	0	5	FALSE	TRUE	TRUE
DNMT3B	10	0	5	FALSE	TRUE	TRUE
DOT1L	10	0	4	FALSE	FALSE	TRUE
DPEP1	4	0	4	FALSE	FALSE	TRUE
DPP4	7	1	14	TRUE	FALSE	TRUE
DPP8	1	0	3	FALSE	FALSE	TRUE
DPP9	6	0	3	FALSE	TRUE	TRUE
DPYD	13	0	5	FALSE	FALSE	TRUE
DPYSL2	3	0	11	TRUE	FALSE	TRUE
DRD1	2	0	21	TRUE	FALSE	TRUE
DRD2	8	6	48	TRUE	FALSE	TRUE
DRD3	1	0	28	TRUE	FALSE	TRUE
DRD4	1	0	13	FALSE	FALSE	FALSE
DSG3	1	0	1	FALSE	FALSE	TRUE
DYRK1A	5	0	8	FALSE	TRUE	TRUE
E2F1	1	0	15	FALSE	FALSE	FALSE
EBP	1	0	4	FALSE	TRUE	FALSE
ECE1	2	0	2	FALSE	FALSE	TRUE
EDNRA	15	2	25	TRUE	TRUE	TRUE
EDNRB	6	0	23	TRUE	TRUE	TRUE
EEF2	1	0	34	TRUE	FALSE	FALSE
EGF	4	0	2	FALSE	FALSE	TRUE
EGFR	10	5	58	TRUE	FALSE	TRUE
EGLN1	3	1	2	TRUE	TRUE	TRUE
EGLN2	3	1	14	TRUE	FALSE	TRUE
EGLN3	6	1	2	TRUE	FALSE	TRUE
EGR1	1	0	1	FALSE	FALSE	TRUE
EIF2AK3	4	0	6	FALSE	TRUE	TRUE
EIF2B1	1	0	5	FALSE	TRUE	FALSE
EIF4E	2	0	4	FALSE	FALSE	TRUE
EIF4EBP1	2	0	1	FALSE	FALSE	TRUE
ELANE	1	0	19	FALSE	TRUE	TRUE
ENG	3	0	20	FALSE	TRUE	TRUE
ENO1	2	0	1	FALSE	FALSE	TRUE
ENPEP	3	0	2	FALSE	FALSE	TRUE
ENPP1	4	2	1	FALSE	TRUE	TRUE
ENPP2	2	0	9	FALSE	FALSE	TRUE
ENPP3	3	0	1	FALSE	FALSE	TRUE
ENTPD1	2	0	4	FALSE	TRUE	TRUE
EP300	19	3	5	FALSE	TRUE	TRUE
EPAS1	9	2	13	TRUE	TRUE	TRUE
EPCAM	1	0	9	TRUE	TRUE	FALSE
EPHA1	6	0	17	FALSE	FALSE	TRUE
EPHA2	4	0	22	TRUE	TRUE	TRUE
EPHA3	10	0	6	FALSE	FALSE	TRUE
EPHA4	4	0	3	FALSE	FALSE	TRUE
EPHB4	1	0	18	FALSE	TRUE	FALSE
EPHX2	1	0	6	FALSE	FALSE	TRUE
EPO	3	0	4	FALSE	TRUE	TRUE
EPOR	1	1	18	TRUE	FALSE	TRUE
ERBB2	10	8	34	TRUE	FALSE	FALSE
ERBB3	10	7	19	TRUE	TRUE	FALSE
ERBB4	23	9	14	TRUE	TRUE	TRUE
ESR1	14	5	26	TRUE	TRUE	TRUE
ESR2	10	0	10	FALSE	FALSE	TRUE
EWSR1	2	1	0	FALSE	TRUE	FALSE
EXOG	4	0	5	FALSE	FALSE	TRUE
EZH2	8	5	17	TRUE	TRUE	TRUE
F10	4	1	27	TRUE	TRUE	TRUE
F11	11	4	7	TRUE	TRUE	TRUE
F11R	1	0	1	FALSE	FALSE	TRUE
F12	15	1	3	FALSE	TRUE	FALSE
F13A1	3	0	2	FALSE	TRUE	TRUE
F2	5	1	27	TRUE	TRUE	TRUE
F2R	1	0	13	TRUE	FALSE	TRUE
F2RL1	2	0	1	FALSE	FALSE	TRUE
F2RL3	2	0	4	FALSE	FALSE	TRUE
F3	1	0	23	TRUE	FALSE	TRUE
F7	2	1	6	TRUE	TRUE	TRUE
F8	2	1	7	TRUE	TRUE	FALSE
F9	1	1	6	TRUE	TRUE	FALSE
FAF1	13	0	1	FALSE	FALSE	TRUE
FAP	4	0	12	FALSE	FALSE	TRUE
FAS	5	0	18	FALSE	TRUE	TRUE
FASLG	10	0	9	FALSE	FALSE	TRUE
FBP1	1	1	0	FALSE	TRUE	TRUE
FBXO3	1	0	2	FALSE	FALSE	TRUE
FCGR2A	9	0	13	TRUE	FALSE	TRUE
FCGR2B	2	0	17	FALSE	FALSE	TRUE
FCGR3A	2	0	25	TRUE	TRUE	TRUE
FCGR3B	1	0	12	TRUE	FALSE	TRUE
FCGRT	12	0	20	TRUE	FALSE	TRUE
FCRL5	2	0	1	FALSE	FALSE	TRUE
FDFT1	5	0	1	FALSE	TRUE	TRUE
FFAR2	1	0	5	FALSE	FALSE	TRUE
FFAR4	4	0	4	FALSE	FALSE	TRUE
FGA	6	1	7	TRUE	TRUE	TRUE
FGB	6	1	7	TRUE	TRUE	TRUE
FGF1	4	0	2	FALSE	FALSE	TRUE
FGF18	2	0	2	FALSE	FALSE	TRUE
FGF2	1	0	15	TRUE	FALSE	TRUE
FGF21	3	1	4	FALSE	FALSE	TRUE
FGF23	3	0	4	TRUE	TRUE	TRUE
FGFR1	15	7	70	TRUE	TRUE	TRUE
FGFR2	22	5	47	TRUE	TRUE	TRUE
FGFR3	11	4	70	TRUE	TRUE	TRUE
FGFR4	3	3	47	TRUE	FALSE	TRUE
FGFRL1	6	0	1	FALSE	FALSE	TRUE
FGG	8	1	7	TRUE	TRUE	TRUE
FGR	3	0	8	FALSE	FALSE	TRUE
FKBP4	6	0	3	FALSE	FALSE	TRUE
FLI1	8	0	1	FALSE	TRUE	TRUE
FLT1	5	1	60	TRUE	FALSE	TRUE
FLT3	11	4	57	TRUE	FALSE	TRUE
FLT4	10	5	57	TRUE	TRUE	TRUE
FN1	12	1	19	FALSE	TRUE	TRUE
FOLH1	3	0	25	TRUE	FALSE	TRUE
FOXP3	1	0	1	FALSE	TRUE	FALSE
FSHR	5	0	4	TRUE	TRUE	TRUE
FUS	1	1	0	FALSE	TRUE	FALSE
FXN	2	1	0	FALSE	TRUE	TRUE
FYN	6	1	35	TRUE	FALSE	TRUE
FZD10	3	0	1	FALSE	FALSE	TRUE
FZD5	2	0	1	FALSE	FALSE	TRUE
FZD7	2	0	4	FALSE	FALSE	TRUE
GAA	3	1	3	TRUE	TRUE	TRUE
GABBR1	4	0	17	TRUE	TRUE	TRUE
GABRA1	2	2	27	TRUE	TRUE	TRUE
GABRA2	3	1	20	TRUE	TRUE	TRUE
GABRA3	2	1	21	TRUE	TRUE	TRUE
GABRA5	1	0	21	TRUE	TRUE	TRUE
GABRB3	2	0	3	FALSE	TRUE	TRUE
GAD1	2	0	1	FALSE	TRUE	TRUE
GAD2	1	0	1	FALSE	FALSE	TRUE
GALC	7	1	0	FALSE	TRUE	TRUE
GALNS	2	0	1	TRUE	TRUE	TRUE
GAS6	10	0	5	FALSE	FALSE	TRUE
GATA3	20	2	2	FALSE	TRUE	TRUE
GBA	8	1	3	TRUE	TRUE	FALSE
GBA2	1	0	3	FALSE	TRUE	FALSE
GCG	1	0	7	TRUE	FALSE	TRUE
GCGR	2	0	9	TRUE	FALSE	TRUE
GCH1	3	1	0	FALSE	TRUE	TRUE
GCK	9	2	3	TRUE	TRUE	TRUE
GDF2	2	0	16	TRUE	TRUE	TRUE
GDF5	2	0	1	FALSE	TRUE	TRUE
GDNF	3	0	6	FALSE	FALSE	TRUE
GFAP	1	1	0	FALSE	TRUE	FALSE
GFRAL	3	0	5	FALSE	FALSE	TRUE
GH1	3	1	0	FALSE	TRUE	TRUE
GHR	1	1	10	TRUE	TRUE	TRUE
GHRH	1	0	7	FALSE	FALSE	FALSE
GHRHR	1	0	14	TRUE	TRUE	TRUE
GHSR	5	1	17	TRUE	TRUE	TRUE
GIPR	11	2	3	TRUE	FALSE	TRUE
GJA1	11	0	11	FALSE	TRUE	TRUE
GLA	1	1	0	TRUE	TRUE	FALSE
GLB1	8	1	0	FALSE	TRUE	TRUE
GLP1R	1	1	21	TRUE	FALSE	TRUE
GLP2R	2	0	8	FALSE	FALSE	TRUE
GLS	4	0	13	FALSE	TRUE	TRUE
GNRH1	2	1	12	TRUE	FALSE	TRUE
GNRHR	1	0	28	TRUE	TRUE	TRUE
GP1BA	2	0	4	FALSE	TRUE	FALSE
GP6	3	1	6	FALSE	TRUE	TRUE
GPBAR1	5	0	6	FALSE	FALSE	FALSE
GPR139	3	0	2	FALSE	FALSE	TRUE
GPR35	6	0	6	FALSE	FALSE	TRUE
GRB2	3	0	5	FALSE	FALSE	TRUE
GREM1	5	0	1	FALSE	FALSE	TRUE
GRIA1	9	1	29	TRUE	TRUE	TRUE
GRIK1	1	0	5	FALSE	FALSE	TRUE
GRIN1	3	0	35	TRUE	TRUE	FALSE
GRIN2B	4	2	15	FALSE	TRUE	TRUE
GRM1	1	0	2	FALSE	TRUE	TRUE
GRM3	10	2	10	FALSE	FALSE	TRUE
GRM4	5	0	6	FALSE	FALSE	TRUE
GRM5	11	2	20	FALSE	FALSE	TRUE
GRM7	5	1	4	FALSE	TRUE	TRUE
GRN	3	1	2	FALSE	TRUE	TRUE
GSAP	5	0	13	FALSE	FALSE	TRUE
GSK3B	8	0	16	FALSE	FALSE	TRUE
GSN	4	0	2	FALSE	TRUE	TRUE
GSPT1	1	0	4	FALSE	FALSE	TRUE
GSTP1	1	0	3	FALSE	FALSE	FALSE
GUCY1A1	8	1	6	TRUE	TRUE	TRUE
GUCY1B1	1	0	8	TRUE	FALSE	TRUE
GUSB	3	1	5	TRUE	TRUE	TRUE
GYS1	2	0	1	FALSE	TRUE	FALSE
HAMP	2	2	2	FALSE	TRUE	FALSE
HAO1	2	0	1	TRUE	FALSE	TRUE
HAO2	2	0	1	FALSE	FALSE	TRUE
HAS2	4	0	1	TRUE	FALSE	TRUE
HAVCR1	7	0	2	FALSE	FALSE	TRUE
HAVCR2	2	0	15	FALSE	TRUE	TRUE
HBB	8	2	2	TRUE	TRUE	TRUE
HBEGF	2	0	18	FALSE	FALSE	TRUE
HBG1	1	1	1	FALSE	FALSE	FALSE
HBG2	1	1	0	FALSE	TRUE	FALSE
HCAR3	3	0	3	FALSE	FALSE	TRUE
HCK	3	0	8	FALSE	TRUE	TRUE
HCN1	7	0	4	FALSE	TRUE	TRUE
HCN4	4	1	3	FALSE	TRUE	TRUE
HCRTR1	1	1	15	TRUE	FALSE	TRUE
HCRTR2	9	2	12	TRUE	FALSE	TRUE
HDAC11	1	0	14	FALSE	FALSE	TRUE
HDAC4	8	0	22	TRUE	TRUE	TRUE
HEXB	1	1	1	FALSE	TRUE	TRUE
HGF	5	0	47	TRUE	TRUE	TRUE
HIF1A	1	0	24	FALSE	FALSE	TRUE
HJV	1	0	1	FALSE	TRUE	TRUE
HLA-A	29	0	4	FALSE	FALSE	TRUE
HLA-DRB1	7	1	0	FALSE	FALSE	TRUE
HLA-G	4	0	5	FALSE	FALSE	TRUE
HMBS	1	1	0	FALSE	TRUE	FALSE
HMGB1	5	0	17	FALSE	FALSE	TRUE
HMGCR	10	3	6	TRUE	TRUE	TRUE
HMMR	1	0	3	FALSE	FALSE	TRUE
HMOX1	1	0	5	TRUE	TRUE	FALSE
HPD	3	1	0	TRUE	TRUE	TRUE
HSD11B1	3	0	16	FALSE	TRUE	TRUE
HSD17B13	6	1	0	FALSE	FALSE	TRUE
HSP90AA1	3	1	44	TRUE	FALSE	TRUE
HSPB1	2	0	10	FALSE	TRUE	TRUE
HSPG2	6	0	1	FALSE	TRUE	TRUE
HTR1A	4	1	40	TRUE	TRUE	TRUE
HTR1B	1	0	8	TRUE	FALSE	TRUE
HTR1D	1	0	10	TRUE	FALSE	TRUE
HTR1F	3	0	1	TRUE	FALSE	TRUE
HTR4	4	0	18	TRUE	FALSE	TRUE
HTR6	2	1	17	FALSE	FALSE	TRUE
