year	area	color	n_new_possible_gensup_ti	n_cumulative_possible_gensup_ti
2021	congenital	#8B7E66	2983	13126
2021	dermatology	#B25237	472	6354
2021	metabolic	#FFB90F	4739	15666
2021	endocrine	#258566	716	3355
2021	immune	#E08440	786	6974
2021	signs/symptoms	#7BB0DF	1588	8770
2021	psychiatry	#AE75A2	585	6519
2021	other	#DEDEDE	1724	2680
2022	infection	#DB5829	59	1063
2022	oncology	#00C992	112	4247
2022	musculoskeletal	#A6CEE3	167	2000
2022	digestive	#E4B056	105	4006
2022	respiratory	#1964B0	92	4160
2022	neurology	#894B45	176	7702
2022	ophthalmology	#882D71	129	5839
2022	cardiovascular	#13A77C	219	4285
2022	hematology	#D2BBD7	36	22794
2022	congenital	#8B7E66	145	13271
2022	dermatology	#B25237	214	6568
2022	metabolic	#FFB90F	144	15810
2022	endocrine	#258566	125	3480
2022	immune	#E08440	127	7101
2022	signs/symptoms	#7BB0DF	132	8902
2022	psychiatry	#AE75A2	100	6619
2022	other	#DEDEDE	68	2748
