area	phase	phasenum	supported	total	pg_mean	pg_l95	pg_u95
congenital	Phase I	2	15	144	0.10416666666666667	0.06414804449479507	0.16475566824344234
congenital	Phase II	3	46	265	0.17358490566037735	0.13273477255195404	0.2237632885771381
congenital	Phase III	4	17	111	0.15315315315315314	0.09787476373691054	0.2316356692485959
congenital	Launched	5	43	111	0.38738738738738737	0.301977416983693	0.4803311651544585
neurology	Preclinical	1	70	1370	0.051094890510948905	0.040639228993264186	0.06406095886113909
neurology	Phase I	2	25	448	0.05580357142857143	0.03808080747010444	0.0810792602253662
neurology	Phase II	3	54	703	0.07681365576102418	0.05934789156764624	0.09887918669017445
neurology	Phase III	4	13	258	0.050387596899224806	0.029680072132331353	0.08428758965467846
neurology	Launched	5	35	192	0.18229166666666666	0.13409289102143374	0.24295423304181626
oncology	Preclinical	1	36	3380	0.010650887573964497	0.007703401515688393	0.014709427141811922
oncology	Phase I	2	19	2050	0.009268292682926829	0.00594150332450054	0.014430789113650595
oncology	Phase II	3	48	4148	0.011571841851494697	0.008739386259155062	0.015308126106370936
oncology	Phase III	4	11	809	0.013597033374536464	0.007609051379692589	0.024182460409317333
oncology	Launched	5	18	568	0.03169014084507042	0.020137956930975823	0.0495342541445537
cardiovascular	Preclinical	1	54	941	0.057385759829968117	0.044246638118163054	0.07412397080948631
cardiovascular	Phase I	2	7	217	0.03225806451612903	0.015711991438954947	0.06507654761511816
cardiovascular	Phase II	3	30	387	0.07751937984496124	0.05483725399441726	0.10850636623800693
cardiovascular	Phase III	4	7	153	0.0457516339869281	0.022336215104613755	0.09141852139711068
cardiovascular	Launched	5	17	112	0.15178571428571427	0.09697969647508481	0.2296862416608225
digestive	Preclinical	1	39	610	0.06393442622950819	0.047119242996248055	0.08620746155369728
digestive	Phase I	2	15	227	0.06607929515418502	0.04045038177030882	0.10615005557565528
digestive	Phase II	3	35	421	0.0831353919239905	0.0603824317421302	0.11342701478803807
digestive	Phase III	4	8	104	0.07692307692307693	0.03949175369105489	0.14449554616255827
digestive	Launched	5	10	59	0.1694915254237288	0.09475839349181055	0.2846322073648801
psychiatry	Preclinical	1	31	647	0.04791344667697063	0.03395742972356089	0.06720616077664623
psychiatry	Phase I	2	14	262	0.05343511450381679	0.03209367036079861	0.08768245094829594
psychiatry	Phase II	3	27	396	0.06818181818181818	0.04727849624349428	0.0973824876156925
psychiatry	Phase III	4	11	137	0.08029197080291971	0.045423466323203224	0.13805559614229562
psychiatry	Launched	5	17	121	0.14049586776859505	0.08960531687145493	0.21351080479326087
signs/symptoms	Preclinical	1	64	989	0.06471183013144591	0.05100076422256851	0.08179129200088589
signs/symptoms	Phase I	2	19	263	0.07224334600760456	0.04673426017073641	0.1100684308564093
signs/symptoms	Phase II	3	27	402	0.06716417910447761	0.04656654785505184	0.09595575380622129
signs/symptoms	Phase III	4	8	129	0.06201550387596899	0.03175615565540952	0.11760579050836753
signs/symptoms	Launched	5	15	117	0.1282051282051282	0.07925637599438604	0.20079203744713361
immune	Preclinical	1	60	999	0.06006006006006006	0.04694370124045282	0.07654686422373058
immune	Phase I	2	30	389	0.07712082262210797	0.054552497970822726	0.10795952154042109
immune	Phase II	3	40	488	0.08196721311475409	0.06077041921096272	0.10969398007274912
immune	Phase III	4	17	140	0.12142857142857143	0.07721261463005079	0.18586493707821902
immune	Launched	5	16	113	0.1415929203539823	0.08907303460598107	0.21767988668111724
dermatology	Preclinical	1	33	684	0.04824561403508772	0.03455721443556407	0.06697993184293662
dermatology	Phase I	2	23	309	0.0744336569579288	0.05010823122292203	0.10921035464667297
dermatology	Phase II	3	30	588	0.05102040816326531	0.03596923144753528	0.07189995863574293
dermatology	Phase III	4	12	137	0.08759124087591241	0.050815512793513304	0.14686391380302036
dermatology	Launched	5	13	148	0.08783783783783784	0.052050941964620484	0.1444794328912558
ophthalmology	Preclinical	1	19	497	0.03822937625754527	0.024608576480099002	0.0589337463124591
ophthalmology	Phase I	2	5	104	0.04807692307692308	0.02070804232585222	0.10764202797232546
ophthalmology	Phase II	3	20	300	0.06666666666666667	0.04356751554515826	0.10072305951611495
ophthalmology	Phase III	4	9	88	0.10227272727272728	0.05474450061182733	0.18307248423524602
ophthalmology	Launched	5	6	63	0.09523809523809523	0.04438348427689202	0.1926170106283689
musculoskeletal	Preclinical	1	24	452	0.05309734513274336	0.0359377558749335	0.07778919418093237
musculoskeletal	Phase I	2	15	156	0.09615384615384616	0.059138369648078074	0.15258053651291092
musculoskeletal	Phase II	3	18	239	0.07531380753138076	0.04816771236468642	0.11589594881646184
musculoskeletal	Phase III	4	6	81	0.07407407407407407	0.034389630412381064	0.15232873865967633
musculoskeletal	Launched	5	8	80	0.1	0.05154761556738084	0.1851068880610409
other	Preclinical	1	18	257	0.07003891050583658	0.04475887790987042	0.10798317084581328
other	Phase I	2	4	60	0.06666666666666667	0.026228698724506196	0.15925357313197164
other	Phase II	3	6	129	0.046511627906976744	0.02148858600006069	0.09776227861199165
other	Phase III	4	3	36	0.08333333333333333	0.028748611335993397	0.21826691249272628
other	Launched	5	1	36	0.027777777777777776	0.004920407139810455	0.1416971865327385
