area	gene	indication_mesh_id	indication_mesh_term	abs_beta
signs/symptoms	AVPR1A	D018805	Sepsis	0.0130231
signs/symptoms	CALCR	D009765	Obesity	0.0254
signs/symptoms	CRP	D007249	Inflammation	0.16
signs/symptoms	CYP7A1	D042882	Gallstones	0.1263853
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
signs/symptoms	FGFR1	D009765	Obesity	0.0119
signs/symptoms	FGFR4	D009765	Obesity	0.0245634
signs/symptoms	GFRAL	D009765	Obesity	0.0111
signs/symptoms	GIPR	D009765	Obesity	4.22
signs/symptoms	HCN4	D001281	Atrial Fibrillation	0.0993
signs/symptoms	HCRTR1	D012893	Sleep Wake Disorders	0.0072472
signs/symptoms	HCRTR2	D012893	Sleep Wake Disorders	0.846
signs/symptoms	HTR1A	D009765	Obesity	0.015505578
signs/symptoms	IL12B	D008105	Liver Cirrhosis, Biliary	0.144233
signs/symptoms	IL18	D007249	Inflammation	0.2668
signs/symptoms	IL1RN	D007249	Inflammation	0.05
signs/symptoms	IL33	D009298	Nasal Polyps	0.3161
signs/symptoms	IL6	D007249	Inflammation	0.0528
signs/symptoms	INSR	D009765	Obesity	0.0259
signs/symptoms	KCND3	D001281	Atrial Fibrillation	0.0835
signs/symptoms	KCNJ5	D001281	Atrial Fibrillation	0.1449
signs/symptoms	LEPR	D009765	Obesity	0.07
signs/symptoms	MAPK1	D009765	Obesity	0.014
signs/symptoms	MAPT	D013494	Supranuclear Palsy, Progressive	0.38
signs/symptoms	MC4R	D009765	Obesity	0.05
signs/symptoms	MTNR1B	D012893	Sleep Wake Disorders	0.00866783
signs/symptoms	NLRP3	D007249	Inflammation	0.047
signs/symptoms	NPY	D009765	Obesity	0.0115
signs/symptoms	NR1H4	D007249	Inflammation	0.0431909
signs/symptoms	NR3C1	D009765	Obesity	0.0241466
signs/symptoms	OPRM1	D009765	Obesity	0.018
signs/symptoms	PPARA	D009765	Obesity	0.0349198
signs/symptoms	PPARD	D009765	Obesity	0.0560704
signs/symptoms	PPARG	D009765	Obesity	0.024
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	5.11
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	0.6568
signs/symptoms	SLC6A3	D012893	Sleep Wake Disorders	0.696
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.0150012999999999
signs/symptoms	TNFRSF1A	D007249	Inflammation	0.0198902
signs/symptoms	TNFRSF1A	D018805	Sepsis	0.0198902
signs/symptoms	TSLP	D009298	Nasal Polyps	0.2789
immune	ADRB2	D001249	Asthma	0.0247
immune	CD28	D001172	Arthritis, Rheumatoid	0.115858
immune	CD28	D012859	Sjogren's Syndrome	0.115858
immune	CD40	D001172	Arthritis, Rheumatoid	0.0917533
immune	CD40	D012859	Sjogren's Syndrome	0.0917533
immune	CHRM3	D001249	Asthma	0.038
immune	CHRM3	D065631	Rhinitis, Allergic	0.038
immune	CTLA4	D001172	Arthritis, Rheumatoid	0.138126
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
immune	FGFR3	D001249	Asthma	0.0378
immune	IL13	D001249	Asthma	0.081391685
immune	IL13	D003876	Dermatitis, Atopic	0.22578353
immune	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
immune	IL2RA	D001172	Arthritis, Rheumatoid	0.0788456
immune	IL2RA	D003922	Diabetes Mellitus, Type 1	0.471925474808434
immune	IL2RA	D012859	Sjogren's Syndrome	0.0788456
immune	IL33	D001249	Asthma	1.031
immune	IL33	D065631	Rhinitis, Allergic	1.031
immune	IL4R	D001249	Asthma	0.1230239
immune	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
immune	IL4R	D065631	Rhinitis, Allergic	0.1230239
immune	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
immune	IL6R	D001172	Arthritis, Rheumatoid	0.0792409
immune	INS	D003922	Diabetes Mellitus, Type 1	0.3085
immune	NFKB1	D006967	Hypersensitivity	0.025
immune	NR3C1	D001249	Asthma	0.0157
immune	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
immune	NR3C1	D065631	Rhinitis, Allergic	0.0157
immune	PDE3A	D001249	Asthma	0.0163
immune	PDE4D	D001249	Asthma	0.0243
immune	PDE4D	D065631	Rhinitis, Allergic	0.0243
immune	PTGER4	D006967	Hypersensitivity	0.0785
immune	S1PR1	D057765	Eosinophilic Esophagitis	0.03170811
immune	S1PR4	D057765	Eosinophilic Esophagitis	0.1410479
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.0150012999999999
immune	TNFSF4	D001249	Asthma	0.849
immune	TNFSF4	D065631	Rhinitis, Allergic	0.849
immune	TSLP	D001249	Asthma	0.121619895
psychiatry	ALDH2	D000437	Alcoholism	0.2797
psychiatry	ALDH2	D019973	Alcohol-Related Disorders	0.2797
psychiatry	APOE	D000544	Alzheimer Disease	0.101
psychiatry	CACNA2D1	D001008	Anxiety Disorders	0.013417954095938
psychiatry	CD33	D000544	Alzheimer Disease	5.4802556
psychiatry	CHRNA4	D014029	Tobacco Use Disorder	0.058
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	0.031
psychiatry	DRD2	D000437	Alcoholism	5.59
psychiatry	DRD2	D001008	Anxiety Disorders	0.019604506370343
psychiatry	DRD2	D001714	Bipolar Disorder	0.07235493
psychiatry	DRD2	D003863	Depression	0.0145
psychiatry	DRD2	D003865	Depressive Disorder, Major	0.014506465494737
psychiatry	DRD2	D011618	Psychotic Disorders	0.07893311
psychiatry	DRD2	D012559	Schizophrenia	0.07893311
psychiatry	GRIA1	D012559	Schizophrenia	0.059579235
psychiatry	GRIN2B	D000544	Alzheimer Disease	1.02
psychiatry	GRM3	D001008	Anxiety Disorders	0.013147594326583
psychiatry	GRM3	D011618	Psychotic Disorders	0.16722682
psychiatry	GRM3	D012559	Schizophrenia	0.16722682
psychiatry	GRM5	D001008	Anxiety Disorders	0.014510679934776
psychiatry	GRM5	D003865	Depressive Disorder, Major	0.028490389
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	0.014510679934776
psychiatry	GRN	D057180	Frontotemporal Dementia	0.0665
psychiatry	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	0.0072472
psychiatry	HCRTR1	D012893	Sleep Wake Disorders	0.0072472
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.846
psychiatry	HCRTR2	D009290	Narcolepsy	0.846
psychiatry	HCRTR2	D012893	Sleep Wake Disorders	0.846
psychiatry	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	0.00818319
psychiatry	MAPT	D000544	Alzheimer Disease	0.38
psychiatry	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	0.00866783
psychiatry	MTNR1B	D012893	Sleep Wake Disorders	0.00866783
psychiatry	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	0.0107238
psychiatry	OPRM1	D009293	Opioid-Related Disorders	0.07
psychiatry	OPRM1	D019966	Substance-Related Disorders	0.07
psychiatry	SLC6A3	D009290	Narcolepsy	0.696
psychiatry	SLC6A3	D012148	Restless Legs Syndrome	0.696
psychiatry	SLC6A3	D012893	Sleep Wake Disorders	0.696
psychiatry	SLC6A3	D020920	Dyssomnias	0.696
psychiatry	SLC7A11	D001008	Anxiety Disorders	0.012919334685137
psychiatry	SLC7A11	D003863	Depression	0.0059141736
psychiatry	SLC7A11	D009771	Obsessive-Compulsive Disorder	0.012919334685137
digestive	CASP8	D008107	Liver Diseases	0.017
digestive	CYP7A1	D042882	Gallstones	0.1263853
digestive	IFNG	D003424	Crohn Disease	0.113
digestive	IL12B	D008105	Liver Cirrhosis, Biliary	0.144233
digestive	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
digestive	IL23R	D003093	Colitis, Ulcerative	0.3098
digestive	IL23R	D003424	Crohn Disease	0.3098
digestive	IL23R	D015212	Inflammatory Bowel Diseases	0.3098
digestive	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
digestive	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
digestive	NR1H4	D008107	Liver Diseases	0.00768656
digestive	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
digestive	S1PR1	D057765	Eosinophilic Esophagitis	0.03170811
digestive	S1PR4	D057765	Eosinophilic Esophagitis	0.1410479
oncology	CYP19A1	D001943	Breast Neoplasms	1.39
oncology	FGFR2	D011471	Prostatic Neoplasms	10.2
oncology	FGFR2	D013736	Testicular Neoplasms	10.2
oncology	GNRH1	D007889	Leiomyoma	0.052
oncology	KLK3	D011471	Prostatic Neoplasms	39.1
oncology	MC1R	D018307	Neoplasms, Squamous Cell	0.38
oncology	MSLN	D009369	Neoplasms	0.15
oncology	MYC	D008223	Lymphoma	0.1546
oncology	NKX3-1	D011471	Prostatic Neoplasms	1.38
oncology	PTPN1	D015179	Colorectal Neoplasms	0.074
oncology	TNFRSF13B	D009101	Multiple Myeloma	0.36
cardiovascular	ACE	D006973	Hypertension	0.213
cardiovascular	ADRA1A	D006973	Hypertension	0.0120837
cardiovascular	ADRA2C	D006973	Hypertension	0.0118458
cardiovascular	ADRB1	D006973	Hypertension	0.338
cardiovascular	ADRB2	D006973	Hypertension	0.03775712
cardiovascular	AGT	D006973	Hypertension	0.32885453
cardiovascular	CETP	D050197	Atherosclerosis	0.0405
cardiovascular	CYP11B2	D006973	Hypertension	0.0177372999999999
cardiovascular	EDNRA	D006973	Hypertension	0.2668
cardiovascular	GP6	D013927	Thrombosis	0.199
cardiovascular	GUCY1A1	D050197	Atherosclerosis	0.0687
cardiovascular	HCN4	D001281	Atrial Fibrillation	0.0993
cardiovascular	KCND3	D001281	Atrial Fibrillation	0.0835
cardiovascular	KCNJ5	D001281	Atrial Fibrillation	0.1449
cardiovascular	LPA	D050197	Atherosclerosis	0.2761
cardiovascular	MME	D006973	Hypertension	0.403
cardiovascular	NPR1	D006973	Hypertension	0.06447421
cardiovascular	PCSK9	D050197	Atherosclerosis	0.052
cardiovascular	PDE3A	D020521	Stroke	0.0604
cardiovascular	PDE5A	D006973	Hypertension	0.215
cardiovascular	SCN5A	D001145	Arrhythmias, Cardiac	5.11
cardiovascular	SCN5A	D017180	Tachycardia, Ventricular	0.6568
cardiovascular	SLC12A2	D006973	Hypertension	0.011368125
cardiovascular	VEGFA	D050197	Atherosclerosis	0.045
neurology	APOE	D000544	Alzheimer Disease	0.101
neurology	CD33	D000544	Alzheimer Disease	5.4802556
neurology	FYN	D010300	Parkinson Disease	0.0714
neurology	GABRA2	D004827	Epilepsy	5.5
neurology	GABRA2	D004829	Epilepsy, Generalized	5.5
neurology	GCH1	D010300	Parkinson Disease	0.0842
neurology	GRIN2B	D000544	Alzheimer Disease	1.02
neurology	GRN	D057180	Frontotemporal Dementia	0.0665
neurology	HCRTR1	D007319	Sleep Initiation and Maintenance Disorders	0.0072472
neurology	HCRTR1	D012893	Sleep Wake Disorders	0.0072472
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.846
neurology	HCRTR2	D009290	Narcolepsy	0.846
neurology	HCRTR2	D012893	Sleep Wake Disorders	0.846
neurology	HTR1A	D007319	Sleep Initiation and Maintenance Disorders	0.00818319
neurology	LRRK2	D010300	Parkinson Disease	0.1439
neurology	MAPT	D000544	Alzheimer Disease	0.38
neurology	MAPT	D013494	Supranuclear Palsy, Progressive	0.38
neurology	MTNR1B	D007319	Sleep Initiation and Maintenance Disorders	0.00866783
neurology	MTNR1B	D012893	Sleep Wake Disorders	0.00866783
neurology	MTNR1B	D020178	Sleep Disorders, Circadian Rhythm	0.0107238
neurology	MTNR1B	D058496	Smith-Magenis Syndrome	0.0107238
neurology	PDE3A	D020521	Stroke	0.0604
neurology	SCN1A	D004828	Epilepsies, Partial	5.78
neurology	SLC6A3	D009290	Narcolepsy	0.696
neurology	SLC6A3	D012148	Restless Legs Syndrome	0.696
neurology	SLC6A3	D012893	Sleep Wake Disorders	0.696
neurology	SLC6A3	D020920	Dyssomnias	0.696
neurology	SNCA	D010300	Parkinson Disease	0.2774
neurology	SNCA	D019578	Multiple System Atrophy	0.2774
congenital	ALPL	D007014	Hypophosphatasia	0.02
congenital	APOA1	D006938	Hyperlipoproteinemia Type II	0.0849428
congenital	APOA1	D052456	Hypoalphalipoproteinemias	0.0849428
congenital	APOB	D006938	Hyperlipoproteinemia Type II	10.5
congenital	APOE	D006938	Hyperlipoproteinemia Type II	0.3736
congenital	CETP	D006938	Hyperlipoproteinemia Type II	0.0479
congenital	F11	D005173	Factor XI Deficiency	0.0735
congenital	IL13	D003876	Dermatitis, Atopic	0.22578353
congenital	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.0792
congenital	MTNR1B	D058496	Smith-Magenis Syndrome	0.0107238
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	3.04
congenital	PPARA	D006938	Hyperlipoproteinemia Type II	0.0179778
congenital	PPARG	D006073	Gout	0.0218
congenital	SLC22A12	D006073	Gout	0.07
congenital	SLC40A1	D006432	Hemochromatosis	0.089
congenital	THRB	D006938	Hyperlipoproteinemia Type II	0.018
congenital	VWF	D006467	Hemophilia A	0.0271
congenital	VWF	D014842	von Willebrand Diseases	0.0271
infection	AVPR1A	D018805	Sepsis	0.0130231
infection	IL33	D012852	Sinusitis	0.1375
infection	TNFRSF1A	D018805	Sepsis	0.0198902
infection	TSLP	D012852	Sinusitis	0.0827
endocrine	ABCC8	D003924	Diabetes Mellitus, Type 2	0.0599
endocrine	CALCR	D003920	Diabetes Mellitus	0.0119235
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	0.022
endocrine	ESR1	D004700	Endocrine System Diseases	0.0187752
endocrine	FGFR4	D003924	Diabetes Mellitus, Type 2	0.0549
endocrine	GCK	D003920	Diabetes Mellitus	0.208
endocrine	GIPR	D003924	Diabetes Mellitus, Type 2	0.076
endocrine	GLP1R	D003920	Diabetes Mellitus	0.0257273999999999
endocrine	GLP1R	D003924	Diabetes Mellitus, Type 2	0.0316
endocrine	GLP2R	D003924	Diabetes Mellitus, Type 2	0.0288
endocrine	IL2RA	D003922	Diabetes Mellitus, Type 1	0.471925474808434
endocrine	INS	D003922	Diabetes Mellitus, Type 1	0.3085
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	0.0445
endocrine	KCNJ11	D003920	Diabetes Mellitus	0.0213
endocrine	KCNJ11	D003924	Diabetes Mellitus, Type 2	0.068
endocrine	MC4R	D003920	Diabetes Mellitus	0.0452
endocrine	MC4R	D003924	Diabetes Mellitus, Type 2	0.062
endocrine	METAP2	D003924	Diabetes Mellitus, Type 2	0.0601
endocrine	PPARG	D003924	Diabetes Mellitus, Type 2	0.1028
endocrine	SLC5A1	D003920	Diabetes Mellitus	0.0341
endocrine	TACR3	D004700	Endocrine System Diseases	0.0474364
endocrine	TSHR	D006980	Hyperthyroidism	0.2483
respiratory	ADRB2	D001249	Asthma	0.0247
respiratory	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive	0.0247
respiratory	CHRM3	D001249	Asthma	0.038
respiratory	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive	0.038
respiratory	CHRM3	D065631	Rhinitis, Allergic	0.038
respiratory	FGFR3	D001249	Asthma	0.0378
respiratory	HCRTR1	D029424	Pulmonary Disease, Chronic Obstructive	0.0138511
respiratory	IL13	D001249	Asthma	0.081391685
respiratory	IL13	D029424	Pulmonary Disease, Chronic Obstructive	0.081391685
respiratory	IL1R1	D029424	Pulmonary Disease, Chronic Obstructive	0.0058
respiratory	IL33	D001249	Asthma	1.031
respiratory	IL33	D009298	Nasal Polyps	0.3161
respiratory	IL33	D012852	Sinusitis	0.1375
respiratory	IL33	D029424	Pulmonary Disease, Chronic Obstructive	1.031
respiratory	IL33	D065631	Rhinitis, Allergic	1.031
respiratory	IL4R	D001249	Asthma	0.1230239
respiratory	IL4R	D029424	Pulmonary Disease, Chronic Obstructive	0.1230239
respiratory	IL4R	D065631	Rhinitis, Allergic	0.1230239
respiratory	NR3C1	D001249	Asthma	0.0157
respiratory	NR3C1	D029424	Pulmonary Disease, Chronic Obstructive	0.0157
respiratory	NR3C1	D065631	Rhinitis, Allergic	0.0157
respiratory	PDE3A	D001249	Asthma	0.0163
respiratory	PDE3A	D029424	Pulmonary Disease, Chronic Obstructive	0.0163
respiratory	PDE4D	D001249	Asthma	0.0243
respiratory	PDE4D	D029424	Pulmonary Disease, Chronic Obstructive	0.0243
respiratory	PDE4D	D065631	Rhinitis, Allergic	0.0243
respiratory	RARG	D029424	Pulmonary Disease, Chronic Obstructive	0.0237558
respiratory	TNFSF4	D001249	Asthma	0.849
respiratory	TNFSF4	D065631	Rhinitis, Allergic	0.849
respiratory	TSLP	D001249	Asthma	0.121619895
respiratory	TSLP	D009298	Nasal Polyps	0.2789
respiratory	TSLP	D012852	Sinusitis	0.0827
respiratory	TSLP	D029424	Pulmonary Disease, Chronic Obstructive	0.121619895
metabolic	ABCA1	D006949	Hyperlipidemias	0.0476
metabolic	ABCC8	D003924	Diabetes Mellitus, Type 2	0.0599
metabolic	ADRB1	D006949	Hyperlipidemias	0.022
metabolic	ADRB2	D006949	Hyperlipidemias	0.0505939
metabolic	ALPL	D007014	Hypophosphatasia	0.02
metabolic	ANGPTL4	D015228	Hypertriglyceridemia	0.0426643
metabolic	ANGPTL8	D006949	Hyperlipidemias	0.0771729
metabolic	APOA1	D006937	Hypercholesterolemia	0.0849428
metabolic	APOA1	D006938	Hyperlipoproteinemia Type II	0.0849428
metabolic	APOA1	D006949	Hyperlipidemias	0.0849428
metabolic	APOA1	D052456	Hypoalphalipoproteinemias	0.0849428
metabolic	APOB	D006937	Hypercholesterolemia	0.12
metabolic	APOB	D006938	Hyperlipoproteinemia Type II	10.5
metabolic	APOB	D006949	Hyperlipidemias	0.12
metabolic	APOB	D015228	Hypertriglyceridemia	0.08
metabolic	APOC3	D006937	Hypercholesterolemia	0.0334341
metabolic	APOC3	D006949	Hyperlipidemias	0.0334341
metabolic	APOC3	D015228	Hypertriglyceridemia	0.199194
metabolic	APOC3	D050171	Dyslipidemias	0.0334341
metabolic	APOE	D006938	Hyperlipoproteinemia Type II	0.3736
metabolic	CALCR	D003920	Diabetes Mellitus	0.0119235
metabolic	CALCR	D003924	Diabetes Mellitus, Type 2	0.022
metabolic	CALCR	D009765	Obesity	0.0254
metabolic	CASR	D006934	Hypercalcemia	0
metabolic	CASR	D006996	Hypocalcemia	0
metabolic	CETP	D006937	Hypercholesterolemia	0.0479
metabolic	CETP	D006938	Hyperlipoproteinemia Type II	0.0479
metabolic	CETP	D006949	Hyperlipidemias	0.0479
metabolic	DGAT2	D006949	Hyperlipidemias	0.0243
metabolic	ESR1	D010024	Osteoporosis	0.07
metabolic	FDFT1	D006949	Hyperlipidemias	0.0160844999999999
metabolic	FGF21	D015228	Hypertriglyceridemia	0.0248079
metabolic	FGFR1	D009765	Obesity	0.0119
metabolic	FGFR4	D003924	Diabetes Mellitus, Type 2	0.0549
metabolic	FGFR4	D009765	Obesity	0.0245634
metabolic	GCK	D003920	Diabetes Mellitus	0.208
metabolic	GFRAL	D009765	Obesity	0.0111
metabolic	GIPR	D003924	Diabetes Mellitus, Type 2	0.076
metabolic	GIPR	D009765	Obesity	4.22
metabolic	GLP1R	D003920	Diabetes Mellitus	0.0257273999999999
metabolic	GLP1R	D003924	Diabetes Mellitus, Type 2	0.0316
metabolic	GLP2R	D003924	Diabetes Mellitus, Type 2	0.0288
metabolic	GRN	D057180	Frontotemporal Dementia	0.0665
metabolic	HCAR3	D006937	Hypercholesterolemia	0.0337133
metabolic	HCAR3	D006949	Hyperlipidemias	0.0337133
metabolic	HMGCR	D006937	Hypercholesterolemia	0.0744
metabolic	HMGCR	D006949	Hyperlipidemias	0.0744
metabolic	HMGCR	D050171	Dyslipidemias	0.0773
metabolic	HTR1A	D009765	Obesity	0.015505578
metabolic	IGF1	D024821	Metabolic Syndrome	0.013
metabolic	IL2RA	D003922	Diabetes Mellitus, Type 1	0.471925474808434
metabolic	INS	D003922	Diabetes Mellitus, Type 1	0.3085
metabolic	INSR	D003924	Diabetes Mellitus, Type 2	0.0445
metabolic	INSR	D009765	Obesity	0.0259
metabolic	KCNJ11	D003920	Diabetes Mellitus	0.0213
metabolic	KCNJ11	D003924	Diabetes Mellitus, Type 2	0.068
metabolic	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.0792
metabolic	LEPR	D009765	Obesity	0.07
metabolic	LPA	D006949	Hyperlipidemias	0.0457
metabolic	LPL	D015228	Hypertriglyceridemia	6.6
metabolic	MAPK1	D009765	Obesity	0.014
metabolic	MC4R	D003920	Diabetes Mellitus	0.0452
metabolic	MC4R	D003924	Diabetes Mellitus, Type 2	0.062
metabolic	MC4R	D009765	Obesity	0.05
metabolic	MC4R	D024821	Metabolic Syndrome	0.0678461
metabolic	METAP2	D003924	Diabetes Mellitus, Type 2	0.0601
metabolic	MTTP	D006949	Hyperlipidemias	0.0280325
metabolic	NPC1L1	D006949	Hyperlipidemias	0.0366
metabolic	NPC1L1	D050171	Dyslipidemias	0.0355544
metabolic	NPY	D009765	Obesity	0.0115
metabolic	NR1H3	D006937	Hypercholesterolemia	0.0240850999999999
metabolic	NR1H4	D006937	Hypercholesterolemia	0.030061
metabolic	NR1H4	D006949	Hyperlipidemias	0.030061
metabolic	NR1H4	D015228	Hypertriglyceridemia	0.030061
metabolic	NR3C1	D009765	Obesity	0.0241466
metabolic	OPRM1	D009765	Obesity	0.018
metabolic	PCSK9	D006937	Hypercholesterolemia	3.04
metabolic	PCSK9	D006938	Hyperlipoproteinemia Type II	3.04
metabolic	PCSK9	D006949	Hyperlipidemias	3.04
metabolic	PDE3A	D015228	Hypertriglyceridemia	0.04
metabolic	PDE4B	D015228	Hypertriglyceridemia	0.0147
metabolic	PPARA	D006937	Hypercholesterolemia	0.0179778
metabolic	PPARA	D006938	Hyperlipoproteinemia Type II	0.0179778
metabolic	PPARA	D006949	Hyperlipidemias	0.0179778
metabolic	PPARA	D009765	Obesity	0.0349198
metabolic	PPARA	D015228	Hypertriglyceridemia	0.0179778
metabolic	PPARA	D050171	Dyslipidemias	0.0179778
metabolic	PPARD	D009765	Obesity	0.0560704
metabolic	PPARG	D003924	Diabetes Mellitus, Type 2	0.1028
metabolic	PPARG	D006073	Gout	0.0218
metabolic	PPARG	D006949	Hyperlipidemias	0.0315
metabolic	PPARG	D009765	Obesity	0.024
metabolic	PPARG	D015228	Hypertriglyceridemia	0.0204555
metabolic	PPARG	D024821	Metabolic Syndrome	0.031257037
metabolic	SLC10A2	D006937	Hypercholesterolemia	0.0767204
metabolic	SLC10A2	D006949	Hyperlipidemias	0.0767204
metabolic	SLC22A12	D006073	Gout	0.07
metabolic	SLC40A1	D006432	Hemochromatosis	0.089
metabolic	SLC5A1	D003920	Diabetes Mellitus	0.0341
metabolic	SOST	D001851	Bone Diseases, Metabolic	0.08
metabolic	SOST	D010024	Osteoporosis	0.08
metabolic	THRB	D006937	Hypercholesterolemia	0.018
metabolic	THRB	D006938	Hyperlipoproteinemia Type II	0.018
hematology	ACVRL1	D000740	Anemia	0.0239139999999999
hematology	BCL2	D000740	Anemia	0.09760817
hematology	CSF3	D009503	Neutropenia	0.1324835
hematology	CSF3R	D007970	Leukopenia	0.04220662
hematology	CSF3R	D009503	Neutropenia	0.04766949
hematology	CXCR4	D001778	Blood Coagulation Disorders	0.013639
hematology	DYRK3	D000740	Anemia	0.01562
hematology	EGLN1	D000740	Anemia	0.1277725
hematology	EGLN2	D000740	Anemia	0.08824054
hematology	EGLN3	D000740	Anemia	0.018941
hematology	EPOR	D000740	Anemia	0.0619314
hematology	F10	D001778	Blood Coagulation Disorders	0.534
hematology	F11	D001778	Blood Coagulation Disorders	0.483
hematology	F11	D005173	Factor XI Deficiency	0.0735
hematology	FCGRT	D013921	Thrombocytopenia	0.078719
hematology	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
hematology	FLT3	D013921	Thrombocytopenia	0.010784
hematology	FLT3	D013922	Thrombocytosis	0.010784
hematology	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
hematology	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
hematology	IL5RA	D017681	Hypereosinophilic Syndrome	0.03026724
hematology	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
hematology	JAK1	D013922	Thrombocytosis	0.015759
hematology	JAK2	D013921	Thrombocytopenia	0.0153619999999999
hematology	JAK2	D013922	Thrombocytosis	0.04031984
hematology	KIT	D013921	Thrombocytopenia	0.111
hematology	KIT	D017681	Hypereosinophilic Syndrome	0.0093
hematology	MPL	D013921	Thrombocytopenia	0.2101
hematology	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
hematology	PIK3CA	D013922	Thrombocytosis	0.076101
hematology	PIK3CB	D013922	Thrombocytosis	0.0151989999999999
hematology	S1PR1	D057765	Eosinophilic Esophagitis	0.03170811
