area	genelist	developed	supported	utilization
dermatology	kinases	3	71	0.04225352112676056
ophthalmology	all genes	21	2044	0.010273972602739725
ophthalmology	predicted Ab tractable	16	1153	0.013876843018213356
ophthalmology	predicted SM tractable	13	626	0.020766773162939296
ophthalmology	rhodopsin-like GPCRs	1	19	0.05263157894736842
ophthalmology	nuclear receptors	1	18	0.05555555555555555
ophthalmology	enzymes	2	108	0.018518518518518517
ophthalmology	ion channels	2	54	0.037037037037037035
ophthalmology	kinases	0	61	0
other	all genes	5	1513	0.003304692663582287
other	predicted Ab tractable	4	761	0.005256241787122208
other	predicted SM tractable	3	487	0.006160164271047228
other	rhodopsin-like GPCRs	0	24	0
other	nuclear receptors	1	11	0.09090909090909091
other	enzymes	0	93	0
other	ion channels	0	35	0
other	kinases	0	41	0
