uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	tia	cat	assoc_share	assoc_rank	source_name	gwas_source	min_assoc_year	abs_beta	abs_or	highest_phase_with_known_outcome	areas	genetic_insight	target_status	launched
APOA1-D006938	0.83	3	APOA1-D006938	APOA1	D006938	Hyperlipoproteinemia Type II	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		29822	D050171	Dyslipidemias	OTG		Apolipoprotein A1 levels	https://genetics.opentargets.org/study/GCST010241	2020			0.673179280799688	0.62	1	APOA1-D006938-D050171	Phase II	0.62	1	GWAS	GWAS Catalog	2020	0.0849428		2	congenital, metabolic	both	genetically supported target	FALSE
APOB-D050197	0.828	3	APOB-D050197	APOB	D050197	Atherosclerosis	Phase II	Preclinical	Phase II	3	2	3	TRUE	TRUE	FALSE		FALSE		30746	D003324	Coronary Artery Disease	OTG		Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)	https://genetics.opentargets.org/study/GCST004787	2017			0.865070093457944	0.76	1	APOB-D050197-D003324	Phase II	0.76	1	GWAS	GWAS Catalog	2017		1.07	2	cardiovascular	both	genetically supported target	FALSE
APOE-D000544	1	3	APOE-D000544	APOE	D000544	Alzheimer Disease	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		32258	D000544	Alzheimer Disease	OTG		Alzheimer's disease (late onset)	https://genetics.opentargets.org/study/GCST002245	2013			0.0820817552566279	0.63	1	APOE-D000544-D000544	Phase II	0.63	1	GWAS	GWAS Catalog	2013		1.4727037542852917	2	neurology, psychiatry	both	genetically supported target	FALSE
APOL1-D005923	1	4	APOL1-D005923	APOL1	D005923	Glomerulosclerosis, Focal Segmental	Phase III	Phase III	Phase III	4	5	4	TRUE	TRUE	TRUE	FALSE	FALSE		33190	D005923	Glomerulosclerosis, Focal Segmental	OTG		Glomerulosclerosis [AA]	https://genetics.opentargets.org/study/GCST000741	2010			0.803453200051928	0.77	1	APOL1-D005923-D005923	Phase III	0.77	1	GWAS	GWAS Catalog	2010			3	other	both	genetically supported target	FALSE
APOL1-D007676	1	2	APOL1-D007676	APOL1	D007676	Kidney Failure, Chronic	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		33192	D007676	Kidney Failure, Chronic	OTG		End-stage kidney disease	https://genetics.opentargets.org/study/GCST008395	2019			2.596391016487e-4	0.82	1	APOL1-D007676-D007676	Phase I	0.82	1	GWAS	GWAS Catalog	2019		1.51	1	other	both	genetically supported target	FALSE
APOL1-D051437	0.93	2	APOL1-D051437	APOL1	D051437	Renal Insufficiency	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		33192	D007676	Kidney Failure, Chronic	OTG		End-stage kidney disease	https://genetics.opentargets.org/study/GCST008395	2019			2.596391016487e-4	0.82	1	APOL1-D051437-D007676	Phase I	0.82	1	GWAS	GWAS Catalog	2019		1.51	1	other	both	genetically supported target	FALSE
AR-D011471	1	5	AR-D011471	AR	D011471	Prostatic Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2022	33818	D011471	Prostatic Neoplasms	OTG		Prostate cancer	https://genetics.opentargets.org/study/GCST011049	2021			0.843402973837756	0.83	1	AR-D011471-D011471	Launched	0.83	1	GWAS	GWAS Catalog	2021		1.06	3	oncology	both	genetically supported target	TRUE
AVPR1A-D018805	0.809	4	AVPR1A-D018805	AVPR1A	D018805	Sepsis	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		47776	D007249	Inflammation	OTG		C-reactive protein levels	https://genetics.opentargets.org/study/GCST009777	2020			0.271917273673257	0.66	1	AVPR1A-D018805-D007249	Phase III	0.66	1	GWAS	GWAS Catalog	2020	0.0130231		3	infection, signs	gwas	genetically supported target	FALSE
BCL11A-D000755	0.868	2	BCL11A-D000755	BCL11A	D000755	Anemia, Sickle Cell	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		52480	D017086	beta-Thalassemia	OTG		Beta thalassemia/hemoglobin E disease	https://genetics.opentargets.org/study/GCST000532	2009			0.841425418668051	0.91	1	BCL11A-D000755-D017086	Phase I	0.91	1	GWAS	GWAS Catalog	2009			1	hematology, congenital	both	genetically supported target	FALSE
BCL11A-D013789	0.923	3	BCL11A-D013789	BCL11A	D013789	Thalassemia	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		52480	D017086	beta-Thalassemia	OTG		Beta thalassemia/hemoglobin E disease	https://genetics.opentargets.org/study/GCST000532	2009			0.841425418668051	0.91	1	BCL11A-D013789-D017086	Phase II	0.91	1	GWAS	GWAS Catalog	2009			2	hematology, congenital	both	genetically supported target	FALSE
BCL2-D000740	1	3	BCL2-D000740	BCL2	D000740	Anemia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		52686	D000740	Anemia	OTG		Mean corpuscular volume	https://genetics.opentargets.org/study/GCST004602	2016			0.0377676833225178	0.85	1	BCL2-D000740-D000740	Phase II	0.85	1	GWAS	GWAS Catalog	2016	0.09760817		2	hematology	both	genetically supported target	FALSE
BCL2-D008224	1	3	BCL2-D008224	BCL2	D008224	Lymphoma, Follicular	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		52837	D008224	Lymphoma, Follicular	OTG		Follicular lymphoma	https://genetics.opentargets.org/study/GCST002643	2014			0.0845015576323987	0.82	1	BCL2-D008224-D008224	Phase II	0.82	1	GWAS	GWAS Catalog	2014		1.3399999999999999	2	oncology	gwas	genetically supported target	FALSE
BCL2-D015451	1	5	BCL2-D015451	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2018	52894	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	OTG		Chronic lymphocytic leukemia	https://genetics.opentargets.org/study/GCST002073	2013			0.0856901920083031	0.82	1	BCL2-D015451-D015451	Launched	0.82	1	GWAS	GWAS Catalog	2013		1.470000000000001	3	oncology	both	genetically supported target	TRUE
BCL2-D054198	0.861	2	BCL2-D054198	BCL2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			TRUE		52894	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	OTG		Chronic lymphocytic leukemia	https://genetics.opentargets.org/study/GCST002073	2013			0.0856901920083031	0.82	1	BCL2-D054198-D015451	Phase I	0.82	1	GWAS	GWAS Catalog	2013		1.470000000000001	1	oncology	both	genetically supported target	FALSE
BMP6-D000740	1	3	BMP6-D000740	BMP6	D000740	Anemia	Phase II		Phase II	3	2	3	TRUE	TRUE	FALSE		FALSE		57544	D000740	Anemia	OTG		Mean corpuscular hemoglobin	https://genetics.opentargets.org/study/GCST007068	2018			0.73673792557403	0.86	1	BMP6-D000740-D000740	Phase II	0.86	1	GWAS	GWAS Catalog	2018			2	hematology	both	genetically supported target	FALSE
C3-D008181	0.831	3	C3-D008181	C3	D008181	Lupus Nephritis	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		67793	D008180	Lupus Erythematosus, Systemic	OTG		Systemic lupus erythematosus	https://genetics.opentargets.org/study/GCST011956	2020			0.478885135135135	0.56	1	C3-D008181-D008180	Phase II	0.56	1	GWAS	GWAS Catalog	2020		1.19047619047619	2	dermatology, immune	both	genetically supported target	FALSE
CACNA2D1-D001008	0.883	4	CACNA2D1-D001008	CACNA2D1	D001008	Anxiety Disorders	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		71411	D009497	Neurotic Disorders	OTG		Feeling nervous	https://genetics.opentargets.org/study/GCST006948	2018			0.584363210615325	0.96	1	CACNA2D1-D001008-D009497	Phase III	0.96	1	GWAS	GWAS Catalog	2018	0.013417954095938		3	psychiatry	gwas	genetically supported target	FALSE
CALCR-D003920	1	3	CALCR-D003920	CALCR	D003920	Diabetes Mellitus	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		72516	D003920	Diabetes Mellitus	OTG		Hemoglobin A1c levels	https://genetics.opentargets.org/study/GCST90025974	2021			0.500586854460094	0.55	1	CALCR-D003920-D003920	Phase II	0.55	1	GWAS	GWAS Catalog	2021	0.0119235		2	metabolic, endocrine	both	genetically supported target	FALSE
CALCR-D003924	1	3	CALCR-D003924	CALCR	D003924	Diabetes Mellitus, Type 2	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		72517	D003924	Diabetes Mellitus, Type 2	OTG		Type 2 diabetes	https://genetics.opentargets.org/study/GCST010118	2020			0.500914196160376	0.73	1	CALCR-D003924-D003924	Phase II	0.73	1	GWAS	GWAS Catalog	2020		1.0399999999999996	2	metabolic, endocrine	both	genetically supported target	FALSE
CALCR-D009765	1	3	CALCR-D009765	CALCR	D009765	Obesity	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		72524	D009765	Obesity	OTG		Hip circumference [EA]	https://genetics.opentargets.org/study/GCST004066_4	2015			0.395581546458739	0.85	1	CALCR-D009765-D009765	Phase II	0.85	1	GWAS	GWAS Catalog	2015	0.0254		2	metabolic, signs	both	genetically supported target	FALSE
CASP8-D008107	1	2	CASP8-D008107	CASP8	D008107	Liver Diseases	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		75353	D008107	Liver Diseases	OTG		Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90019507	2021			0.700954123643968	0.5	1	CASP8-D008107-D008107	Phase I	0.5	1	GWAS	GWAS Catalog	2021	0.017		1	digestive	both	genetically supported target	FALSE
CASR-D006934	0.848	5	CASR-D006934	CASR	D006934	Hypercalcemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2019	75497	D002128	Calcium Metabolism Disorders	OTG		Calcium levels	https://genetics.opentargets.org/study/GCST000736	2010			0.141383337658967	0.56	1	CASR-D006934-D002128	Launched	0.56	1	GWAS	GWAS Catalog	2010	0		3	metabolic	both	genetically supported target	TRUE
CCL20-D003093	1	2	CCL20-D003093	CCL20	D003093	Colitis, Ulcerative	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		81469	D003093	Colitis, Ulcerative	OTG		Ulcerative colitis [EA]	https://genetics.opentargets.org/study/GCST003045	2015			0.675962038481539	0.7	1	CCL20-D003093-D003093	Phase I	0.7	1	GWAS	GWAS Catalog	2015		1.0762394778137	1	digestive	both	genetically supported target	FALSE
CD200R1-D003876	0.851	2	CD200R1-D003876	CD200R1	D003876	Dermatitis, Atopic	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		84794	D004485	Eczema	OTG		Eczema	https://genetics.opentargets.org/study/GCST90044763	2021			0.547449045826301	0.83	1	CD200R1-D003876-D004485	Phase I	0.83	1	GWAS	GWAS Catalog	2021		1.0638297872340425	1	congenital, dermatology, immune	gwas	genetically supported target	FALSE
CD28-D001172	1	3	CD28-D001172	CD28	D001172	Arthritis, Rheumatoid	Phase II	Phase I	Phase II	3	4	3	TRUE	TRUE	FALSE		TRUE		85233	D001172	Arthritis, Rheumatoid	OTG		Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST002318	2013			0.771311794472557	0.88	1	CD28-D001172-D001172	Phase II	0.88	1	GWAS	GWAS Catalog	2013		1.1199999999999999	2	musculoskeletal, dermatology, immune	gwas	genetically supported target	FALSE
CD28-D001327	1	2	CD28-D001327	CD28	D001327	Autoimmune Diseases	Phase I	Phase I	Phase I	2	3	2	TRUE	FALSE			FALSE		85241	D001327	Autoimmune Diseases	OTG		Autoimmune traits (pleiotropy)	https://genetics.opentargets.org/study/GCST009873	2018			0.771174330995064	0.84	1	CD28-D001327-D001327	Phase I	0.84	1	GWAS	GWAS Catalog	2018			1	immune	both	genetically supported target	FALSE
CD28-D011565	1	3	CD28-D011565	CD28	D011565	Psoriasis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		TRUE		85274	D011565	Psoriasis	OTG		Psoriasis	https://genetics.opentargets.org/study/GCST005527	2012			0.0222294232015554	0.85	1	CD28-D011565-D011565	Phase II	0.85	1	GWAS	GWAS Catalog	2012		37.03703703703717	2	dermatology	both	genetically supported target	FALSE
CD28-D012859	0.81	2	CD28-D012859	CD28	D012859	Sjogren's Syndrome	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		85233	D001172	Arthritis, Rheumatoid	OTG		Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST002318	2013			0.771311794472557	0.88	1	CD28-D012859-D001172	Phase I	0.88	1	GWAS	GWAS Catalog	2013		1.1199999999999999	1	musculoskeletal, ophthalmology, dermatology, immune	both	genetically supported target	FALSE
CD33-D000544	1	2	CD33-D000544	CD33	D000544	Alzheimer Disease	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		85643	D000544	Alzheimer Disease	OTG		Alzheimer's disease (late onset)	https://genetics.opentargets.org/study/GCST001026	2011			0.321168831168831	0.71	1	CD33-D000544-D000544	Phase I	0.71	1	GWAS	GWAS Catalog	2011			1	neurology, psychiatry	both	genetically supported target	FALSE
CD40-D001172	1	3	CD40-D001172	CD40	D001172	Arthritis, Rheumatoid	Phase II		Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		86091	D001172	Arthritis, Rheumatoid	OTG		Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST000232	2008			0.7545159194282	0.69	1	CD40-D001172-D001172	Phase II	0.69	1	GWAS	GWAS Catalog	2008		1.15	2	musculoskeletal, dermatology, immune	gwas	genetically supported target	FALSE
CD40-D003093	0.89	3	CD40-D003093	CD40	D003093	Colitis, Ulcerative	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		86136	D015212	Inflammatory Bowel Diseases	OTG		Inflammatory bowel disease	https://genetics.opentargets.org/study/GCST001725	2012			0.754772107518504	0.71	1	CD40-D003093-D015212	Phase II	0.71	1	GWAS	GWAS Catalog	2012		1.091	2	digestive	both	genetically supported target	FALSE
CD40-D003424	0.907	3	CD40-D003424	CD40	D003424	Crohn Disease	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		86136	D015212	Inflammatory Bowel Diseases	OTG		Inflammatory bowel disease	https://genetics.opentargets.org/study/GCST001725	2012			0.754772107518504	0.71	1	CD40-D003424-D015212	Phase II	0.71	1	GWAS	GWAS Catalog	2012		1.091	2	digestive	both	genetically supported target	FALSE
CD40-D008180	1	3	CD40-D008180	CD40	D008180	Lupus Erythematosus, Systemic	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		86118	D008180	Lupus Erythematosus, Systemic	OTG		Systemic lupus erythematosus	https://genetics.opentargets.org/study/GCST005752	2017			0.7545159194282	0.67	1	CD40-D008180-D008180	Phase II	0.67	1	GWAS	GWAS Catalog	2017			2	dermatology, immune	both	genetically supported target	FALSE
CD40-D008181	0.831	3	CD40-D008181	CD40	D008181	Lupus Nephritis	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		86118	D008180	Lupus Erythematosus, Systemic	OTG		Systemic lupus erythematosus	https://genetics.opentargets.org/study/GCST005752	2017			0.7545159194282	0.67	1	CD40-D008181-D008180	Phase II	0.67	1	GWAS	GWAS Catalog	2017			2	dermatology, immune	both	genetically supported target	FALSE
CD40-D012859	0.81	3	CD40-D012859	CD40	D012859	Sjogren's Syndrome	Phase II	Phase II	Phase II	3	4	3	TRUE	TRUE	FALSE		FALSE		86091	D001172	Arthritis, Rheumatoid	OTG		Rheumatoid arthritis	https://genetics.opentargets.org/study/GCST000232	2008			0.7545159194282	0.69	1	CD40-D012859-D001172	Phase II	0.69	1	GWAS	GWAS Catalog	2008		1.15	2	musculoskeletal, ophthalmology, dermatology, immune	both	genetically supported target	FALSE
CD6-D009103	1	2	CD6-D009103	CD6	D009103	Multiple Sclerosis	Phase I		Phase I	2		2	TRUE	FALSE			TRUE		86538	D009103	Multiple Sclerosis	OTG		Multiple sclerosis	https://genetics.opentargets.org/study/GCST009597	2019			0.36053799947767	0.5	1	CD6-D009103-D009103	Phase I	0.5	1	GWAS	GWAS Catalog	2019			1	neurology, immune	both	genetically supported target	FALSE
CDKN1A-D015179	1	3	CDKN1A-D015179	CDKN1A	D015179	Colorectal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		FALSE		90950	D015179	Colorectal Neoplasms	OTG		Colorectal cancer	https://genetics.opentargets.org/study/GCST001544	2012			0.236695223260644	0.6	1	CDKN1A-D015179-D015179	Phase II	0.6	1	GWAS	GWAS Catalog	2012			2	oncology	both	genetically supported target	FALSE
CETP-D006937	0.874	4	CETP-D006937	CETP	D006937	Hypercholesterolemia	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		97902	D050171	Dyslipidemias	OTG		Lipid metabolism phenotypes [APOA1.assay, fasting]	https://genetics.opentargets.org/study/GCST000533	2009			0.445838751625488	0.68	1	CETP-D006937-D050171	Phase III	0.68	1	GWAS	GWAS Catalog	2009			3	metabolic	both	genetically supported target	FALSE
CETP-D006938	0.83	4	CETP-D006938	CETP	D006938	Hyperlipoproteinemia Type II	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		97902	D050171	Dyslipidemias	OTG		Lipid metabolism phenotypes [APOA1.assay, fasting]	https://genetics.opentargets.org/study/GCST000533	2009			0.445838751625488	0.68	1	CETP-D006938-D050171	Phase III	0.68	1	GWAS	GWAS Catalog	2009			3	congenital, metabolic	both	genetically supported target	FALSE
CETP-D006949	0.804	4	CETP-D006949	CETP	D006949	Hyperlipidemias	Phase III	Phase I	Phase III	4	5	4	TRUE	TRUE	TRUE	FALSE	FALSE		97981	D052456	Hypoalphalipoproteinemias	OTG		HDL cholesterol levels	https://genetics.opentargets.org/study/GCST004919	2007			0.497855750487329	0.72	1	CETP-D006949-D052456	Phase III	0.72	1	GWAS	GWAS Catalog	2007	2.1		3	metabolic	both	genetically supported target	FALSE
CETP-D050197	0.828	4	CETP-D050197	CETP	D050197	Atherosclerosis	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	FALSE		97684	D003324	Coronary Artery Disease	OTG		Coronary artery disease	https://genetics.opentargets.org/study/GCST005194	2017			0.314125910509886	0.55	1	CETP-D050197-D003324	Phase III	0.55	1	GWAS	GWAS Catalog	2017		1.0381081810730044	3	cardiovascular	both	genetically supported target	FALSE
CHRM3-D001249	1	4	CHRM3-D001249	CHRM3	D001249	Asthma	Phase III	Phase I	Phase III	4	3	4	TRUE	TRUE	TRUE	FALSE	FALSE		102113	D001249	Asthma	OTG		Lung function (FEV1/FVC)	https://genetics.opentargets.org/study/GCST004185	2017			0.48645304155269	0.84	1	CHRM3-D001249-D001249	Phase III	0.84	1	GWAS	GWAS Catalog	2017	0.038		3	respiratory, immune	gwas	genetically supported target	FALSE
CHRM3-D029424	0.807	5	CHRM3-D029424	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2012	102113	D001249	Asthma	OTG		Lung function (FEV1/FVC)	https://genetics.opentargets.org/study/GCST004185	2017			0.48645304155269	0.84	1	CHRM3-D029424-D001249	Launched	0.84	1	GWAS	GWAS Catalog	2017	0.038		3	respiratory	gwas	genetically supported target	TRUE
CHRM3-D029481	0.836	5	CHRM3-D029481	CHRM3	D029481	Bronchitis, Chronic	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2012	102134	D029424	Pulmonary Disease, Chronic Obstructive	OTG		Chronic obstructive pulmonary disease	https://genetics.opentargets.org/study/GCST007692	2019			0.421213302156404	0.82	1	CHRM3-D029481-D029424	Launched	0.82	1	GWAS	GWAS Catalog	2019			3	infection, respiratory	gwas	genetically supported target	TRUE
CRP-D007249	1	2	CRP-D007249	CRP	D007249	Inflammation	Phase I		Phase I	2		2	TRUE	FALSE			FALSE		118164	D007249	Inflammation	OTG		C-reactive protein levels	https://genetics.opentargets.org/study/GCST000965	2011			0.346809895833333	0.7	1	CRP-D007249-D007249	Phase I	0.7	1	GWAS	GWAS Catalog	2011	0.16		1	signs	gwas	genetically supported target	FALSE
CSF3-D009503	1	5	CSF3-D009503	CSF3	D009503	Neutropenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2021	119344	D009503	Neutropenia	OTG		Neutrophil count	https://genetics.opentargets.org/study/GCST004629	2016			0.0142838592390599	0.56	1	CSF3-D009503-D009503	Launched	0.56	1	GWAS	GWAS Catalog	2016	0.1324835		3	hematology	both	genetically supported target	TRUE
