area	gene	indication_mesh_id	indication_mesh_term	abs_or
digestive	MAP3K8	D015212	Inflammatory Bowel Diseases	1.075
digestive	MMP9	D003093	Colitis, Ulcerative	1.1160548371688523
digestive	MMP9	D003424	Crohn Disease	1.1160548371688523
digestive	NFKB1	D003093	Colitis, Ulcerative	1.118
digestive	NFKB1	D003424	Crohn Disease	1.118
digestive	PTGER4	D003093	Colitis, Ulcerative	1.072444154427016
digestive	SMAD7	D003093	Colitis, Ulcerative	1.0858526164400326
digestive	SMAD7	D003424	Crohn Disease	1.057
digestive	STAT3	D003093	Colitis, Ulcerative	1.0936784069013752
digestive	TNFSF15	D003093	Colitis, Ulcerative	1.13
digestive	TNFSF15	D003424	Crohn Disease	1.1517793413963
immune	ADORA1	D001249	Asthma	1.0479999999999998
immune	C3	D008181	Lupus Nephritis	1.19047619047619
immune	CD200R1	D003876	Dermatitis, Atopic	1.0638297872340425
immune	CD28	D001172	Arthritis, Rheumatoid	1.1199999999999999
immune	CD28	D012859	Sjogren's Syndrome	1.1199999999999999
immune	CD40	D001172	Arthritis, Rheumatoid	1.15
immune	CD40	D012859	Sjogren's Syndrome	1.15
immune	CTLA4	D001172	Arthritis, Rheumatoid	1.17
immune	GATA3	D001249	Asthma	1.1111111999999996
immune	IL13	D001249	Asthma	1.1235955
immune	IL13	D003876	Dermatitis, Atopic	1.0974617352680827
immune	IL2RA	D001172	Arthritis, Rheumatoid	1.1
immune	IL2RA	D012859	Sjogren's Syndrome	1.1
immune	IL33	D001249	Asthma	1.1627907
immune	IL33	D001327	Autoimmune Diseases	1.0048984081665284
immune	IL33	D065631	Rhinitis, Allergic	1.08
immune	IL4R	D001249	Asthma	1.139
immune	IL4R	D006967	Hypersensitivity	1.06790629721624
immune	IL4R	D065631	Rhinitis, Allergic	1.139
immune	IL6	D001249	Asthma	1.04112
immune	IL6R	D001172	Arthritis, Rheumatoid	1.0799999999999998
immune	IL7R	D001327	Autoimmune Diseases	1.0052718475414864
immune	IL7R	D003922	Diabetes Mellitus, Type 1	1.113054034711086
immune	IL7R	D009103	Multiple Sclerosis	1.1169440411035407
immune	NFKB1	D001249	Asthma	1.0416667
immune	NFKB1	D006967	Hypersensitivity	1.1363636
immune	PRKCB	D001172	Arthritis, Rheumatoid	1.0989010989011
immune	PRKCB	D008180	Lupus Erythematosus, Systemic	1.1719999999999995
immune	TNFRSF1A	D009103	Multiple Sclerosis	1.1176
immune	TNFSF4	D001249	Asthma	1.053
immune	TNFSF4	D003876	Dermatitis, Atopic	1.08209610704895
immune	TNFSF4	D065631	Rhinitis, Allergic	1.053
immune	TSLP	D001249	Asthma	1.17
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	1.0395011000000003
signs/symptoms	MC4R	D009765	Obesity	1.19
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	1.04
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	1.0399999999999996
endocrine	FGFR4	D003924	Diabetes Mellitus, Type 2	1.06
endocrine	GCK	D003924	Diabetes Mellitus, Type 2	1.05675194393065
endocrine	GIPR	D003924	Diabetes Mellitus, Type 2	1.08
endocrine	GLP1R	D003924	Diabetes Mellitus, Type 2	1.0900000000000005
endocrine	IL7R	D003922	Diabetes Mellitus, Type 1	1.113054034711086
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	1.05
endocrine	KCNJ11	D003924	Diabetes Mellitus, Type 2	1.1400000000000006
endocrine	PPARG	D003924	Diabetes Mellitus, Type 2	1.1400000000000006
endocrine	VEGFA	D003924	Diabetes Mellitus, Type 2	1.0561180829416046
infection	IFNAR2	D000086382	COVID-19	1.06391021185041
congenital	APOB	D006938	Hyperlipoproteinemia Type II	1.0188396686435812
congenital	CD200R1	D003876	Dermatitis, Atopic	1.0638297872340425
congenital	CETP	D006938	Hyperlipoproteinemia Type II	1.0989010989010988
congenital	IL13	D003876	Dermatitis, Atopic	1.0974617352680827
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	1.048702305193816
congenital	TNFSF4	D003876	Dermatitis, Atopic	1.08209610704895
oncology	AR	D011471	Prostatic Neoplasms	1.06
oncology	CDKN1A	D015179	Colorectal Neoplasms	1.09
oncology	CYP19A1	D001943	Breast Neoplasms	1.11354
oncology	EDNRB	D005770	Gastrointestinal Neoplasms	1.11
oncology	EPAS1	D007680	Kidney Neoplasms	1.1800000000000002
oncology	ESR1	D001943	Breast Neoplasms	1.04195629596547
oncology	ESR1	D009369	Neoplasms	1.1737089
oncology	FSHR	D010051	Ovarian Neoplasms	1.1500000000000006
oncology	KLK3	D011471	Prostatic Neoplasms	1.1218734375719388
oncology	MYC	D001943	Breast Neoplasms	1.07
oncology	MYC	D011471	Prostatic Neoplasms	1.0760533044884926
oncology	PARP1	D008545	Melanoma	1.0946999999999996
oncology	TYR	D008545	Melanoma	1.17
oncology	VEGFA	D011471	Prostatic Neoplasms	1.039
oncology	WT1	D010051	Ovarian Neoplasms	1.09330749409612
cardiovascular	ACE	D006973	Hypertension	1.0087938002685946
cardiovascular	ADRB1	D006973	Hypertension	1.01223251259078
cardiovascular	AGT	D006973	Hypertension	1.0081080133403597
cardiovascular	CETP	D050197	Atherosclerosis	1.0381081810730044
cardiovascular	F11	D013927	Thrombosis	1.00332352068833
cardiovascular	F11	D020246	Venous Thrombosis	1.00332352068833
cardiovascular	F2	D013927	Thrombosis	1.01585934539419
cardiovascular	F2	D020246	Venous Thrombosis	1.01585934539419
cardiovascular	LPA	D002318	Cardiovascular Diseases	1.03904050920002
cardiovascular	LPA	D050197	Atherosclerosis	1.11037744714958
cardiovascular	NOS3	D020521	Stroke	1.0500000000000005
cardiovascular	NPR1	D006973	Hypertension	1.02726989927706
cardiovascular	PCSK9	D050197	Atherosclerosis	1.0799999999999998
cardiovascular	PDE3A	D050197	Atherosclerosis	1.04707441095694
cardiovascular	SCN5A	D001281	Atrial Fibrillation	1.04
cardiovascular	VWF	D013927	Thrombosis	1.0016128692768
cardiovascular	VWF	D020246	Venous Thrombosis	1.0016128692768
metabolic	ABCA1	D006949	Hyperlipidemias	1.0064447787875561
metabolic	APOB	D006937	Hypercholesterolemia	1.0188396686435812
metabolic	APOB	D006938	Hyperlipoproteinemia Type II	1.0188396686435812
metabolic	APOB	D015228	Hypertriglyceridemia	1.0188396686435812
metabolic	C9orf72	D000690	Amyotrophic Lateral Sclerosis	1.1981755202240474
metabolic	C9orf72	D057180	Frontotemporal Dementia	1.1981755202240474
metabolic	CALCR	D003924	Diabetes Mellitus, Type 2	1.0399999999999996
metabolic	CETP	D006937	Hypercholesterolemia	1.0989010989010988
metabolic	CETP	D006938	Hyperlipoproteinemia Type II	1.0989010989010988
metabolic	CETP	D006949	Hyperlipidemias	1.0989010989010988
metabolic	ESR1	D010024	Osteoporosis	1.00147021971486
metabolic	FGFR4	D003924	Diabetes Mellitus, Type 2	1.06
metabolic	GCK	D003924	Diabetes Mellitus, Type 2	1.05675194393065
metabolic	GIPR	D003924	Diabetes Mellitus, Type 2	1.08
metabolic	GLP1R	D003924	Diabetes Mellitus, Type 2	1.0900000000000005
metabolic	HMGCR	D006937	Hypercholesterolemia	1.01099652212723
metabolic	HMGCR	D006949	Hyperlipidemias	1.01099652212723
metabolic	IL7R	D003922	Diabetes Mellitus, Type 1	1.113054034711086
metabolic	INSR	D003924	Diabetes Mellitus, Type 2	1.05
metabolic	KCNJ11	D003924	Diabetes Mellitus, Type 2	1.1400000000000006
metabolic	LPA	D006949	Hyperlipidemias	1.02000048215801
metabolic	MC4R	D009765	Obesity	1.19
metabolic	NPC1L1	D006949	Hyperlipidemias	1.00663296129415
metabolic	PCSK9	D006937	Hypercholesterolemia	1.048702305193816
metabolic	PCSK9	D006938	Hyperlipoproteinemia Type II	1.048702305193816
metabolic	PCSK9	D006949	Hyperlipidemias	1.048702305193816
metabolic	PPARG	D003924	Diabetes Mellitus, Type 2	1.1400000000000006
metabolic	SOST	D001851	Bone Diseases, Metabolic	1.0029548369500927
metabolic	SOST	D010024	Osteoporosis	1.0029548369500927
metabolic	VEGFA	D003924	Diabetes Mellitus, Type 2	1.0561180829416046
respiratory	ADORA1	D001249	Asthma	1.0479999999999998
respiratory	ADORA1	D029424	Pulmonary Disease, Chronic Obstructive	1.0479999999999998
respiratory	GATA3	D001249	Asthma	1.1111111999999996
respiratory	GATA3	D029424	Pulmonary Disease, Chronic Obstructive	1.1111111999999996
respiratory	IFNAR2	D000086382	COVID-19	1.06391021185041
respiratory	IL13	D001249	Asthma	1.1235955
respiratory	IL13	D029424	Pulmonary Disease, Chronic Obstructive	1.1235955
respiratory	IL33	D001249	Asthma	1.1627907
respiratory	IL33	D029424	Pulmonary Disease, Chronic Obstructive	1.1627907
respiratory	IL33	D065631	Rhinitis, Allergic	1.08
respiratory	IL4R	D001249	Asthma	1.139
respiratory	IL4R	D029424	Pulmonary Disease, Chronic Obstructive	1.139
respiratory	IL4R	D065631	Rhinitis, Allergic	1.139
respiratory	IL6	D001249	Asthma	1.04112
respiratory	NFKB1	D001249	Asthma	1.0416667
respiratory	TNFSF4	D001249	Asthma	1.053
respiratory	TNFSF4	D065631	Rhinitis, Allergic	1.053
respiratory	TSLP	D001249	Asthma	1.17
respiratory	TSLP	D029424	Pulmonary Disease, Chronic Obstructive	1.17
