area	gene	indication_mesh_id	indication_mesh_term	abs_beta
psychiatry	DRD2	D001714	Bipolar Disorder	0.07235493
psychiatry	DRD2	D012559	Schizophrenia	0.07893311
psychiatry	GRIA1	D012559	Schizophrenia	0.059579235
psychiatry	GRIN2B	D000544	Alzheimer Disease	1.02
psychiatry	GRM5	D001008	Anxiety Disorders	0.014510679934776
psychiatry	GRM5	D003865	Depressive Disorder, Major	0.028490389
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	0.014510679934776
psychiatry	GRN	D057180	Frontotemporal Dementia	0.0665
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.846
psychiatry	HCRTR2	D009290	Narcolepsy	0.846
psychiatry	MAPT	D000544	Alzheimer Disease	0.38
psychiatry	OPRM1	D009293	Opioid-Related Disorders	0.07
neurology	APOE	D000544	Alzheimer Disease	0.101
neurology	CD33	D000544	Alzheimer Disease	5.4802556
neurology	GRIN2B	D000544	Alzheimer Disease	1.02
neurology	GRN	D057180	Frontotemporal Dementia	0.0665
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	0.846
neurology	HCRTR2	D009290	Narcolepsy	0.846
neurology	LRRK2	D010300	Parkinson Disease	0.1439
neurology	MAPT	D000544	Alzheimer Disease	0.38
neurology	MAPT	D013494	Supranuclear Palsy, Progressive	0.38
neurology	PDE3A	D020521	Stroke	0.0604
neurology	SCN1A	D004828	Epilepsies, Partial	5.78
neurology	SNCA	D010300	Parkinson Disease	0.2774
neurology	SNCA	D019578	Multiple System Atrophy	0.2774
digestive	CASP8	D008107	Liver Diseases	0.017
digestive	IFNG	D003424	Crohn Disease	0.113
digestive	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
digestive	IL23R	D003424	Crohn Disease	0.3098
digestive	IL23R	D015212	Inflammatory Bowel Diseases	0.3098
digestive	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
digestive	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
digestive	NR1H4	D008107	Liver Diseases	0.00768656
digestive	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
immune	ADRB2	D001249	Asthma	0.0247
immune	CD28	D001172	Arthritis, Rheumatoid	0.115858
immune	CD28	D012859	Sjogren's Syndrome	0.115858
immune	CD40	D001172	Arthritis, Rheumatoid	0.0917533
immune	CD40	D012859	Sjogren's Syndrome	0.0917533
immune	CHRM3	D001249	Asthma	0.038
immune	CTLA4	D001172	Arthritis, Rheumatoid	0.138126
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
immune	IL13	D001249	Asthma	0.081391685
immune	IL13	D003876	Dermatitis, Atopic	0.22578353
immune	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
immune	IL2RA	D001172	Arthritis, Rheumatoid	0.0788456
immune	IL2RA	D012859	Sjogren's Syndrome	0.0788456
immune	IL33	D001249	Asthma	1.031
immune	IL33	D065631	Rhinitis, Allergic	1.031
immune	IL4R	D001249	Asthma	0.1230239
immune	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
immune	IL4R	D065631	Rhinitis, Allergic	0.1230239
immune	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
immune	IL6R	D001172	Arthritis, Rheumatoid	0.0792409
immune	INS	D003922	Diabetes Mellitus, Type 1	0.3085
immune	NFKB1	D006967	Hypersensitivity	0.025
immune	NR3C1	D001249	Asthma	0.0157
immune	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
immune	NR3C1	D065631	Rhinitis, Allergic	0.0157
immune	PTGER4	D006967	Hypersensitivity	0.0785
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.0150012999999999
immune	TNFSF4	D001249	Asthma	0.849
immune	TNFSF4	D065631	Rhinitis, Allergic	0.849
immune	TSLP	D001249	Asthma	0.121619895
signs/symptoms	AVPR1A	D018805	Sepsis	0.0130231
signs/symptoms	CALCR	D009765	Obesity	0.0254
signs/symptoms	CRP	D007249	Inflammation	0.16
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
signs/symptoms	FGFR4	D009765	Obesity	0.0245634
signs/symptoms	IL18	D007249	Inflammation	0.2668
signs/symptoms	IL1RN	D007249	Inflammation	0.05
signs/symptoms	IL6	D007249	Inflammation	0.0528
signs/symptoms	INSR	D009765	Obesity	0.0259
signs/symptoms	LEPR	D009765	Obesity	0.07
signs/symptoms	MAPT	D013494	Supranuclear Palsy, Progressive	0.38
signs/symptoms	MC4R	D009765	Obesity	0.05
signs/symptoms	NLRP3	D007249	Inflammation	0.047
signs/symptoms	NPY	D009765	Obesity	0.0115
signs/symptoms	NR1H4	D007249	Inflammation	0.0431909
signs/symptoms	NR3C1	D009765	Obesity	0.0241466
signs/symptoms	OPRM1	D009765	Obesity	0.018
signs/symptoms	PPARA	D009765	Obesity	0.0349198
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	5.11
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	0.6568
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.0150012999999999
signs/symptoms	TNFRSF1A	D018805	Sepsis	0.0198902
signs/symptoms	TSLP	D009298	Nasal Polyps	0.2789
endocrine	CALCR	D003920	Diabetes Mellitus	0.0119235
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	0.022
endocrine	ESR1	D004700	Endocrine System Diseases	0.0187752
endocrine	FGFR4	D003924	Diabetes Mellitus, Type 2	0.0549
endocrine	GCK	D003920	Diabetes Mellitus	0.208
endocrine	GIPR	D003924	Diabetes Mellitus, Type 2	0.076
endocrine	GLP1R	D003920	Diabetes Mellitus	0.0257273999999999
endocrine	GLP1R	D003924	Diabetes Mellitus, Type 2	0.0316
endocrine	INS	D003922	Diabetes Mellitus, Type 1	0.3085
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	0.0445
endocrine	KCNJ11	D003924	Diabetes Mellitus, Type 2	0.068
endocrine	MC4R	D003920	Diabetes Mellitus	0.0452
endocrine	METAP2	D003924	Diabetes Mellitus, Type 2	0.0601
endocrine	PPARG	D003924	Diabetes Mellitus, Type 2	0.1028
endocrine	TSHR	D006980	Hyperthyroidism	0.2483
infection	AVPR1A	D018805	Sepsis	0.0130231
infection	IL33	D012852	Sinusitis	0.1375
infection	TNFRSF1A	D018805	Sepsis	0.0198902
infection	TSLP	D012852	Sinusitis	0.0827
congenital	ALPL	D007014	Hypophosphatasia	0.02
congenital	APOA1	D006938	Hyperlipoproteinemia Type II	0.0849428
congenital	APOA1	D052456	Hypoalphalipoproteinemias	0.0849428
congenital	APOB	D006938	Hyperlipoproteinemia Type II	10.5
congenital	CETP	D006938	Hyperlipoproteinemia Type II	0.0479
congenital	F11	D005173	Factor XI Deficiency	0.0735
congenital	IL13	D003876	Dermatitis, Atopic	0.22578353
congenital	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.0792
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	3.04
congenital	SLC22A12	D006073	Gout	0.07
congenital	SLC40A1	D006432	Hemochromatosis	0.089
congenital	THRB	D006938	Hyperlipoproteinemia Type II	0.018
congenital	VWF	D006467	Hemophilia A	0.0271
congenital	VWF	D014842	von Willebrand Diseases	0.0271
oncology	CYP19A1	D001943	Breast Neoplasms	1.39
oncology	GNRH1	D007889	Leiomyoma	0.052
oncology	KLK3	D011471	Prostatic Neoplasms	39.1
oncology	MC1R	D018307	Neoplasms, Squamous Cell	0.38
oncology	MSLN	D009369	Neoplasms	0.15
oncology	MYC	D008223	Lymphoma	0.1546
cardiovascular	ACE	D006973	Hypertension	0.213
cardiovascular	ADRB1	D006973	Hypertension	0.338
cardiovascular	AGT	D006973	Hypertension	0.32885453
cardiovascular	CETP	D050197	Atherosclerosis	0.0405
cardiovascular	CYP11B2	D006973	Hypertension	0.0177372999999999
cardiovascular	GP6	D013927	Thrombosis	0.199
cardiovascular	LPA	D050197	Atherosclerosis	0.2761
cardiovascular	MME	D006973	Hypertension	0.403
cardiovascular	NPR1	D006973	Hypertension	0.06447421
cardiovascular	PCSK9	D050197	Atherosclerosis	0.052
cardiovascular	PDE3A	D020521	Stroke	0.0604
cardiovascular	PDE5A	D006973	Hypertension	0.215
cardiovascular	SCN5A	D001145	Arrhythmias, Cardiac	5.11
cardiovascular	SCN5A	D017180	Tachycardia, Ventricular	0.6568
hematology	ACVRL1	D000740	Anemia	0.0239139999999999
hematology	BCL2	D000740	Anemia	0.09760817
hematology	BMP6	D000740	Anemia	0.020634
hematology	CSF3	D009503	Neutropenia	0.1324835
hematology	CSF3R	D007970	Leukopenia	0.04220662
hematology	CSF3R	D009503	Neutropenia	0.04766949
hematology	DYRK3	D000740	Anemia	0.01562
hematology	EGLN2	D000740	Anemia	0.08824054
hematology	EPOR	D000740	Anemia	0.0619314
hematology	F10	D001778	Blood Coagulation Disorders	0.534
hematology	F11	D001778	Blood Coagulation Disorders	0.483
hematology	F11	D005173	Factor XI Deficiency	0.0735
hematology	FCGRT	D013921	Thrombocytopenia	0.078719
hematology	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	0.078719
hematology	IL13	D057765	Eosinophilic Esophagitis	0.0863169999999999
hematology	IL4R	D057765	Eosinophilic Esophagitis	0.02771053
hematology	IL5RA	D017681	Hypereosinophilic Syndrome	0.03026724
hematology	IL5RA	D057765	Eosinophilic Esophagitis	0.03026724
hematology	JAK2	D013922	Thrombocytosis	0.04031984
hematology	MPL	D013921	Thrombocytopenia	0.2101
hematology	NR3C1	D057765	Eosinophilic Esophagitis	0.0136809999999999
hematology	SLC40A1	D000740	Anemia	0.0209683999999999
hematology	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	0.0150012999999999
hematology	THPO	D013921	Thrombocytopenia	0.3019065
hematology	THPO	D013922	Thrombocytosis	0.3019065
hematology	VWF	D006467	Hemophilia A	0.0271
hematology	VWF	D014842	von Willebrand Diseases	0.0271
metabolic	ABCA1	D006949	Hyperlipidemias	0.0476
metabolic	ALPL	D007014	Hypophosphatasia	0.02
metabolic	APOA1	D006937	Hypercholesterolemia	0.0849428
metabolic	APOA1	D006938	Hyperlipoproteinemia Type II	0.0849428
metabolic	APOA1	D006949	Hyperlipidemias	0.0849428
metabolic	APOA1	D052456	Hypoalphalipoproteinemias	0.0849428
metabolic	APOB	D006937	Hypercholesterolemia	0.12
metabolic	APOB	D006938	Hyperlipoproteinemia Type II	10.5
metabolic	APOB	D015228	Hypertriglyceridemia	0.08
metabolic	APOC3	D006937	Hypercholesterolemia	0.0334341
metabolic	APOC3	D006949	Hyperlipidemias	0.0334341
metabolic	APOC3	D015228	Hypertriglyceridemia	0.199194
metabolic	APOC3	D050171	Dyslipidemias	0.0334341
metabolic	CALCR	D003920	Diabetes Mellitus	0.0119235
metabolic	CALCR	D003924	Diabetes Mellitus, Type 2	0.022
metabolic	CALCR	D009765	Obesity	0.0254
metabolic	CASR	D006934	Hypercalcemia	0
metabolic	CASR	D006996	Hypocalcemia	0
metabolic	CETP	D006937	Hypercholesterolemia	0.0479
metabolic	CETP	D006938	Hyperlipoproteinemia Type II	0.0479
metabolic	CETP	D006949	Hyperlipidemias	0.0479
metabolic	DGAT2	D006949	Hyperlipidemias	0.0243
metabolic	ESR1	D010024	Osteoporosis	0.07
metabolic	FDFT1	D006949	Hyperlipidemias	0.0160844999999999
metabolic	FGF21	D015228	Hypertriglyceridemia	0.0248079
metabolic	FGFR4	D003924	Diabetes Mellitus, Type 2	0.0549
metabolic	FGFR4	D009765	Obesity	0.0245634
metabolic	GCK	D003920	Diabetes Mellitus	0.208
metabolic	GIPR	D003924	Diabetes Mellitus, Type 2	0.076
metabolic	GLP1R	D003920	Diabetes Mellitus	0.0257273999999999
metabolic	GLP1R	D003924	Diabetes Mellitus, Type 2	0.0316
metabolic	GRN	D057180	Frontotemporal Dementia	0.0665
metabolic	HMGCR	D006937	Hypercholesterolemia	0.0744
metabolic	HMGCR	D006949	Hyperlipidemias	0.0744
metabolic	IGF1	D024821	Metabolic Syndrome	0.013
metabolic	INS	D003922	Diabetes Mellitus, Type 1	0.3085
metabolic	INSR	D003924	Diabetes Mellitus, Type 2	0.0445
metabolic	INSR	D009765	Obesity	0.0259
metabolic	KCNJ11	D003924	Diabetes Mellitus, Type 2	0.068
metabolic	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	0.0792
metabolic	LEPR	D009765	Obesity	0.07
metabolic	LPA	D006949	Hyperlipidemias	0.0457
metabolic	MC4R	D003920	Diabetes Mellitus	0.0452
metabolic	MC4R	D009765	Obesity	0.05
metabolic	METAP2	D003924	Diabetes Mellitus, Type 2	0.0601
metabolic	MTTP	D006949	Hyperlipidemias	0.0280325
metabolic	NPC1L1	D006949	Hyperlipidemias	0.0366
metabolic	NPY	D009765	Obesity	0.0115
metabolic	NR1H4	D006937	Hypercholesterolemia	0.030061
metabolic	NR1H4	D006949	Hyperlipidemias	0.030061
metabolic	NR1H4	D015228	Hypertriglyceridemia	0.030061
metabolic	NR3C1	D009765	Obesity	0.0241466
metabolic	OPRM1	D009765	Obesity	0.018
metabolic	PCSK9	D006937	Hypercholesterolemia	3.04
metabolic	PCSK9	D006938	Hyperlipoproteinemia Type II	3.04
metabolic	PCSK9	D006949	Hyperlipidemias	3.04
metabolic	PPARA	D006937	Hypercholesterolemia	0.0179778
metabolic	PPARA	D006949	Hyperlipidemias	0.0179778
metabolic	PPARA	D009765	Obesity	0.0349198
metabolic	PPARA	D015228	Hypertriglyceridemia	0.0179778
metabolic	PPARA	D050171	Dyslipidemias	0.0179778
metabolic	PPARG	D003924	Diabetes Mellitus, Type 2	0.1028
metabolic	SLC10A2	D006937	Hypercholesterolemia	0.0767204
metabolic	SLC10A2	D006949	Hyperlipidemias	0.0767204
metabolic	SLC22A12	D006073	Gout	0.07
metabolic	SLC40A1	D006432	Hemochromatosis	0.089
metabolic	SOST	D001851	Bone Diseases, Metabolic	0.08
metabolic	SOST	D010024	Osteoporosis	0.08
metabolic	THRB	D006937	Hypercholesterolemia	0.018
metabolic	THRB	D006938	Hyperlipoproteinemia Type II	0.018
respiratory	ADRB2	D001249	Asthma	0.0247
respiratory	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive	0.0247
respiratory	CHRM3	D001249	Asthma	0.038
respiratory	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive	0.038
respiratory	IL13	D001249	Asthma	0.081391685
respiratory	IL13	D029424	Pulmonary Disease, Chronic Obstructive	0.081391685
respiratory	IL33	D001249	Asthma	1.031
respiratory	IL33	D012852	Sinusitis	0.1375
respiratory	IL33	D029424	Pulmonary Disease, Chronic Obstructive	1.031
respiratory	IL33	D065631	Rhinitis, Allergic	1.031
respiratory	IL4R	D001249	Asthma	0.1230239
respiratory	IL4R	D029424	Pulmonary Disease, Chronic Obstructive	0.1230239
respiratory	IL4R	D065631	Rhinitis, Allergic	0.1230239
respiratory	NR3C1	D001249	Asthma	0.0157
respiratory	NR3C1	D029424	Pulmonary Disease, Chronic Obstructive	0.0157
respiratory	NR3C1	D065631	Rhinitis, Allergic	0.0157
respiratory	RARG	D029424	Pulmonary Disease, Chronic Obstructive	0.0237558
respiratory	TNFSF4	D001249	Asthma	0.849
respiratory	TNFSF4	D065631	Rhinitis, Allergic	0.849
respiratory	TSLP	D001249	Asthma	0.121619895
respiratory	TSLP	D009298	Nasal Polyps	0.2789
respiratory	TSLP	D012852	Sinusitis	0.0827
respiratory	TSLP	D029424	Pulmonary Disease, Chronic Obstructive	0.121619895
