gene	n_launched_indic	meansim	n_launched_indic_2000	meansim_2000
CCNG1	1	1	1	1
CCR4	3	0.8663333333333333	3	0.8663333333333333
CCR5	1	1		
CD19	8	0.6352857142857142	8	0.6352857142857142
CD2	2	0.219		
CD22	2	0.706	1	1
CD274	16	0.49495	15	0.49379047619047617
CD276	4	0.621	4	0.621
CD28	1	1	1	1
CD33	1	1		
CD38	2	0.823	2	0.823
CD3E	10	0.4678	1	1
CD4	1	1	1	1
CD44	5	0.2539		
CD6	2	0.352	2	0.352
CD79B	1	1	1	1
CD80	4	0.25816666666666666		
CD86	4	0.25816666666666666		
CDK4	2	0.552		
CDK6	2	0.552		
CFTR	2	0.209	1	1
CHRM1	15	0.2248857142857143		
CHRM2	12	0.2669848484848485		
CHRM3	23	0.22048221343873517	6	0.3826
CHRM4	11	0.28145454545454546		
CHRNA4	1	1		
CHRNA7	1	1	1	1
CHRNB2	1	1		
CLCN2	3	0.06999999999999999	3	0.06999999999999999
CNDP1	1	1	1	1
CNR1	17	0.3029117647058823	4	0.27316666666666667
CNR2	3	0.24766666666666667		
COL7A1	1	1	1	1
COMT	1	1	1	1
CPS1	1	1	1	1
CR1	1	1	1	1
CRBN	11	0.5128	2	0.524
CSF1R	11	0.2142		
CSF2RA	8	0.1742142857142857	2	0.207
CSF3	1	1	1	1
CSF3R	8	0.2591785714285714	8	0.2591785714285714
CSNK1E	3	0.6373333333333333		
CTLA4	9	0.5445	2	0.555
CUBN	2	0.712		
CXCL8	1	1	1	1
CXCR4	1	1	1	1
CYBB	2	0.536		
CYP11B1	1	1	1	1
CYP11B2	1	1		
CYP17A1	1	1	1	1
CYP19A1	1	1		
CYP27B1	1	1		
CYP3A4	2	0.033	1	1
CYP51A1	1	1	1	1
CYSLTR1	3	0.8330000000000001	3	0.8330000000000001
DBH	2	0.491		
DDC	2	0	2	0
DHFR	9	0.28947222222222224	3	0.26066666666666666
DHODH	5	0.29810000000000003	1	1
DMD	1	1	1	1
DNASE1	1	1	1	1
DPP4	1	1	1	1
DPYSL2	3	0.7183333333333334		
DRD1	9	0.27116666666666667		
DRD2	23	0.2604347826086956	6	0.3233333333333333
DRD3	8	0.30785714285714283	1	1
DRD4	6	0.3554		
EDNRA	5	0.2853	1	1
EDNRB	4	0.30483333333333335	2	0.781
EEF1A1	1	1		
EEF2	2	0.402		
EGF	1	1		
EGFR	10	0.3188888888888889	5	0.1699
EGLN1	1	1		
EGLN2	1	1	1	1
EGLN3	1	1		
ELANE	3	0.3716666666666667		
EPAS1	4	0.13783333333333334	4	0.13783333333333334
EPCAM	2	0.198	1	1
EPHA2	1	1		
EPOR	3	0.356	3	0.356
ERBB2	6	0.6054666666666667	6	0.6054666666666667
ERBB3	1	1		
ERBB4	2	0.562		
ESR1	11	0.2114909090909091	7	0.14609523809523808
EZH1	2	0.842		
EZH2	5	0.6809	3	0.6233333333333333
F10	21	0.2855190476190476	10	0.3700888888888889
F11	1	1	1	1
F2	20	0.2790263157894737	10	0.27244444444444443
F2R	4	0.11516666666666667	2	0.504
F3	1	1	1	1
F7	4	0.38716666666666666	4	0.38716666666666666
F8	3	0.19966666666666666	3	0.19966666666666666
F9	4	0.4211666666666667	2	0.479
FCER2	1	1		
FCGR1A	1	1		
FCGR2A	1	1		
FCGR3A	1	1		
FCGR3B	1	1		
FCGRT	1	1	1	1
FDPS	1	1	1	1
FGA	5	0.1344		
FGB	5	0.1344		
FGF2	7	0.19642857142857142	7	0.19642857142857142
FGF23	3	0.16966666666666666	3	0.16966666666666666
FGFR1	23	0.36836758893280636	3	0.09533333333333334
FGFR2	15	0.43923809523809526		
FGFR3	26	0.3412553846153846	3	0.6786666666666666
FGFR4	13	0.504576923076923		
FGG	5	0.1344		
FKBP1A	4	0.37	4	0.37
FLT1	25	0.34066		
FLT3	16	0.380175	1	1
FLT4	16	0.45461666666666667		
FNTA	2	0.216		
FOLH1	5	0.3417	5	0.3417
FOLR1	3	0.6086666666666667	1	1
FSHR	3	0.645	2	0.85
FYN	7	0.2946666666666667		
GAA	2	0.443	2	0.443
GABBR1	6	0.33826666666666666	6	0.33826666666666666
GABRA1	10	0.29357777777777777	2	0.537
GABRA2	8	0.3831785714285714		
GABRA3	8	0.3831785714285714		
GABRA4	4	0.5775		
GABRA5	8	0.3831785714285714		
GALNS	1	1	1	1
GART	2	0.395		
GAST	2	0.442	1	1
GBA	1	1	1	1
GCG	2	0.664	2	0.664
GCGR	2	0.664	1	1
GCK	1	1	1	1
GDF2	1	1	1	1
GHR	7	0.41409523809523807	5	0.3671
GHRHR	3	0.067	2	0
GHSR	2	0.417	2	0.417
GIPR	1	1		
GLA	1	1	1	1
GLP1R	2	0.479	2	0.479
GLP2R	1	1		
GNRH1	4	0.3838333333333333	4	0.3838333333333333
GNRHR	7	0.22533333333333333	7	0.22533333333333333
GPR55	4	0.535		
GPRC5D	1	1		
GRIA1	4	0.5451666666666667	2	0.665
GRIN1	5	0.4825	3	0.44366666666666665
GUCY1A1	1	1		
GUCY1B1	2	0.205	1	1
GUCY2C	2	0.21	2	0.21
GUSB	2	0.184	1	1
HAO1	1	1	1	1
HAS2	1	1	1	1
HBB	1	1	1	1
HCN1	2	0.446		
HCN2	2	0.446		
HCN3	2	0.446		
HCN4	2	0.446		
HCRTR1	1	1		
HCRTR2	1	1		
HDAC1	3	0.7046666666666667		
HDAC10	3	0.554	3	0.554
HDAC2	3	0.7046666666666667		
HDAC4	1	1		
HDAC6	1	1	1	1
HEXA	1	1		
HGF	2	0.233	2	0.233
HMGCR	13	0.3254102564102564	2	0.906
HMOX1	2	0.945	2	0.945
HPD	2	0.695	1	1
HRH1	19	0.22323391812865498	7	0.5343809523809524
HRH2	8	0.30742857142857144		
HRH3	3	0.6063333333333333	3	0.6063333333333333
HSP90AA1	2	0.501	1	1
HTR1A	10	0.4417333333333333		
HTR1B	2	0.031		
HTR1D	5	0.38439999999999996	1	1
HTR1F	1	1	1	1
HTR2A	11	0.3801818181818182		
HTR2C	10	0.3075777777777778	1	1
HTR3A	9	0.2520277777777778	3	0.84
HTR4	10	0.3897777777777778		
HTR6	4	0.5045		
HTR7	4	0.6193333333333333		
HYAL1	3	0.005	1	1
ICAM1	3	0.191		
IDH1	2	0.394	2	0.394
IDH2	1	1	1	1
IDS	1	1	1	1
IDUA	1	1		
IFNA1	4	0.3753333333333333	4	0.3753333333333333
IFNA2	1	1		
IFNAR1	6	0.3430666666666667	6	0.3430666666666667
IFNAR2	43	0.3111140642303433	35	0.31889411764705883
IFNB1	3	0.716	3	0.716
IFNG	4	0.2811666666666667	4	0.2811666666666667
IFNGR1	4	0.2776666666666667		
IGF1R	2	0.298	2	0.298
IGHE	5	0.5995	2	0.784
IL11RA	1	1	1	1
IL12B	4	0.4255		
IL13	1	1	1	1
IL15RA	1	1	1	1
IL17A	4	0.4251666666666667	4	0.4251666666666667
IL17F	3	0.683		
IL17RA	6	0.5392	6	0.5392
IL1A	4	0.22166666666666668	1	1
IL1B	10	0.23722222222222222	8	0.2334642857142857
IL1R1	2	0.3	2	0.3
IL1RL2	1	1	1	1
IL1RN	1	1		
IL2	1	1	1	1
IL23A	4	0.4255	4	0.4255
IL2RA	18	0.3139281045751634	16	0.3292833333333333
IL31	2	0.453	2	0.453
IL3RA	1	1		
IL4R	6	0.4102	6	0.4102
IL5	5	0.3689		
IL5RA	2	0.547	2	0.547
IL6	4	0.12566666666666665	1	1
IL6R	8	0.21410714285714286	5	0.18660000000000002
IMPDH1	3	0.4116666666666667	2	0.449
INS	1	1	1	1
INSR	3	0.734	3	0.734
IRAK1	2	0.414		
ITGA2B	6	0.4686666666666667		
ITGA4	5	0.4013	1	1
ITGAL	2	0.199		
ITGAV	4	0.3571666666666667		
ITGB1	3	0.3453333333333333		
ITGB2	4	0.3571666666666667		
ITGB3	6	0.4686666666666667		
ITGB7	5	0.4013		
JAK1	14	0.22127472527472528	5	0.3457
JAK2	11	0.24243636363636364		
JAK3	8	0.30714285714285716	1	1
KCNH2	2	0.728		
KCNJ11	2	0.738		
KCNJ8	3	0.5433333333333333		
KCNMA1	1	1		
KCNQ2	1	1		
KCNQ3	1	1		
KDR	25	0.35455	5	0.6908000000000001
KIT	27	0.315985754985755		
KLK3	2	0.379	2	0.379
KLKB1	1	1	1	1
KRAS	1	1	1	1
LCK	2	0.702		
LEPR	1	1		
LHCGR	5	0.5553	4	0.5718333333333333
LIPA	1	1	1	1
LPL	2	0.181	1	1
LYN	9	0.28330555555555553		
MAN2B1	1	1	1	1
MAOA	1	1		
MAOB	2	0.031		
MAP2K1	6	0.39013333333333333		
MAP2K2	6	0.39013333333333333		
MAPK14	1	1		
MASP2	2	0.195	2	0.195
MC1R	1	1	1	1
MC4R	6	0.2268	6	0.2268
MME	2	0.249		
MMP1	3	0.2826666666666667	1	1
MPL	3	0.5663333333333334	3	0.5663333333333334
MS4A1	19	0.4000175438596491	17	0.41246323529411766
MT-ND4	1	1	1	1
MTNR1A	5	0.5871		
MTNR1B	5	0.5871		
MTOR	15	0.3048095238095238	7	0.21014285714285713
MTTP	2	0.844		
NECTIN4	1	1	1	1
NFE2L2	4	0.25783333333333336	4	0.25783333333333336
NFKB1	5	0.6732	1	1
NGF	1	1	1	1
NGFR	1	1	1	1
NPC1L1	3	0.8493333333333333		
NPR1	1	1		
NR1H4	7	0.3545238095238095	2	0.533
NR3C1	43	0.2844285714285714	34	0.27927094474153297
NTRK1	2	0.479		
NTRK2	2	0.479		
NTRK3	2	0.479		
ODC1	1	1		
OPRD1	12	0.2551363636363636		
OPRK1	23	0.24931620553359685	2	0.398
OPRM1	25	0.22479	8	0.2935
OXTR	2	0.182	2	0.182
P2RX3	1	1	1	1
PAH	2	0.491	1	1
PARP1	6	0.6101333333333333		
PARP2	6	0.6101333333333333		
PARP3	4	0.6453333333333333		
PCSK9	4	0.5365	4	0.5365
PDCD1	24	0.487768115942029	24	0.487768115942029
PDE4A	6	0.41533333333333333	2	0.464
PDE4B	6	0.41533333333333333		
PDE4C	6	0.41533333333333333		
PDE4D	6	0.41533333333333333		
PDE5A	4	0.22516666666666668	4	0.22516666666666668
PDGFB	3	0.5656666666666667		
PDGFRA	20	0.35927894736842103	1	1
PDGFRB	12	0.37283333333333335		
PGR	18	0.2525686274509804	12	0.2463939393939394
PIK3CA	3	0.13133333333333333	2	0
PIK3CB	1	1		
PIK3CD	8	0.47775	4	0.35316666666666663
PIK3CG	2	0.6		
PKLR	1	1	1	1
PLAT	6	0.5382	5	0.525
PLAU	19	0.2944269005847953	3	0.343
PLG	4	0.163	4	0.163
PMEL	1	1		
PNLIP	2	0.212		
PNP	1	1	1	1
POLA1	7	0.37647619047619046	1	1
POLB	5	0.4056		
PPARA	7	0.5012380952380953	4	0.8781666666666667
PPARD	1	1		
PPARG	9	0.36033333333333334	3	0.4716666666666667
PPIA	3	0.32666666666666666	2	0.442
PPT1	1	1		
PRKCA	4	0.3481666666666667		
PRKCB	4	0.5723333333333334		
PRKCD	1	1	1	1
PROC	3	0.39		
PTAFR	4	0.7858333333333334		
PTGER2	6	0.17293333333333333	1	1
PTGER3	1	1	1	1
PTGFR	2	0.201	1	1
PTGIR	1	1	1	1
PTGS1	30	0.2726551724137931		
PTGS2	31	0.2604086021505376	9	0.3303333333333333
PTH1R	2	0.198	2	0.198
PTPN1	1	1		
PTPN11	1	1		
PTPN6	1	1		
RAF1	5	0.6233	1	1
RARA	3	0.527	1	1
RARB	4	0.374	1	1
RARG	4	0.36116666666666664	2	0.185
REN	3	0.4573333333333333	1	1
RET	13	0.4716923076923077	3	0.5046666666666667
ROCK1	1	1	1	1
ROCK2	2	0.201	1	1
ROS1	3	0.43533333333333335		
RPE65	2	0.504	2	0.504
RRM1	3	0.33666666666666667		
RRM2	1	1		
RXFP1	1	1	1	1
RXRA	1	1		
RXRB	1	1		
RXRG	1	1		
RYR1	2	0.191	2	0.191
S1PR1	3	0.3433333333333333	1	1
S1PR3	1	1		
S1PR4	1	1		
S1PR5	3	0.3433333333333333		
SCN1A	11	0.31729090909090907	2	0.745
SCN2A	11	0.31729090909090907		
SCN3A	11	0.31729090909090907		
SCN5A	11	0.3003454545454545	6	0.2845333333333333
SCN9A	6	0.325	5	0.4715
SCTR	1	1		
SELP	1	1	1	1
SERPINA1	1	1	1	1
SERPINC1	12	0.3428181818181818	4	0.22383333333333333
SERPING1	1	1	1	1
SI	1	1		
SIGMAR1	1	1		
SLAMF7	1	1	1	1
SLC10A1	1	1	1	1
SLC10A2	2	0	2	0
SLC12A1	3	0.283		
SLC12A2	3	0.283		
SLC18A2	3	0.367	3	0.367
SLC19A1	1	1		
SLC22A12	1	1	1	1
SLC5A1	3	0.387		
SLC5A2	5	0.3971	5	0.3971
SLC6A2	20	0.31146842105263156		
SLC6A3	9	0.28694444444444445	1	1
SLC6A4	23	0.30020553359683794	9	0.18258333333333335
SLC7A11	1	1		
SLC8A1	2	0.752	2	0.752
SLC9A3	2	0.198	2	0.198
SMN1	1	1	1	1
SMN2	1	1	1	1
SMO	2	0.383	2	0.383
SMPD1	2	0.196	1	1
SNCA	1	1		
SOD1	1	1	1	1
SOST	1	1		
SRC	3	0.49333333333333335	1	1
SRD5A1	3	0.224		
SRD5A2	3	0.224	1	1
SSTR2	2	0.83	2	0.83
SYK	1	1	1	1
TACR1	5	0.3049	5	0.3049
TACR3	1	1	1	1
TACSTD2	2	0.564		
TBXA2R	2	0.779		
TBXAS1	4	0.25483333333333336		
TEK	6	0.5103333333333333		
TGFB1	7	0.14685714285714285	6	0.1448
TH	1	1	1	1
TLR3	5	0.6474	5	0.6474
TLR4	1	1	1	1
TLR5	1	1	1	1
TLR9	2	0	1	1
TNF	17	0.3088235294117647	15	0.2986190476190476
TNFRSF17	1	1	1	1
TNFRSF1A	2	0.2	1	1
TNFRSF8	4	0.7566666666666667	4	0.7566666666666667
TNFSF13	1	1		
TNFSF13B	2	0.831		
TNNC1	1	1		
TOP1	6	0.5900666666666666	2	0.751
TOP2A	27	0.4388176638176638	10	0.3465333333333333
TP53	12	0.4875909090909091	1	1
TPH1	1	1	1	1
TPP1	1	1	1	1
TRHR	1	1	1	1
TRPA1	4	0.557	4	0.557
TRPV1	9	0.44363888888888886	5	0.5992
TSHR	2	0.703	1	1
TSLP	1	1	1	1
TTR	2	0.746	2	0.746
TUBB	14	0.5256813186813187	13	0.535448717948718
TYK2	2	0.464	1	1
TYMS	16	0.4228166666666667	7	0.6433809523809524
TYR	1	1		
UGCG	2	0.838	1	1
VDR	7	0.2962857142857143	4	0.194
VEGFA	24	0.3139963768115942	19	0.35746783625730993
VIPR1	2	0	2	0
VWF	4	0.30166666666666664	3	0.15966666666666665
XDH	1	1	1	1
XPO1	2	0.625	2	0.625
YES1	2	0.702		
