area	phase	phasenum	supported	total	pg_mean	pg_l95	pg_u95
immune	Phase III	4	10	90	0.1111111111111111	0.06148319189297712	0.1925778502126103
immune	Launched	5	16	89	0.1797752808988764	0.11379892749560452	0.27225121945345604
digestive	Preclinical	1	35	430	0.08139534883720931	0.059105885885723006	0.11109790012729762
digestive	Phase I	2	12	144	0.08333333333333333	0.04831146161870115	0.1400082360004961
digestive	Phase II	3	21	254	0.08267716535433071	0.05471006893545092	0.12307925567651075
digestive	Phase III	4	6	51	0.11764705882352941	0.05505073677918173	0.2338084431432246
digestive	Launched	5	6	42	0.14285714285714285	0.06715967015962646	0.2784108947444477
neurology	Preclinical	1	64	967	0.06618407445708377	0.05216868056069213	0.08363254385430692
neurology	Phase I	2	19	301	0.06312292358803986	0.04077969162225698	0.09647676615274997
neurology	Phase II	3	30	381	0.07874015748031496	0.05570964617653286	0.11018063762066899
neurology	Phase III	4	11	126	0.0873015873015873	0.04944684363252966	0.14957632705118964
neurology	Launched	5	15	99	0.15151515151515152	0.09402325244184673	0.2350411074842148
psychiatry	Preclinical	1	26	511	0.050880626223091974	0.03495591532403891	0.07350749193264484
psychiatry	Phase I	2	9	145	0.06206896551724138	0.032995082413584675	0.11374802930911099
psychiatry	Phase II	3	15	211	0.07109004739336493	0.04355158821290181	0.11396669995389973
psychiatry	Phase III	4	7	47	0.14893617021276595	0.07406719996431721	0.2768562242359354
psychiatry	Launched	5	3	31	0.0967741935483871	0.03346464416319741	0.2489993844339283
musculoskeletal	Preclinical	1	20	348	0.05747126436781609	0.037508460165798264	0.08709726130785177
musculoskeletal	Phase I	2	12	109	0.11009174311926606	0.06410803942110752	0.1826227199262561
musculoskeletal	Phase II	3	10	150	0.06666666666666667	0.03661185666960744	0.11836235511605894
musculoskeletal	Phase III	4	3	45	0.06666666666666667	0.022932032599251004	0.1785660196359189
musculoskeletal	Launched	5	7	49	0.14285714285714285	0.07096423720406761	0.26667706223914406
dermatology	Preclinical	1	32	476	0.06722689075630252	0.048019533971716606	0.0933635365687657
dermatology	Phase I	2	15	195	0.07692307692307693	0.04716791534798526	0.12302525775285564
dermatology	Phase II	3	23	370	0.062162162162162166	0.04177566873601133	0.09154678024522814
dermatology	Phase III	4	6	91	0.06593406593406594	0.030566286471615484	0.1364646619941157
dermatology	Launched	5	11	90	0.12222222222222222	0.06963615965482384	0.2057374241048897
ophthalmology	Preclinical	1	22	361	0.060941828254847646	0.04058611854769815	0.09054332867942307
ophthalmology	Phase I	2	4	82	0.04878048780487805	0.019131065567745797	0.11881461922575937
ophthalmology	Phase II	3	13	156	0.08333333333333333	0.04934565085423916	0.13734845867693993
ophthalmology	Phase III	4	7	45	0.15555555555555556	0.07745423484758268	0.28783908872396263
ophthalmology	Launched	5	5	39	0.1282051282051282	0.05602817536971395	0.2670574337974545
other	Preclinical	1	14	187	0.0748663101604278	0.045117230608618566	0.12173047123488336
other	Phase I	2	3	47	0.06382978723404255	0.02194538520543326	0.17162614183124436
other	Phase II	3	3	87	0.034482758620689655	0.011795820527505977	0.09654082386874396
other	Phase III	4	3	25	0.12	0.04166817150440361	0.29955793920927326
other	Launched	5	1	29	0.034482758620689655	0.006113214292762661	0.17175521879320282
