gene	indication_mesh_id	indication_mesh_term	max_phase_number	max_phase	drug	genetic_support
IL1R2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
IL2RA	D003920	Diabetes Mellitus	1	Preclinical		none
IL4R	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
IL9R	D003920	Diabetes Mellitus	1	Preclinical		none
INSR	D003924	Diabetes Mellitus, Type 2	5	Launched	insulin	omim, established gwas
IRS2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		novel gwas
KCNJ11	D003924	Diabetes Mellitus, Type 2	5	Launched	sulfonylureas	omim, established gwas
KHK	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
KLB	D003924	Diabetes Mellitus, Type 2	2	Phase I		novel gwas
KLKB1	D003920	Diabetes Mellitus	1	Preclinical		none
KMO	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
LANCL2	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
LEP	D003920	Diabetes Mellitus	1	Preclinical		none
LEPR	D003924	Diabetes Mellitus, Type 2	3	Phase II		novel gwas
LGALS3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
LGALS9	D003920	Diabetes Mellitus	1	Preclinical		none
LIPE	D003920	Diabetes Mellitus	1	Preclinical		none
LYN	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
MANF	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MAP2K7	D003920	Diabetes Mellitus	1	Preclinical		novel gwas
MAP3K5	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MAP4K4	D003920	Diabetes Mellitus	1	Preclinical		none
MAPK14	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MAPK3	D003924	Diabetes Mellitus, Type 2	3	Phase II		novel gwas
MAPK8	D003920	Diabetes Mellitus	1	Preclinical		none
MAPK9	D003920	Diabetes Mellitus	1	Preclinical		none
MAS1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MBOAT4	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
MC1R	D003920	Diabetes Mellitus	1	Preclinical		none
MC4R	D003924	Diabetes Mellitus, Type 2	2	Phase I		novel gwas
MCHR1	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
METAP2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
MIF	D003920	Diabetes Mellitus	1	Preclinical		none
MIOX	D003920	Diabetes Mellitus	1	Preclinical		none
MIR107	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MIRLET7A1	D003920	Diabetes Mellitus	1	Preclinical		none
MKNK1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MLYCD	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MOGS	D003920	Diabetes Mellitus	1	Preclinical		none
MRGPRD	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
MSTN	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
MTNR1B	D003924	Diabetes Mellitus, Type 2	1	Preclinical		established gwas
MTOR	D003920	Diabetes Mellitus	1	Preclinical		novel gwas
MTTP	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
NAIP	D003920	Diabetes Mellitus	1	Preclinical		none
NCOR2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		novel gwas
NLRP3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
NMUR1	D003920	Diabetes Mellitus	1	Preclinical		none
NNMT	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
NPY	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
NPY1R	D003920	Diabetes Mellitus	1	Preclinical		none
NPY2R	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
NPY4R	D003920	Diabetes Mellitus	1	Preclinical		none
NR1H2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
NR1H3	D003920	Diabetes Mellitus	1	Preclinical		none
NR1H4	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
NR3C1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
NRIP1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
NTSR1	D003920	Diabetes Mellitus	1	Preclinical		none
NUAK1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
OLR1	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
P2RX7	D003920	Diabetes Mellitus	1	Preclinical		none
PARK7	D003920	Diabetes Mellitus	1	Preclinical		none
PARL	D003920	Diabetes Mellitus	1	Preclinical		none
PARP1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PAX4	D003924	Diabetes Mellitus, Type 2	1	Preclinical		omim, novel gwas
PBK	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PCK1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
PCSK9	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
PDE10A	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PDE4C	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
PDE4D	D003920	Diabetes Mellitus	2	Phase I		none
PDE8B	D003920	Diabetes Mellitus	1	Preclinical		none
PDK1	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
PDX1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PGP	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PHB	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PIP4K2B	D003920	Diabetes Mellitus	1	Preclinical		none
PLAT	D003920	Diabetes Mellitus	1	Preclinical		none
PNLIP	D003924	Diabetes Mellitus, Type 2	5	Launched	orlistat	none
PNP	D003920	Diabetes Mellitus	1	Preclinical		none
PPARA	D003924	Diabetes Mellitus, Type 2	3	Phase II	lobeglitazone	none
PPARD	D003924	Diabetes Mellitus, Type 2	3	Phase II	chiglitazar	none
PPARG	D003924	Diabetes Mellitus, Type 2	5	Launched	glitazones	established gwas
PPARGC1B	D003920	Diabetes Mellitus	1	Preclinical		none
PPP2CA	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PRKAA1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PRKAG3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PRKCA	D003920	Diabetes Mellitus	1	Preclinical		none
PRKCB	D003920	Diabetes Mellitus	1	Preclinical		none
PRKCE	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
PTEN	D003924	Diabetes Mellitus, Type 2	1	Preclinical		established gwas
PTGER3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
PTGS2	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
PTPN1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
PTPRC	D003920	Diabetes Mellitus	1	Preclinical		none
PTPRF	D003920	Diabetes Mellitus	1	Preclinical		none
PYGL	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
PYY	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
RAMP1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
RAPGEF4	D003920	Diabetes Mellitus	1	Preclinical		none
RBP4	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
REG3A	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
ROCK2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
RXRA	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
RXRB	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
RXRG	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
RYR1	D003920	Diabetes Mellitus	1	Preclinical		none
SCD	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
SELE	D003920	Diabetes Mellitus	2	Phase I		none
SELENOS	D003920	Diabetes Mellitus	1	Preclinical		none
SERPINA1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
SERPINE1	D003920	Diabetes Mellitus	2	Phase I		none
SGIP1	D003920	Diabetes Mellitus	1	Preclinical		novel gwas
SHC1	D003920	Diabetes Mellitus	2	Phase I		none
SIGMAR1	D003920	Diabetes Mellitus	1	Preclinical		none
SIRT1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
SIRT2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SIRT6	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SLC10A1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SLC10A2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SLC13A5	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SLC18A2	D003920	Diabetes Mellitus	1	Preclinical		none
SLC22A12	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
SLC2A4	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
SLC30A8	D003924	Diabetes Mellitus, Type 2	1	Preclinical		established gwas
SLC5A2	D003924	Diabetes Mellitus, Type 2	5	Launched	canagliflozin	none
SLC6A2	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SLC6A3	D003920	Diabetes Mellitus	1	Preclinical		none
SLC7A5	D003920	Diabetes Mellitus	1	Preclinical		none
SLC9A1	D003920	Diabetes Mellitus	1	Preclinical		none
SOCS3	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SORT1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
SREBF1	D003920	Diabetes Mellitus	2	Phase I		novel gwas
SSTR2	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
TACR1	D003920	Diabetes Mellitus	2	Phase I		none
TBK1	D003920	Diabetes Mellitus	1	Preclinical		none
TBXAS1	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
THRB	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
TLR2	D003920	Diabetes Mellitus	1	Preclinical		none
TMPRSS15	D003920	Diabetes Mellitus	3	Phase II		none
TMSB4X	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
TNF	D003924	Diabetes Mellitus, Type 2	3	Phase II		none
TP53	D003920	Diabetes Mellitus	3	Phase II		none
TRIB3	D003920	Diabetes Mellitus	1	Preclinical		none
TRPV1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
TRPV4	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
TTR	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
TULP1	D003920	Diabetes Mellitus	1	Preclinical		none
UCN2	D003920	Diabetes Mellitus	2	Phase I		none
UGCG	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
VCAM1	D003924	Diabetes Mellitus, Type 2	4	Phase III		none
VDAC1	D003924	Diabetes Mellitus, Type 2	1	Preclinical		none
VEGFA	D003924	Diabetes Mellitus, Type 2	2	Phase I		novel gwas
VEGFB	D003924	Diabetes Mellitus, Type 2	2	Phase I		none
VIPR2	D003920	Diabetes Mellitus	1	Preclinical		none
