area	gene	indication_mesh_id	indication_mesh_term	gene_count
musculoskeletal	IL2RA	D001172	Arthritis, Rheumatoid	126
musculoskeletal	IL2RA	D012859	Sjogren's Syndrome	126
musculoskeletal	IL6R	D001172	Arthritis, Rheumatoid	126
musculoskeletal	IL6R	D013167	Spondylitis, Ankylosing	29
musculoskeletal	PRKCB	D001172	Arthritis, Rheumatoid	126
musculoskeletal	SLC22A12	D006073	Gout	472
musculoskeletal	SOST	D001851	Bone Diseases, Metabolic	70
musculoskeletal	SOST	D010024	Osteoporosis	70
musculoskeletal	TGFB1	D010003	Osteoarthritis	81
musculoskeletal	TNFRSF1A	D013167	Spondylitis, Ankylosing	29
musculoskeletal	TNFRSF1A	D015535	Arthritis, Psoriatic	29
musculoskeletal	TYK2	D015535	Arthritis, Psoriatic	117
psychiatry	ALDH2	D000437	Alcoholism	7
psychiatry	ALDH2	D019973	Alcohol-Related Disorders	7
psychiatry	APOE	D000544	Alzheimer Disease	90
psychiatry	APP	D000544	Alzheimer Disease	90
psychiatry	APP	D003704	Dementia	90
psychiatry	C9orf72	D057180	Frontotemporal Dementia	23
psychiatry	CACNA2D1	D001008	Anxiety Disorders	235
psychiatry	CD33	D000544	Alzheimer Disease	90
psychiatry	CYP2A6	D014029	Tobacco Use Disorder	47
psychiatry	DRD2	D001714	Bipolar Disorder	100
psychiatry	DRD2	D012559	Schizophrenia	236
psychiatry	GRIA1	D012559	Schizophrenia	236
psychiatry	GRIA1	D012893	Sleep Wake Disorders	175
psychiatry	GRIN2B	D000544	Alzheimer Disease	90
psychiatry	GRM5	D001008	Anxiety Disorders	126
psychiatry	GRM5	D003865	Depressive Disorder, Major	135
psychiatry	GRM5	D009771	Obsessive-Compulsive Disorder	126
psychiatry	GRN	D057180	Frontotemporal Dementia	1
psychiatry	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	197
psychiatry	HCRTR2	D009290	Narcolepsy	197
psychiatry	MAPT	D000544	Alzheimer Disease	381
psychiatry	OPRM1	D009293	Opioid-Related Disorders	5
psychiatry	PDE10A	D001714	Bipolar Disorder	100
psychiatry	PTPRS	D000544	Alzheimer Disease	381
psychiatry	SCN2A	D001714	Bipolar Disorder	100
neurology	APOE	D000544	Alzheimer Disease	90
neurology	APP	D000544	Alzheimer Disease	90
neurology	APP	D003704	Dementia	90
neurology	C9orf72	D000690	Amyotrophic Lateral Sclerosis	23
neurology	C9orf72	D057180	Frontotemporal Dementia	23
neurology	CBS	D006712	Homocystinuria	5
neurology	CD33	D000544	Alzheimer Disease	90
neurology	CD6	D009103	Multiple Sclerosis	154
neurology	GRIA1	D012893	Sleep Wake Disorders	175
neurology	GRIN2B	D000544	Alzheimer Disease	90
neurology	GRN	D057180	Frontotemporal Dementia	1
neurology	HCRTR2	D007319	Sleep Initiation and Maintenance Disorders	197
neurology	HCRTR2	D009290	Narcolepsy	197
neurology	IL7R	D009103	Multiple Sclerosis	154
neurology	LRRK2	D010300	Parkinson Disease	83
neurology	MAPK14	D003929	Diabetic Neuropathies	1
neurology	MAPT	D000544	Alzheimer Disease	381
neurology	MAPT	D013494	Supranuclear Palsy, Progressive	7
neurology	NOS3	D020521	Stroke	50
neurology	PDE3A	D020521	Stroke	50
neurology	PTPRS	D000544	Alzheimer Disease	381
neurology	SCN1A	D004828	Epilepsies, Partial	3
neurology	SCN1A	D004829	Epilepsy, Generalized	10
neurology	SNCA	D010300	Parkinson Disease	83
neurology	SNCA	D019578	Multiple System Atrophy	83
neurology	TNFRSF1A	D009103	Multiple Sclerosis	154
neurology	TRPM8	D008881	Migraine Disorders	39
digestive	CASP8	D008107	Liver Diseases	672
digestive	CCL20	D003093	Colitis, Ulcerative	181
digestive	CD40	D003093	Colitis, Ulcerative	178
digestive	CD40	D003424	Crohn Disease	164
digestive	HSD17B13	D065626	Non-alcoholic Fatty Liver Disease	39
digestive	IFNG	D003424	Crohn Disease	178
digestive	IL13	D057765	Eosinophilic Esophagitis	695
digestive	IL23R	D003424	Crohn Disease	164
digestive	IL23R	D015212	Inflammatory Bowel Diseases	178
digestive	IL2RA	D003093	Colitis, Ulcerative	178
digestive	IL4R	D057765	Eosinophilic Esophagitis	695
digestive	IL5RA	D057765	Eosinophilic Esophagitis	695
digestive	ITGA4	D003093	Colitis, Ulcerative	178
digestive	ITGA4	D003424	Crohn Disease	164
digestive	MAP3K8	D003093	Colitis, Ulcerative	178
digestive	MAP3K8	D015212	Inflammatory Bowel Diseases	178
digestive	MMP9	D003093	Colitis, Ulcerative	164
digestive	MMP9	D003424	Crohn Disease	164
digestive	NFKB1	D003093	Colitis, Ulcerative	181
digestive	NFKB1	D003424	Crohn Disease	181
digestive	NR1H4	D008107	Liver Diseases	672
digestive	NR3C1	D057765	Eosinophilic Esophagitis	695
digestive	PNPLA3	D065626	Non-alcoholic Fatty Liver Disease	39
digestive	PTGER4	D003093	Colitis, Ulcerative	178
digestive	SMAD7	D003093	Colitis, Ulcerative	181
digestive	SMAD7	D003424	Crohn Disease	178
digestive	STAT3	D003093	Colitis, Ulcerative	181
digestive	TNFRSF1A	D008103	Liver Cirrhosis	16
digestive	TNFSF15	D003093	Colitis, Ulcerative	181
digestive	TNFSF15	D003424	Crohn Disease	164
immune	ADORA1	D001249	Asthma	1103
immune	ADRB2	D001249	Asthma	1103
immune	C3	D008181	Lupus Nephritis	141
immune	CD200R1	D003876	Dermatitis, Atopic	140
immune	CD28	D001172	Arthritis, Rheumatoid	126
immune	CD28	D001327	Autoimmune Diseases	109
immune	CD28	D012859	Sjogren's Syndrome	126
immune	CD40	D001172	Arthritis, Rheumatoid	126
immune	CD40	D008180	Lupus Erythematosus, Systemic	141
immune	CD40	D008181	Lupus Nephritis	141
immune	CD40	D012859	Sjogren's Syndrome	126
immune	CD6	D009103	Multiple Sclerosis	154
immune	CHRM3	D001249	Asthma	1103
immune	CTLA4	D001172	Arthritis, Rheumatoid	126
immune	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	917
immune	GATA3	D001249	Asthma	1103
immune	GATA3	D003876	Dermatitis, Atopic	69
immune	HLA-DRB1	D001172	Arthritis, Rheumatoid	126
immune	ICOSLG	D012859	Sjogren's Syndrome	126
immune	IL12B	D001327	Autoimmune Diseases	109
immune	IL13	D001249	Asthma	1103
immune	IL13	D003876	Dermatitis, Atopic	69
immune	IL13	D057765	Eosinophilic Esophagitis	695
immune	IL2RA	D001172	Arthritis, Rheumatoid	126
immune	IL2RA	D001327	Autoimmune Diseases	109
immune	IL2RA	D012859	Sjogren's Syndrome	126
immune	IL33	D001249	Asthma	1103
immune	IL33	D001327	Autoimmune Diseases	109
immune	IL33	D003876	Dermatitis, Atopic	140
immune	IL33	D065631	Rhinitis, Allergic	44
immune	IL4R	D001249	Asthma	1103
immune	IL4R	D003876	Dermatitis, Atopic	140
immune	IL4R	D006967	Hypersensitivity	110
immune	IL4R	D057765	Eosinophilic Esophagitis	695
immune	IL4R	D065631	Rhinitis, Allergic	1103
immune	IL5RA	D057765	Eosinophilic Esophagitis	695
immune	IL6	D001249	Asthma	1103
immune	IL6R	D001172	Arthritis, Rheumatoid	126
immune	IL7R	D001327	Autoimmune Diseases	109
immune	IL7R	D003922	Diabetes Mellitus, Type 1	135
immune	IL7R	D009103	Multiple Sclerosis	154
immune	INPP5D	D003876	Dermatitis, Atopic	69
immune	INS	D003922	Diabetes Mellitus, Type 1	135
immune	MMP12	D001249	Asthma	128
immune	NFKB1	D001249	Asthma	44
immune	NFKB1	D003876	Dermatitis, Atopic	140
immune	NFKB1	D006967	Hypersensitivity	110
immune	NFKB1	D008181	Lupus Nephritis	5
immune	NR3C1	D001249	Asthma	1103
immune	NR3C1	D057765	Eosinophilic Esophagitis	695
immune	NR3C1	D065631	Rhinitis, Allergic	1103
immune	PRKCB	D001172	Arthritis, Rheumatoid	126
immune	PRKCB	D008180	Lupus Erythematosus, Systemic	141
immune	PTGER4	D006967	Hypersensitivity	110
immune	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	917
immune	TNFRSF1A	D009103	Multiple Sclerosis	154
immune	TNFSF15	D001249	Asthma	1103
immune	TNFSF4	D001249	Asthma	1103
immune	TNFSF4	D003876	Dermatitis, Atopic	69
immune	TNFSF4	D065631	Rhinitis, Allergic	1103
immune	TSLP	D001249	Asthma	1103
immune	TSLP	D003876	Dermatitis, Atopic	140
immune	TYK2	D001327	Autoimmune Diseases	109
signs/symptoms	AVPR1A	D018805	Sepsis	410
signs/symptoms	CALCR	D009765	Obesity	1499
signs/symptoms	CRP	D007249	Inflammation	410
signs/symptoms	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	917
signs/symptoms	FGFR4	D009765	Obesity	1499
signs/symptoms	GLP1R	D009765	Obesity	1499
signs/symptoms	GRIA1	D012893	Sleep Wake Disorders	175
signs/symptoms	IL18	D007249	Inflammation	410
signs/symptoms	IL1RN	D007249	Inflammation	410
signs/symptoms	IL6	D007249	Inflammation	410
signs/symptoms	INSR	D009765	Obesity	1499
signs/symptoms	LEPR	D009765	Obesity	1499
signs/symptoms	MAPT	D013494	Supranuclear Palsy, Progressive	7
signs/symptoms	MC4R	D009765	Obesity	1499
signs/symptoms	NLRP3	D007249	Inflammation	410
signs/symptoms	NPY	D009765	Obesity	1499
signs/symptoms	NR1H4	D007249	Inflammation	410
signs/symptoms	NR3C1	D009765	Obesity	1499
signs/symptoms	OPRM1	D009765	Obesity	1499
signs/symptoms	PLG	D009203	Myocardial Infarction	97
signs/symptoms	PPARA	D009765	Obesity	1499
signs/symptoms	SCN5A	D001145	Arrhythmias, Cardiac	211
signs/symptoms	SCN5A	D001281	Atrial Fibrillation	144
signs/symptoms	SCN5A	D017180	Tachycardia, Ventricular	109
signs/symptoms	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	917
signs/symptoms	TNFRSF1A	D008103	Liver Cirrhosis	16
signs/symptoms	TNFRSF1A	D018805	Sepsis	410
signs/symptoms	TSLP	D009298	Nasal Polyps	17
endocrine	CALCR	D003920	Diabetes Mellitus	539
endocrine	CALCR	D003924	Diabetes Mellitus, Type 2	612
endocrine	ESR1	D004700	Endocrine System Diseases	854
endocrine	FBP1	D003924	Diabetes Mellitus, Type 2	612
endocrine	FGFR4	D003924	Diabetes Mellitus, Type 2	612
endocrine	GCK	D003920	Diabetes Mellitus	539
endocrine	GCK	D003924	Diabetes Mellitus, Type 2	612
endocrine	GIPR	D003924	Diabetes Mellitus, Type 2	612
endocrine	GLP1R	D003920	Diabetes Mellitus	539
endocrine	GLP1R	D003924	Diabetes Mellitus, Type 2	612
endocrine	IL7R	D003922	Diabetes Mellitus, Type 1	135
endocrine	INS	D003922	Diabetes Mellitus, Type 1	135
endocrine	INSR	D003924	Diabetes Mellitus, Type 2	612
endocrine	KCNJ11	D003924	Diabetes Mellitus, Type 2	612
endocrine	MAPK14	D003929	Diabetic Neuropathies	1
endocrine	MAPK14	D017719	Diabetic Foot	1
endocrine	MC4R	D003920	Diabetes Mellitus	539
endocrine	METAP2	D003924	Diabetes Mellitus, Type 2	612
endocrine	PPARG	D003924	Diabetes Mellitus, Type 2	612
endocrine	TSHR	D006980	Hyperthyroidism	11
endocrine	VEGFA	D003924	Diabetes Mellitus, Type 2	612
infection	AVPR1A	D018805	Sepsis	410
infection	CHRM3	D029481	Bronchitis, Chronic	128
infection	IFNAR2	D000086382	COVID-19	13
infection	IL33	D012852	Sinusitis	8
infection	TNFRSF1A	D018805	Sepsis	410
infection	TSLP	D012852	Sinusitis	8
congenital	ALPL	D007014	Hypophosphatasia	477
congenital	APOA1	D006938	Hyperlipoproteinemia Type II	509
congenital	APOA1	D052456	Hypoalphalipoproteinemias	509
congenital	APOB	D006938	Hyperlipoproteinemia Type II	4
congenital	BCL11A	D000755	Anemia, Sickle Cell	2
congenital	BCL11A	D013789	Thalassemia	2
congenital	CBS	D006712	Homocystinuria	5
congenital	CD200R1	D003876	Dermatitis, Atopic	140
congenital	CETP	D006938	Hyperlipoproteinemia Type II	360
congenital	F11	D005173	Factor XI Deficiency	2
congenital	F7	D005168	Factor VII Deficiency	1
congenital	F7	D006467	Hemophilia A	1
congenital	GATA3	D003876	Dermatitis, Atopic	69
congenital	IL13	D003876	Dermatitis, Atopic	69
congenital	IL33	D003876	Dermatitis, Atopic	140
congenital	IL4R	D003876	Dermatitis, Atopic	140
congenital	INPP5D	D003876	Dermatitis, Atopic	69
congenital	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	574
congenital	MC1R	D000417	Albinism	11
congenital	NFKB1	D003876	Dermatitis, Atopic	140
congenital	PCSK9	D006938	Hyperlipoproteinemia Type II	360
congenital	SLC22A12	D006073	Gout	472
congenital	SLC40A1	D006432	Hemochromatosis	39
congenital	THRB	D006938	Hyperlipoproteinemia Type II	488
congenital	TNFSF4	D003876	Dermatitis, Atopic	69
congenital	TSLP	D003876	Dermatitis, Atopic	140
congenital	VWF	D006467	Hemophilia A	10
congenital	VWF	D014842	von Willebrand Diseases	14
oncology	ALCAM	D001943	Breast Neoplasms	194
oncology	AR	D011471	Prostatic Neoplasms	209
oncology	BCL2	D008224	Lymphoma, Follicular	5
oncology	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	30
oncology	BCL2	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	30
oncology	CDKN1A	D015179	Colorectal Neoplasms	89
oncology	CYP19A1	D001943	Breast Neoplasms	194
oncology	EDNRB	D005770	Gastrointestinal Neoplasms	89
oncology	EGFR	D005909	Glioblastoma	10
oncology	EGFR	D008527	Medulloblastoma	21
oncology	EPAS1	D007680	Kidney Neoplasms	13
oncology	ESR1	D001943	Breast Neoplasms	194
oncology	ESR1	D009369	Neoplasms	76
oncology	FGFR2	D009369	Neoplasms	76
oncology	FLT4	D006258	Head and Neck Neoplasms	32
oncology	FSHR	D010051	Ovarian Neoplasms	21
oncology	GNRH1	D007889	Leiomyoma	54
oncology	IL13	D006689	Hodgkin Disease	18
oncology	JAK2	D011087	Polycythemia Vera	11
oncology	KLK2	D011471	Prostatic Neoplasms	209
oncology	KLK3	D011471	Prostatic Neoplasms	209
oncology	LHCGR	D011085	Polycystic Ovary Syndrome	21
oncology	MC1R	D014983	Xeroderma Pigmentosum	58
oncology	MC1R	D018307	Neoplasms, Squamous Cell	32
oncology	MSLN	D009369	Neoplasms	76
oncology	MYC	D001943	Breast Neoplasms	194
oncology	MYC	D008223	Lymphoma	2
oncology	MYC	D011471	Prostatic Neoplasms	209
oncology	NOTCH2	D001943	Breast Neoplasms	194
oncology	PARP1	D008545	Melanoma	51
oncology	TYR	D008545	Melanoma	51
oncology	VEGFA	D011471	Prostatic Neoplasms	209
oncology	WT1	D010051	Ovarian Neoplasms	13
cardiovascular	ACE	D006973	Hypertension	1365
cardiovascular	ADRB1	D006973	Hypertension	1365
cardiovascular	AGT	D006973	Hypertension	1365
cardiovascular	CETP	D050197	Atherosclerosis	221
cardiovascular	CYP11B2	D006973	Hypertension	1365
cardiovascular	F11	D013927	Thrombosis	8
cardiovascular	F11	D020246	Venous Thrombosis	11
cardiovascular	F2	D013927	Thrombosis	11
cardiovascular	F2	D020246	Venous Thrombosis	11
cardiovascular	FCGR2A	D014657	Vasculitis	9
cardiovascular	GP6	D013927	Thrombosis	8
cardiovascular	LPA	D002318	Cardiovascular Diseases	260
cardiovascular	LPA	D050197	Atherosclerosis	24
cardiovascular	MAPK14	D017719	Diabetic Foot	1
cardiovascular	MME	D006973	Hypertension	1365
cardiovascular	NOS3	D020521	Stroke	50
cardiovascular	NPR1	D006973	Hypertension	1365
cardiovascular	PCSK9	D050197	Atherosclerosis	52
cardiovascular	PDE3A	D020521	Stroke	50
cardiovascular	PDE3A	D050197	Atherosclerosis	221
cardiovascular	PDE5A	D006973	Hypertension	1365
cardiovascular	PLG	D009203	Myocardial Infarction	97
cardiovascular	REN	D006973	Hypertension	1365
cardiovascular	SCN5A	D001145	Arrhythmias, Cardiac	211
cardiovascular	SCN5A	D001281	Atrial Fibrillation	144
cardiovascular	SCN5A	D017180	Tachycardia, Ventricular	109
cardiovascular	VWF	D013927	Thrombosis	11
cardiovascular	VWF	D020246	Venous Thrombosis	11
hematology	ACVRL1	D000740	Anemia	1799
hematology	BCL11A	D000755	Anemia, Sickle Cell	2
hematology	BCL11A	D013789	Thalassemia	2
hematology	BCL2	D000740	Anemia	1799
hematology	BMP6	D000740	Anemia	1799
hematology	CSF3	D009503	Neutropenia	646
hematology	CSF3R	D007970	Leukopenia	990
hematology	CSF3R	D009503	Neutropenia	646
hematology	DYRK3	D000740	Anemia	1799
hematology	EGLN2	D000740	Anemia	1799
hematology	EPOR	D000740	Anemia	1799
hematology	F10	D001778	Blood Coagulation Disorders	630
hematology	F11	D001778	Blood Coagulation Disorders	630
hematology	F11	D005173	Factor XI Deficiency	2
hematology	F7	D005168	Factor VII Deficiency	1
hematology	F7	D006467	Hemophilia A	1
hematology	FCGRT	D013921	Thrombocytopenia	917
hematology	FCGRT	D016553	Purpura, Thrombocytopenic, Idiopathic	917
hematology	IL13	D057765	Eosinophilic Esophagitis	695
hematology	IL4R	D057765	Eosinophilic Esophagitis	695
hematology	IL5RA	D017681	Hypereosinophilic Syndrome	695
hematology	IL5RA	D057765	Eosinophilic Esophagitis	695
hematology	JAK2	D009196	Myeloproliferative Disorders	11
hematology	JAK2	D013922	Thrombocytosis	11
hematology	JAK2	D055728	Primary Myelofibrosis	11
hematology	MPL	D013921	Thrombocytopenia	1516
hematology	NR3C1	D057765	Eosinophilic Esophagitis	695
hematology	SLC40A1	D000740	Anemia	1799
hematology	SYK	D016553	Purpura, Thrombocytopenic, Idiopathic	917
hematology	THPO	D013921	Thrombocytopenia	1516
hematology	THPO	D013922	Thrombocytosis	1516
hematology	VWF	D006467	Hemophilia A	10
hematology	VWF	D014842	von Willebrand Diseases	14
metabolic	ABCA1	D006949	Hyperlipidemias	360
metabolic	ALPL	D007014	Hypophosphatasia	477
metabolic	APOA1	D006937	Hypercholesterolemia	509
metabolic	APOA1	D006938	Hyperlipoproteinemia Type II	509
metabolic	APOA1	D006949	Hyperlipidemias	509
metabolic	APOA1	D052456	Hypoalphalipoproteinemias	509
metabolic	APOB	D006937	Hypercholesterolemia	360
metabolic	APOB	D006938	Hyperlipoproteinemia Type II	4
metabolic	APOB	D015228	Hypertriglyceridemia	488
metabolic	APOC3	D006937	Hypercholesterolemia	360
metabolic	APOC3	D006949	Hyperlipidemias	360
metabolic	APOC3	D015228	Hypertriglyceridemia	488
metabolic	APOC3	D050171	Dyslipidemias	360
metabolic	C9orf72	D000690	Amyotrophic Lateral Sclerosis	23
metabolic	C9orf72	D057180	Frontotemporal Dementia	23
metabolic	CALCR	D003920	Diabetes Mellitus	539
metabolic	CALCR	D003924	Diabetes Mellitus, Type 2	612
metabolic	CALCR	D009765	Obesity	1499
metabolic	CASR	D006934	Hypercalcemia	275
metabolic	CASR	D006996	Hypocalcemia	275
metabolic	CBS	D006712	Homocystinuria	5
metabolic	CETP	D006937	Hypercholesterolemia	360
metabolic	CETP	D006938	Hyperlipoproteinemia Type II	360
metabolic	CETP	D006949	Hyperlipidemias	360
metabolic	DGAT2	D006949	Hyperlipidemias	360
metabolic	ENPP1	D017674	Hypophosphatemia	9
metabolic	ESR1	D010024	Osteoporosis	70
metabolic	FBP1	D003924	Diabetes Mellitus, Type 2	612
metabolic	FDFT1	D006949	Hyperlipidemias	488
metabolic	FGF21	D015228	Hypertriglyceridemia	488
metabolic	FGFR4	D003924	Diabetes Mellitus, Type 2	612
metabolic	FGFR4	D009765	Obesity	1499
metabolic	GCK	D003920	Diabetes Mellitus	539
metabolic	GCK	D003924	Diabetes Mellitus, Type 2	612
metabolic	GIPR	D003924	Diabetes Mellitus, Type 2	612
metabolic	GLP1R	D003920	Diabetes Mellitus	539
metabolic	GLP1R	D003924	Diabetes Mellitus, Type 2	612
metabolic	GLP1R	D009765	Obesity	1499
metabolic	GRN	D057180	Frontotemporal Dementia	1
metabolic	HMGCR	D006937	Hypercholesterolemia	360
metabolic	HMGCR	D006949	Hyperlipidemias	360
metabolic	IGF1	D024821	Metabolic Syndrome	28
metabolic	IL7R	D003922	Diabetes Mellitus, Type 1	135
metabolic	INS	D003922	Diabetes Mellitus, Type 1	135
metabolic	INSR	D003924	Diabetes Mellitus, Type 2	612
metabolic	INSR	D009765	Obesity	1499
metabolic	KCNJ11	D003924	Diabetes Mellitus, Type 2	612
metabolic	LCAT	D007863	Lecithin Cholesterol Acyltransferase Deficiency	574
metabolic	LEPR	D009765	Obesity	1499
metabolic	LPA	D006949	Hyperlipidemias	360
metabolic	MC1R	D000417	Albinism	11
metabolic	MC4R	D003920	Diabetes Mellitus	539
metabolic	MC4R	D009765	Obesity	1499
metabolic	METAP2	D003924	Diabetes Mellitus, Type 2	612
metabolic	MTTP	D006949	Hyperlipidemias	488
metabolic	NPC1L1	D006949	Hyperlipidemias	360
metabolic	NPY	D009765	Obesity	1499
metabolic	NR1H4	D006937	Hypercholesterolemia	360
metabolic	NR1H4	D006949	Hyperlipidemias	360
metabolic	NR1H4	D015228	Hypertriglyceridemia	360
metabolic	NR3C1	D009765	Obesity	1499
metabolic	OPRM1	D009765	Obesity	1499
metabolic	PCSK9	D006937	Hypercholesterolemia	360
metabolic	PCSK9	D006938	Hyperlipoproteinemia Type II	360
metabolic	PCSK9	D006949	Hyperlipidemias	360
metabolic	PPARA	D006937	Hypercholesterolemia	488
metabolic	PPARA	D006949	Hyperlipidemias	488
metabolic	PPARA	D009765	Obesity	1499
metabolic	PPARA	D015228	Hypertriglyceridemia	488
metabolic	PPARA	D050171	Dyslipidemias	488
metabolic	PPARG	D003924	Diabetes Mellitus, Type 2	612
metabolic	SLC10A2	D006937	Hypercholesterolemia	509
metabolic	SLC10A2	D006949	Hyperlipidemias	509
metabolic	SLC22A12	D006073	Gout	472
metabolic	SLC40A1	D006432	Hemochromatosis	39
metabolic	SOST	D001851	Bone Diseases, Metabolic	70
metabolic	SOST	D010024	Osteoporosis	70
metabolic	THRB	D006937	Hypercholesterolemia	488
metabolic	THRB	D006938	Hyperlipoproteinemia Type II	488
metabolic	VEGFA	D003924	Diabetes Mellitus, Type 2	612
respiratory	ADORA1	D001249	Asthma	1103
respiratory	ADORA1	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	ADRB2	D001249	Asthma	1103
respiratory	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	CHRM3	D001249	Asthma	1103
respiratory	CHRM3	D029424	Pulmonary Disease, Chronic Obstructive	128
respiratory	CHRM3	D029481	Bronchitis, Chronic	128
respiratory	GATA3	D001249	Asthma	1103
respiratory	GATA3	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	IFNAR2	D000086382	COVID-19	13
respiratory	IL13	D001249	Asthma	1103
respiratory	IL13	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	IL33	D001249	Asthma	1103
respiratory	IL33	D012852	Sinusitis	8
respiratory	IL33	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	IL33	D065631	Rhinitis, Allergic	44
respiratory	IL4R	D001249	Asthma	1103
respiratory	IL4R	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	IL4R	D065631	Rhinitis, Allergic	1103
respiratory	IL6	D001249	Asthma	1103
respiratory	MMP12	D001249	Asthma	128
respiratory	NFKB1	D001249	Asthma	44
respiratory	NR3C1	D001249	Asthma	1103
respiratory	NR3C1	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	NR3C1	D065631	Rhinitis, Allergic	1103
respiratory	RARG	D029424	Pulmonary Disease, Chronic Obstructive	1103
respiratory	TNFSF15	D001249	Asthma	1103
respiratory	TNFSF4	D001249	Asthma	1103
respiratory	TNFSF4	D065631	Rhinitis, Allergic	1103
