year	area	color	n_new_possible_gensup_ti	n_cumulative_possible_gensup_ti
2016	infection	#EE7600	43	276
2016	oncology	#66A61E	201	1512
2016	musculoskeletal	#A6CEE3	57	627
2016	digestive	#FDBF6F	235	1827
2016	respiratory	#E31A1C	47	349
2016	neurology	#B15928	138	1113
2016	ophthalmology	#6A3D9A	451	1315
2016	cardiovascular	#B2DF8A	500	1084
2016	hematology	#CAB2D6	4291	5155
2016	congenital	#8B7E66	1334	2748
2016	dermatology	#FB9A99	652	1938
2016	metabolic	#FFB90F	488	2922
2016	endocrine	#33A02C	45	391
2016	immune	#FF7F00	477	1266
2016	signs/symptoms	#7B3F00	602	1517
2016	psychiatry	#9959E1	171	619
2016	other	#BBBBBB	50	231
2017	infection	#EE7600	43	319
2017	oncology	#66A61E	445	1957
2017	musculoskeletal	#A6CEE3	41	668
2017	digestive	#FDBF6F	212	2039
2017	respiratory	#E31A1C	160	509
2017	neurology	#B15928	532	1645
2017	ophthalmology	#6A3D9A	368	1683
2017	cardiovascular	#B2DF8A	310	1394
2017	hematology	#CAB2D6	59	5214
2017	congenital	#8B7E66	396	3144
2017	dermatology	#FB9A99	442	2380
2017	metabolic	#FFB90F	668	3590
2017	endocrine	#33A02C	96	487
2017	immune	#FF7F00	257	1523
2017	signs/symptoms	#7B3F00	363	1880
2017	psychiatry	#9959E1	556	1175
2017	other	#BBBBBB	36	267
2018	infection	#EE7600	231	550
2018	oncology	#66A61E	681	2638
2018	musculoskeletal	#A6CEE3	194	862
2018	digestive	#FDBF6F	590	2629
2018	respiratory	#E31A1C	2631	3140
2018	neurology	#B15928	1195	2840
2018	ophthalmology	#6A3D9A	1924	3607
2018	cardiovascular	#B2DF8A	1314	2708
2018	hematology	#CAB2D6	6505	11719
2018	congenital	#8B7E66	2729	5873
2018	dermatology	#FB9A99	2500	4880
2018	metabolic	#FFB90F	2840	6430
2018	endocrine	#33A02C	912	1399
2018	immune	#FF7F00	2849	4372
2018	signs/symptoms	#7B3F00	2958	4838
2018	psychiatry	#9959E1	1973	3148
2018	other	#BBBBBB	474	741
2019	infection	#EE7600	65	615
2019	oncology	#66A61E	298	2936
2019	musculoskeletal	#A6CEE3	188	1050
2019	digestive	#FDBF6F	83	2712
2019	respiratory	#E31A1C	430	3570
2019	neurology	#B15928	2159	4999
2019	ophthalmology	#6A3D9A	143	3750
2019	cardiovascular	#B2DF8A	155	2863
2019	hematology	#CAB2D6	29	11748
2019	congenital	#8B7E66	390	6263
2019	dermatology	#FB9A99	78	4958
2019	metabolic	#FFB90F	415	6845
2019	endocrine	#33A02C	57	1456
2019	immune	#FF7F00	686	5058
2019	signs/symptoms	#7B3F00	390	5228
2019	psychiatry	#9959E1	2040	5188
2019	other	#BBBBBB	188	929
2020	infection	#EE7600	245	860
2020	oncology	#66A61E	393	3329
2020	musculoskeletal	#A6CEE3	147	1197
2020	digestive	#FDBF6F	159	2871
2020	respiratory	#E31A1C	168	3738
2020	neurology	#B15928	1268	6267
2020	ophthalmology	#6A3D9A	1617	5367
2020	cardiovascular	#B2DF8A	661	3524
2020	hematology	#CAB2D6	8300	20048
2020	congenital	#8B7E66	3880	10143
2020	dermatology	#FB9A99	924	5882
2020	metabolic	#FFB90F	4082	10927
2020	endocrine	#33A02C	1183	2639
2020	immune	#FF7F00	1130	6188
2020	signs/symptoms	#7B3F00	1954	7182
2020	psychiatry	#9959E1	746	5934
2020	other	#BBBBBB	27	956
2021	infection	#EE7600	144	1004
2021	oncology	#66A61E	806	4135
2021	musculoskeletal	#A6CEE3	636	1833
2021	digestive	#FDBF6F	1030	3901
2021	respiratory	#E31A1C	330	4068
2021	neurology	#B15928	1259	7526
2021	ophthalmology	#6A3D9A	343	5710
2021	cardiovascular	#B2DF8A	542	4066
2021	hematology	#CAB2D6	2710	22758
2021	congenital	#8B7E66	2983	13126
2021	dermatology	#FB9A99	472	6354
2021	metabolic	#FFB90F	4739	15666
2021	endocrine	#33A02C	716	3355
2021	immune	#FF7F00	786	6974
2021	signs/symptoms	#7B3F00	1588	8770
2021	psychiatry	#9959E1	585	6519
2021	other	#BBBBBB	1724	2680
2022	infection	#EE7600	59	1063
2022	oncology	#66A61E	112	4247
2022	musculoskeletal	#A6CEE3	167	2000
2022	digestive	#FDBF6F	105	4006
2022	respiratory	#E31A1C	92	4160
2022	neurology	#B15928	176	7702
2022	ophthalmology	#6A3D9A	129	5839
2022	cardiovascular	#B2DF8A	219	4285
2022	hematology	#CAB2D6	36	22794
2022	congenital	#8B7E66	145	13271
2022	dermatology	#FB9A99	214	6568
2022	metabolic	#FFB90F	144	15810
2022	endocrine	#33A02C	125	3480
2022	immune	#FF7F00	127	7101
2022	signs/symptoms	#7B3F00	132	8902
2022	psychiatry	#9959E1	100	6619
2022	other	#BBBBBB	68	2748
