gene	gensup_omim	gensup_estab	gensup_novel
CERS6	FALSE	FALSE	FALSE
CHRM1	FALSE	FALSE	FALSE
CHRM2	FALSE	FALSE	FALSE
CHRM3	FALSE	FALSE	FALSE
CHRNA7	FALSE	FALSE	FALSE
CNR1	FALSE	FALSE	FALSE
CNR2	FALSE	FALSE	FALSE
COL4A3BP	FALSE	FALSE	FALSE
CPT1A	FALSE	FALSE	FALSE
CPT2	FALSE	FALSE	FALSE
CRBN	FALSE	FALSE	FALSE
CRP	FALSE	FALSE	FALSE
CTF1	FALSE	FALSE	FALSE
CTLA4	FALSE	FALSE	FALSE
CTSC	FALSE	FALSE	FALSE
CTSD	FALSE	FALSE	FALSE
CXCL12	FALSE	FALSE	FALSE
CXCR3	FALSE	FALSE	FALSE
CXCR4	FALSE	FALSE	FALSE
CYP7A1	FALSE	FALSE	FALSE
DGAT1	FALSE	FALSE	FALSE
DGAT2	FALSE	FALSE	FALSE
DPP4	FALSE	FALSE	FALSE
DPP8	FALSE	FALSE	FALSE
DPP9	FALSE	FALSE	FALSE
DRD1	FALSE	FALSE	FALSE
DRD2	FALSE	FALSE	FALSE
DRD3	FALSE	FALSE	FALSE
DYRK1A	FALSE	FALSE	FALSE
EGFR	FALSE	FALSE	FALSE
EIF2AK3	FALSE	FALSE	FALSE
EIF5A	FALSE	FALSE	FALSE
EPOR	FALSE	FALSE	FALSE
ERBB2	FALSE	FALSE	FALSE
ERN1	FALSE	TRUE	FALSE
ESRRA	FALSE	FALSE	FALSE
ESRRB	FALSE	FALSE	FALSE
ESRRG	FALSE	FALSE	FALSE
FABP4	FALSE	FALSE	FALSE
FABP5	FALSE	FALSE	FALSE
FASN	FALSE	FALSE	FALSE
FBP1	FALSE	FALSE	FALSE
FFAR1	FALSE	FALSE	FALSE
FFAR2	FALSE	FALSE	FALSE
FFAR4	FALSE	FALSE	FALSE
FGF1	FALSE	FALSE	FALSE
FGF21	FALSE	FALSE	FALSE
FGFR1	FALSE	FALSE	FALSE
FGFR4	FALSE	FALSE	FALSE
FOXO1	FALSE	FALSE	FALSE
FSTL3	FALSE	FALSE	FALSE
FTO	FALSE	TRUE	FALSE
FYN	FALSE	FALSE	FALSE
GAA	FALSE	FALSE	FALSE
GABRA1	FALSE	FALSE	FALSE
GAD1	FALSE	FALSE	FALSE
GAD2	FALSE	FALSE	FALSE
GALR1	FALSE	FALSE	FALSE
GALR2	FALSE	FALSE	FALSE
GAST	FALSE	FALSE	FALSE
GCGR	FALSE	FALSE	FALSE
GCK	TRUE	TRUE	FALSE
GCKR	FALSE	TRUE	FALSE
GCNT1	FALSE	FALSE	FALSE
GDF11	FALSE	FALSE	FALSE
GDF15	FALSE	FALSE	FALSE
GFRAL	FALSE	FALSE	FALSE
GH1	FALSE	FALSE	FALSE
GHR	FALSE	FALSE	FALSE
GHRHR	FALSE	FALSE	FALSE
GHSR	FALSE	FALSE	FALSE
GIP	FALSE	FALSE	FALSE
GIPR	FALSE	FALSE	FALSE
GLP1R	FALSE	FALSE	TRUE
GLP2R	FALSE	TRUE	FALSE
GLUD1	FALSE	FALSE	FALSE
GPBAR1	FALSE	FALSE	FALSE
GPER1	FALSE	FALSE	FALSE
GPR119	FALSE	FALSE	FALSE
GPR142	FALSE	FALSE	FALSE
GPR146	FALSE	FALSE	FALSE
GPR39	FALSE	FALSE	FALSE
GPR55	FALSE	FALSE	FALSE
GPR84	FALSE	FALSE	FALSE
GRM4	FALSE	FALSE	FALSE
GSK3B	FALSE	FALSE	FALSE
GYS2	FALSE	FALSE	FALSE
HCAR2	FALSE	FALSE	FALSE
HMGCR	FALSE	FALSE	FALSE
HMMR	FALSE	FALSE	FALSE
HNF4A	TRUE	TRUE	FALSE
HPSE	FALSE	FALSE	FALSE
HRH3	FALSE	FALSE	FALSE
HSD11B1	FALSE	FALSE	FALSE
HTR1A	FALSE	FALSE	FALSE
HTR1D	FALSE	FALSE	FALSE
HTR2B	FALSE	FALSE	FALSE
HTR2C	FALSE	FALSE	FALSE
IAPP	FALSE	FALSE	FALSE
IFNA1	FALSE	FALSE	FALSE
IGF1R	FALSE	FALSE	TRUE
IGF2R	FALSE	FALSE	FALSE
IGFBP2	FALSE	FALSE	FALSE
IKBKB	FALSE	FALSE	FALSE
IKBKE	FALSE	FALSE	FALSE
IL13	FALSE	FALSE	FALSE
IL18	FALSE	FALSE	FALSE
IL1A	FALSE	FALSE	FALSE
IL1B	FALSE	FALSE	FALSE
IL1R1	FALSE	FALSE	FALSE
IL1R2	FALSE	FALSE	FALSE
IL2RA	FALSE	FALSE	FALSE
IL4R	FALSE	FALSE	FALSE
IL9R	FALSE	FALSE	FALSE
INSR	TRUE	TRUE	FALSE
IRS2	FALSE	FALSE	FALSE
KCNJ11	TRUE	TRUE	FALSE
KCNJ8	FALSE	FALSE	FALSE
KHK	FALSE	FALSE	FALSE
KLB	FALSE	FALSE	FALSE
KLKB1	FALSE	FALSE	FALSE
KMO	FALSE	FALSE	FALSE
LANCL2	FALSE	FALSE	FALSE
LEP	FALSE	FALSE	FALSE
LEPR	FALSE	FALSE	TRUE
LGALS3	FALSE	FALSE	FALSE
LGALS9	FALSE	FALSE	FALSE
LIPE	FALSE	FALSE	FALSE
LYN	FALSE	FALSE	FALSE
MANF	FALSE	FALSE	FALSE
MAP2K2	FALSE	FALSE	FALSE
MAP2K7	FALSE	FALSE	FALSE
MAP3K5	FALSE	FALSE	FALSE
MAP4K4	FALSE	FALSE	FALSE
MAPK1	FALSE	FALSE	FALSE
MAPK14	FALSE	FALSE	FALSE
MAPK3	FALSE	FALSE	TRUE
MAPK8	FALSE	FALSE	FALSE
MAPK8IP1	FALSE	FALSE	FALSE
MAPK9	FALSE	FALSE	FALSE
MAS1	FALSE	FALSE	FALSE
MBOAT4	FALSE	FALSE	FALSE
MC1R	FALSE	FALSE	FALSE
MC4R	FALSE	FALSE	FALSE
MCHR1	FALSE	FALSE	FALSE
METAP2	FALSE	FALSE	FALSE
MIF	FALSE	FALSE	FALSE
MIOX	FALSE	FALSE	FALSE
MIR107	FALSE	FALSE	FALSE
MIRLET7A1	FALSE	FALSE	FALSE
MKNK1	FALSE	FALSE	FALSE
MLYCD	FALSE	FALSE	FALSE
MOGS	FALSE	FALSE	FALSE
MRGPRD	FALSE	FALSE	FALSE
MSTN	FALSE	FALSE	FALSE
MTNR1A	FALSE	FALSE	FALSE
MTNR1B	FALSE	TRUE	FALSE
MTOR	FALSE	FALSE	TRUE
MTTP	FALSE	FALSE	FALSE
NAIP	FALSE	FALSE	FALSE
NCOR2	FALSE	FALSE	FALSE
NFKB1	FALSE	FALSE	FALSE
NLRP3	FALSE	FALSE	FALSE
NMUR1	FALSE	FALSE	FALSE
NMUR2	FALSE	FALSE	FALSE
NNMT	FALSE	FALSE	FALSE
NPY	FALSE	FALSE	FALSE
NPY1R	FALSE	FALSE	FALSE
NPY2R	FALSE	FALSE	FALSE
NPY4R	FALSE	FALSE	FALSE
NR1H2	FALSE	FALSE	FALSE
NR1H3	FALSE	FALSE	FALSE
NR1H4	FALSE	FALSE	FALSE
NR3C1	FALSE	FALSE	FALSE
NRIP1	FALSE	FALSE	FALSE
NTSR1	FALSE	FALSE	FALSE
NUAK1	FALSE	FALSE	FALSE
OLR1	FALSE	FALSE	FALSE
P2RX7	FALSE	FALSE	FALSE
PARK7	FALSE	FALSE	FALSE
PARL	FALSE	FALSE	FALSE
PARP1	FALSE	FALSE	FALSE
PAX4	TRUE	FALSE	FALSE
PAX6	FALSE	FALSE	FALSE
PBK	FALSE	FALSE	FALSE
PCK1	FALSE	FALSE	FALSE
PCSK9	FALSE	FALSE	FALSE
PDE10A	FALSE	FALSE	FALSE
PDE4A	FALSE	FALSE	FALSE
PDE4B	FALSE	FALSE	FALSE
PDE4C	FALSE	FALSE	FALSE
PDE4D	FALSE	FALSE	FALSE
PDE8B	FALSE	FALSE	FALSE
PDK1	FALSE	FALSE	FALSE
PDX1	FALSE	FALSE	FALSE
PGP	FALSE	FALSE	FALSE
PHB	FALSE	FALSE	FALSE
PIP4K2B	FALSE	FALSE	FALSE
PLAT	FALSE	FALSE	FALSE
PNLIP	FALSE	FALSE	FALSE
PNP	FALSE	FALSE	FALSE
PPARA	FALSE	FALSE	FALSE
PPARD	FALSE	FALSE	FALSE
PPARG	FALSE	TRUE	FALSE
PPARGC1B	FALSE	FALSE	FALSE
PPP2CA	FALSE	FALSE	FALSE
PRKAA1	FALSE	FALSE	FALSE
PRKAG3	FALSE	FALSE	FALSE
PRKCA	FALSE	FALSE	FALSE
PRKCB	FALSE	FALSE	FALSE
PRKCE	FALSE	FALSE	FALSE
PSENEN	FALSE	FALSE	FALSE
PTEN	FALSE	TRUE	FALSE
PTGER3	FALSE	FALSE	FALSE
PTGS1	FALSE	FALSE	FALSE
PTGS2	FALSE	FALSE	FALSE
PTPN1	FALSE	FALSE	FALSE
PTPRC	FALSE	FALSE	FALSE
PTPRF	FALSE	FALSE	FALSE
PYGL	FALSE	FALSE	FALSE
PYY	FALSE	FALSE	FALSE
RAMP1	FALSE	FALSE	FALSE
RAPGEF3	FALSE	FALSE	FALSE
RAPGEF4	FALSE	FALSE	FALSE
RBP4	FALSE	FALSE	FALSE
REG3A	FALSE	FALSE	FALSE
ROCK2	FALSE	FALSE	FALSE
RXRA	FALSE	FALSE	FALSE
RXRB	FALSE	FALSE	FALSE
RXRG	FALSE	FALSE	FALSE
RYR1	FALSE	FALSE	FALSE
SCD	FALSE	FALSE	FALSE
SELE	FALSE	FALSE	FALSE
SELENOS	FALSE	FALSE	FALSE
SERPINA1	FALSE	FALSE	FALSE
SERPINE1	FALSE	FALSE	FALSE
SGIP1	FALSE	FALSE	TRUE
SHC1	FALSE	FALSE	FALSE
SIGMAR1	FALSE	FALSE	FALSE
SIRT1	FALSE	FALSE	FALSE
SIRT2	FALSE	FALSE	FALSE
SIRT6	FALSE	FALSE	FALSE
SLC10A1	FALSE	FALSE	FALSE
SLC10A2	FALSE	FALSE	FALSE
SLC13A5	FALSE	FALSE	FALSE
SLC18A2	FALSE	FALSE	FALSE
SLC22A12	FALSE	FALSE	FALSE
SLC2A4	FALSE	FALSE	FALSE
SLC30A8	FALSE	TRUE	FALSE
SLC5A1	FALSE	FALSE	FALSE
SLC5A2	FALSE	FALSE	FALSE
SLC6A2	FALSE	FALSE	FALSE
SLC6A3	FALSE	FALSE	FALSE
SLC6A4	FALSE	FALSE	FALSE
SLC7A5	FALSE	FALSE	FALSE
SLC9A1	FALSE	FALSE	FALSE
SOCS3	FALSE	FALSE	FALSE
SORT1	FALSE	FALSE	FALSE
SREBF1	FALSE	FALSE	TRUE
SREBF2	FALSE	FALSE	FALSE
SSTR2	FALSE	FALSE	FALSE
TACR1	FALSE	FALSE	FALSE
TACR2	FALSE	FALSE	FALSE
TBK1	FALSE	FALSE	FALSE
TBXAS1	FALSE	FALSE	FALSE
THRB	FALSE	FALSE	FALSE
TLR2	FALSE	FALSE	FALSE
TMPRSS15	FALSE	FALSE	FALSE
TMSB4X	FALSE	FALSE	FALSE
TNF	FALSE	FALSE	FALSE
TP53	FALSE	FALSE	FALSE
TRIB3	FALSE	FALSE	FALSE
TRPV1	FALSE	FALSE	FALSE
TRPV4	FALSE	FALSE	FALSE
TTR	FALSE	FALSE	FALSE
TUB	FALSE	FALSE	FALSE
TULP1	FALSE	FALSE	FALSE
TULP2	FALSE	FALSE	FALSE
UCN2	FALSE	FALSE	FALSE
UCP2	FALSE	FALSE	FALSE
UGCG	FALSE	FALSE	FALSE
VCAM1	FALSE	FALSE	FALSE
VDAC1	FALSE	FALSE	FALSE
VEGFA	FALSE	FALSE	FALSE
VEGFB	FALSE	FALSE	FALSE
VIPR2	FALSE	FALSE	FALSE
XAF1	FALSE	FALSE	FALSE
XIAP	FALSE	FALSE	FALSE
