ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	oto_hcat	oto_acat	oto_ccat	orphan	year_launch
ABAT-D009103	ABAT	D009103	Multiple Sclerosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABAT-D009293	ABAT	D009293	Opioid-Related Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABAT-D009437	ABAT	D009437	Neuralgia		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
ABAT-D010300	ABAT	D010300	Parkinson Disease	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABAT-D013036	ABAT	D013036	Spasms, Infantile	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2019
ABAT-D013313	ABAT	D013313	Stress Disorders, Post-Traumatic	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABAT-D014402	ABAT	D014402	Tuberous Sclerosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABAT-D019970	ABAT	D019970	Cocaine-Related Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABAT-D020820	ABAT	D020820	Dyskinesias	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABCA1-D000070642	ABCA1	D000070642	Brain Injuries, Traumatic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCA1-D000544	ABCA1	D000544	Alzheimer Disease		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCA1-D002545	ABCA1	D002545	Brain Ischemia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCA1-D003920	ABCA1	D003920	Diabetes Mellitus		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCA1-D003924	ABCA1	D003924	Diabetes Mellitus, Type 2	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCA1-D006333	ABCA1	D006333	Heart Failure	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCA1-D006949	ABCA1	D006949	Hyperlipidemias	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ABCA1-D008060	ABCA1	D008060	Lipodystrophy	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABCA1-D008103	ABCA1	D008103	Liver Cirrhosis		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
ABCA1-D009203	ABCA1	D009203	Myocardial Infarction	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCA1-D020521	ABCA1	D020521	Stroke	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCA1-D020961	ABCA1	D020961	Lewy Body Disease		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCA1-D042882	ABCA1	D042882	Gallstones	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABCA1-D050197	ABCA1	D050197	Atherosclerosis		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCA1-D065626	ABCA1	D065626	Non-alcoholic Fatty Liver Disease		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
ABCA4-D008268	ABCA4	D008268	Macular Degeneration		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
ABCA4-D012174	ABCA4	D012174	Retinitis Pigmentosa	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	TRUE	
ABCB1-D001943	ABCB1	D001943	Breast Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	FALSE	
ABCB1-D002289	ABCB1	D002289	Carcinoma, Non-Small-Cell Lung	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	FALSE	
ABCB1-D006086	ABCB1	D006086	Graft vs Host Disease	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
ABCB1-D007239	ABCB1	D007239	Infections	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCB1-D007938	ABCB1	D007938	Leukemia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	FALSE	
ABCB1-D008268	ABCB1	D008268	Macular Degeneration	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCB1-D009369	ABCB1	D009369	Neoplasms	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	FALSE	
ABCB1-D015212	ABCB1	D015212	Inflammatory Bowel Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCB11-D002780	ABCB11	D002780	Cholestasis, Intrahepatic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABCB4-D002780	ABCB4	D002780	Cholestasis, Intrahepatic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	TRUE	
ABCC1-D001749	ABCC1	D001749	Urinary Bladder Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D001943	ABCC1	D001943	Breast Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D002289	ABCC1	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D003424	ABCC1	D003424	Crohn Disease	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
ABCC1-D003967	ABCC1	D003967	Diarrhea	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D005334	ABCC1	D005334	Fever	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D005767	ABCC1	D005767	Gastrointestinal Diseases	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABCC1-D006258	ABCC1	D006258	Head and Neck Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D007239	ABCC1	D007239	Infections	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D007249	ABCC1	D007249	Inflammation	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D008107	ABCC1	D008107	Liver Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D008113	ABCC1	D008113	Liver Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABCC1-D008268	ABCC1	D008268	Macular Degeneration	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D008545	ABCC1	D008545	Melanoma	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D009325	ABCC1	D009325	Nausea	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D009369	ABCC1	D009369	Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D010190	ABCC1	D010190	Pancreatic Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABCC1-D011471	ABCC1	D011471	Prostatic Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC1-D014839	ABCC1	D014839	Vomiting	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D015179	ABCC1	D015179	Colorectal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABCC1-D015212	ABCC1	D015212	Inflammatory Bowel Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC1-D059226	ABCC1	D059226	Nociceptive Pain	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC4-D009369	ABCC4	D009369	Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCC8-D000070642	ABCC8	D000070642	Brain Injuries, Traumatic		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	TRUE	
ABCC8-D000787	ABCC8	D000787	Angina Pectoris	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC8-D002545	ABCC8	D002545	Brain Ischemia		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	TRUE	
ABCC8-D003920	ABCC8	D003920	Diabetes Mellitus	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Preclinical	Launched	Launched	FALSE	2019
ABCC8-D003924	ABCC8	D003924	Diabetes Mellitus, Type 2	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
ABCC8-D006973	ABCC8	D006973	Hypertension	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC8-D009203	ABCC8	D009203	Myocardial Infarction	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
ABCC8-D013119	ABCC8	D013119	Spinal Cord Injuries	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	TRUE	
ABCC8-D013345	ABCC8	D013345	Subarachnoid Hemorrhage	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	TRUE	
ABCC8-D020521	ABCC8	D020521	Stroke		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase III	Phase III	TRUE	
ABCC9-D000505	ABCC9	D000505	Alopecia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
ABCC9-D000506	ABCC9	D000506	Alopecia Areata	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
ABCC9-D000787	ABCC9	D000787	Angina Pectoris	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC9-D002318	ABCC9	D002318	Cardiovascular Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC9-D003920	ABCC9	D003920	Diabetes Mellitus	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC9-D006973	ABCC9	D006973	Hypertension	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC9-D007676	ABCC9	D007676	Kidney Failure, Chronic	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCC9-D058186	ABCC9	D058186	Acute Kidney Injury		Preclinical	Preclinical		2	1								FALSE	
ABCD1-D000326	ABCD1	D000326	Adrenoleukodystrophy	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	
ABCD1-D005953	ABCD1	D005953	Glycogen Storage Disease Type I	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCD1-D006937	ABCD1	D006937	Hypercholesterolemia		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABCD1-D065626	ABCD1	D065626	Non-alcoholic Fatty Liver Disease		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABCG2-D009369	ABCG2	D009369	Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABCG5-D006949	ABCG5	D006949	Hyperlipidemias	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABCG8-D006949	ABCG8	D006949	Hyperlipidemias	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABL1-D000086382	ABL1	D000086382	COVID-19		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
ABL1-D000544	ABL1	D000544	Alzheimer Disease		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Preclinical	Preclinical	FALSE	
ABL1-D000690	ABL1	D000690	Amyotrophic Lateral Sclerosis		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
ABL1-D001650	ABL1	D001650	Bile Duct Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D001932	ABL1	D001932	Brain Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D001943	ABL1	D001943	Breast Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D002289	ABL1	D002289	Carcinoma, Non-Small-Cell Lung	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D003680	ABL1	D003680	Deglutition Disorders		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
ABL1-D004686	ABL1	D004686	Encephalomyocarditis virus	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D004938	ABL1	D004938	Esophageal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D005128	ABL1	D005128	Eye Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ABL1-D005909	ABL1	D005909	Glioblastoma		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D006258	ABL1	D006258	Head and Neck Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D006816	ABL1	D006816	Huntington Disease		Phase I	Phase I		3	2	TRUE							FALSE	
ABL1-D006976	ABL1	D006976	Hypertension, Pulmonary		Phase III	Phase III		5	4	TRUE	TRUE	TRUE					FALSE	
ABL1-D007674	ABL1	D007674	Kidney Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABL1-D007680	ABL1	D007680	Kidney Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D007690	ABL1	D007690	Polycystic Kidney Diseases	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D007938	ABL1	D007938	Leukemia		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D007968	ABL1	D007968	Leukoencephalopathy, Progressive Multifocal		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABL1-D008415	ABL1	D008415	Mastocytosis	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D008527	ABL1	D008527	Medulloblastoma		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D008545	ABL1	D008545	Melanoma		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D008654	ABL1	D008654	Mesothelioma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D009101	ABL1	D009101	Multiple Myeloma		Phase I	Phase I		3	2	TRUE							FALSE	
ABL1-D009190	ABL1	D009190	Myelodysplastic Syndromes		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D009369	ABL1	D009369	Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE				Preclinical	Preclinical	FALSE	
ABL1-D010051	ABL1	D010051	Ovarian Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D010190	ABL1	D010190	Pancreatic Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D010300	ABL1	D010300	Parkinson Disease		Phase III	Phase III		5	4	TRUE	TRUE	TRUE			Phase II	Phase II	FALSE	
ABL1-D011087	ABL1	D011087	Polycythemia Vera		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D011471	ABL1	D011471	Prostatic Neoplasms	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
ABL1-D012128	ABL1	D012128	Respiratory Distress Syndrome		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D012509	ABL1	D012509	Sarcoma	Phase I		Phase I	2		2	TRUE	FALSE						FALSE	
ABL1-D012899	ABL1	D012899	Smallpox	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABL1-D013274	ABL1	D013274	Stomach Neoplasms		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D015179	ABL1	D015179	Colorectal Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D015451	ABL1	D015451	Leukemia, Lymphocytic, Chronic, B-Cell	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D015464	ABL1	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	2021
ABL1-D015470	ABL1	D015470	Leukemia, Myeloid, Acute	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
ABL1-D016889	ABL1	D016889	Endometrial Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D017681	ABL1	D017681	Hypereosinophilic Syndrome		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D019142	ABL1	D019142	Hemorrhagic Fever, Ebola	Preclinical		Preclinical	1		1	FALSE							FALSE	
ABL1-D019337	ABL1	D019337	Hematologic Neoplasms	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ABL1-D019578	ABL1	D019578	Multiple System Atrophy		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ABL1-D020961	ABL1	D020961	Lewy Body Disease		Phase II	Phase II		4	3	TRUE	TRUE				Preclinical	Preclinical	FALSE	
ABL1-D046152	ABL1	D046152	Gastrointestinal Stromal Tumors	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE				FALSE	
ABL1-D054198	ABL1	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE		Launched	Launched	FALSE	
ABL1-D054990	ABL1	D054990	Idiopathic Pulmonary Fibrosis		Phase II	Phase II		4	3	TRUE	TRUE						FALSE	
ABL1-D055496	ABL1	D055496	Neurogenic Bowel		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
ABL1-D055752	ABL1	D055752	Small Cell Lung Carcinoma	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACACA-D000152	ACACA	D000152	Acne Vulgaris	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACACA-D002289	ACACA	D002289	Carcinoma, Non-Small-Cell Lung	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACA-D003920	ACACA	D003920	Diabetes Mellitus	Preclinical		Preclinical	1		1	FALSE							FALSE	
ACACA-D003924	ACACA	D003924	Diabetes Mellitus, Type 2	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Preclinical		Preclinical	FALSE	
ACACA-D008113	ACACA	D008113	Liver Neoplasms	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACA-D008659	ACACA	D008659	Metabolic Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ACACA-D009765	ACACA	D009765	Obesity	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACA-D015228	ACACA	D015228	Hypertriglyceridemia	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACA-D065626	ACACA	D065626	Non-alcoholic Fatty Liver Disease		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
ACACB-D000152	ACACB	D000152	Acne Vulgaris	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACACB-D003920	ACACB	D003920	Diabetes Mellitus	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACB-D003924	ACACB	D003924	Diabetes Mellitus, Type 2	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Preclinical		Preclinical	FALSE	
ACACB-D008659	ACACB	D008659	Metabolic Diseases	Preclinical		Preclinical	1		1	FALSE							FALSE	
ACACB-D009765	ACACB	D009765	Obesity	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACACB-D065626	ACACB	D065626	Non-alcoholic Fatty Liver Disease		Phase I	Phase I		3	2	TRUE					Phase I	Phase I	FALSE	
ACAN-D010003	ACAN	D010003	Osteoarthritis		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
ACAN-D013119	ACAN	D013119	Spinal Cord Injuries		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ACAN-D059352	ACAN	D059352	Musculoskeletal Pain	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D000755	ACE	D000755	Anemia, Sickle Cell	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D002100	ACE	D002100	Cachexia	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
ACE-D002318	ACE	D002318	Cardiovascular Diseases	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D003139	ACE	D003139	Common Cold	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D003715	ACE	D003715	Dengue	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D003920	ACE	D003920	Diabetes Mellitus	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D003928	ACE	D003928	Diabetic Nephropathies	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACE-D006333	ACE	D006333	Heart Failure	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	
ACE-D006937	ACE	D006937	Hypercholesterolemia	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACE-D006973	ACE	D006973	Hypertension	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2013
ACE-D007251	ACE	D007251	Influenza, Human	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D007676	ACE	D007676	Kidney Failure, Chronic	Phase II		Phase II	3		3	TRUE	TRUE	FALSE					FALSE	
ACE-D009203	ACE	D009203	Myocardial Infarction	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	Launched	Launched	Launched	TRUE	2016
ACE-D009765	ACE	D009765	Obesity	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D014901	ACE	D014901	West Nile Fever	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D015658	ACE	D015658	HIV Infections	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D020529	ACE	D020529	Multiple Sclerosis, Relapsing-Remitting	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D024821	ACE	D024821	Metabolic Syndrome	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D045169	ACE	D045169	Severe Acute Respiratory Syndrome	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE-D050197	ACE	D050197	Atherosclerosis	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE-D054058	ACE	D054058	Acute Coronary Syndrome	Phase III		Phase III	4		4	TRUE	TRUE	TRUE	FALSE	Phase III		Phase III	FALSE	
ACE-D059226	ACE	D059226	Nociceptive Pain	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D000086382	ACE2	D000086382	COVID-19		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
ACE2-D003093	ACE2	D003093	Colitis, Ulcerative	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
ACE2-D006333	ACE2	D006333	Heart Failure	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D006976	ACE2	D006976	Hypertension, Pulmonary		Phase II	Phase II		4	3	TRUE	TRUE				Phase II	Phase II	FALSE	
ACE2-D007249	ACE2	D007249	Inflammation	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D008107	ACE2	D008107	Liver Diseases	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D009203	ACE2	D009203	Myocardial Infarction	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D009369	ACE2	D009369	Neoplasms	Phase I		Phase I	2		2	TRUE	FALSE			Phase I		Phase I	FALSE	
ACE2-D009765	ACE2	D009765	Obesity	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
ACE2-D012120	ACE2	D012120	Respiration Disorders	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE2-D012128	ACE2	D012128	Respiratory Distress Syndrome		Preclinical	Preclinical		2	1					Phase II		Phase II	FALSE	
ACE2-D029424	ACE2	D029424	Pulmonary Disease, Chronic Obstructive	Preclinical		Preclinical	1		1	FALSE				Preclinical		Preclinical	FALSE	
ACE2-D055371	ACE2	D055371	Acute Lung Injury	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
ACHE-D000070642	ACHE	D000070642	Brain Injuries, Traumatic		Preclinical	Preclinical		2	1						Preclinical	Preclinical	FALSE	
ACHE-D000437	ACHE	D000437	Alcoholism	Phase II		Phase II	3		3	TRUE	TRUE	FALSE		Phase II		Phase II	FALSE	
