"Gene"	"MSH"	"MSH.Top"	"Phase.Latest"	"lApprovedUS.EU"
"ACE"	"cachexia"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ACE"	"cardiovascular diseases"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ACE"	"coronavirus infections"	"Virus Diseases"	"Discontinued"	FALSE
"ACE"	"craniocerebral trauma"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACE"	"diabetes complications"	"Endocrine System Diseases"	"Launched"	TRUE
"ACE"	"diabetes mellitus, type 2"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACE"	"diabetic nephropathies"	"Male Urogenital Diseases"	"Launched"	TRUE
"ACE"	"diabetic retinopathy"	"Eye Diseases"	"No Development Reported"	FALSE
"ACE"	"glaucoma"	"Eye Diseases"	"Discontinued"	FALSE
"ACE"	"heart failure"	"Cardiovascular Diseases"	"Launched"	TRUE
"ACE"	"hiv infections"	"Virus Diseases"	"Discontinued"	FALSE
"ACE"	"hypercholesterolemia"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACE"	"hypertension"	"Cardiovascular Diseases"	"Launched"	TRUE
"ACE"	"influenza, human"	"Virus Diseases"	"Discontinued"	FALSE
"ACE"	"ischemia"	"Pathological Conditions, Signs and Symptoms"	"Launched"	FALSE
"ACE"	"lipodystrophy"	"Skin and Connective Tissue Diseases"	"No Development Reported"	FALSE
"ACE"	"memory disorders"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACE"	"metabolic syndrome x"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACE"	"multiple sclerosis, relapsing-remitting"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACE"	"myocardial infarction"	"Cardiovascular Diseases"	"Launched"	TRUE
"ACE"	"obesity"	"Nutritional and Metabolic Diseases"	"No Development Reported"	FALSE
"ACE"	"pain"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACE"	"peptic ulcer"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACE"	"picornaviridae infections"	"Virus Diseases"	"Discontinued"	FALSE
"ACE"	"proteinuria"	"Male Urogenital Diseases"	"No Development Reported"	FALSE
"ACE"	"renal insufficiency"	"Male Urogenital Diseases"	"Launched"	TRUE
"ACE"	"west nile fever"	"Virus Diseases"	"Discontinued"	FALSE
"ACE2"	"acute lung injury"	"Respiratory Tract Diseases"	"Phase II Clinical Trial"	FALSE
"ACE2"	"colitis, ulcerative"	"Digestive System Diseases"	"Phase II Clinical Trial"	FALSE
"ACE2"	"heart failure"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ACE2"	"hypertension"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"ACE2"	"inflammation"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ACE2"	"liver diseases"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACE2"	"myocardial infarction"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ACE2"	"neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ACE2"	"obesity"	"Nutritional and Metabolic Diseases"	"Discontinued"	FALSE
"ACE2"	"respiratory distress syndrome, adult"	"Respiratory Tract Diseases"	"Phase II Clinical Trial"	FALSE
"ACHE"	"alcoholism"	"Substance-Related Disorders"	"No Development Reported"	FALSE
"ACHE"	"alzheimer disease"	"Nervous System Diseases"	"Launched"	TRUE
"ACHE"	"amyotrophic lateral sclerosis"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"anxiety"	"Behavior and Behavior Mechanisms"	"No Development Reported"	FALSE
"ACHE"	"arthritis, rheumatoid"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ACHE"	"attention deficit disorder with hyperactivity"	"Mental Disorders"	"Phase II Clinical Trial"	FALSE
"ACHE"	"brain ischemia"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"colitis, ulcerative"	"Digestive System Diseases"	"Phase II Clinical Trial"	FALSE
"ACHE"	"constipation"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ACHE"	"dementia"	"Nervous System Diseases"	"Launched"	TRUE
"ACHE"	"dementia, vascular"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACHE"	"depression"	"Behavior and Behavior Mechanisms"	"No Development Reported"	FALSE
"ACHE"	"diabetic neuropathies"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"down syndrome"	"Nervous System Diseases"	"Phase II Clinical Trial"	FALSE
"ACHE"	"drug toxicity"	"Substance-Related Disorders"	"No Development Reported"	FALSE
"ACHE"	"dyskinesias"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"dyspepsia"	"Pathological Conditions, Signs and Symptoms"	"Pre-registration"	FALSE
"ACHE"	"epilepsy"	"Nervous System Diseases"	"Phase I Clinical Trial"	FALSE
"ACHE"	"fibromyalgia"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ACHE"	"gastritis"	"Digestive System Diseases"	"Launched"	FALSE
"ACHE"	"gastroesophageal reflux"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACHE"	"gastrointestinal diseases"	"Digestive System Diseases"	"Discontinued"	FALSE
"ACHE"	"gastroparesis"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACHE"	"huntington disease"	"Nervous System Diseases"	"Phase I Clinical Trial"	FALSE
"ACHE"	"hypertension"	"Cardiovascular Diseases"	"No Development Reported"	FALSE
"ACHE"	"immune system diseases"	"Immune System Diseases"	"Discontinued"	FALSE
"ACHE"	"inflammatory bowel diseases"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACHE"	"irritable bowel syndrome"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ACHE"	"lewy body disease"	"Nervous System Diseases"	"Phase III Clinical Trial"	FALSE
"ACHE"	"memory disorders"	"Nervous System Diseases"	"Phase III Clinical Trial"	FALSE
"ACHE"	"migraine disorders"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACHE"	"multiple sclerosis"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACHE"	"musculoskeletal diseases"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ACHE"	"myasthenia gravis"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"nervous system diseases"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACHE"	"neuralgia"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"ocular motility disorders"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"osteoarthritis"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ACHE"	"pain"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"parkinson disease"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ACHE"	"poisoning"	"Substance-Related Disorders"	"Phase I Clinical Trial"	FALSE
"ACHE"	"schizophrenia"	"Mental Disorders"	"Phase II Clinical Trial"	FALSE
"ACHE"	"sjogren's syndrome"	"Musculoskeletal Diseases"	"No Development Reported"	FALSE
"ACHE"	"substance-related disorders"	"Substance-Related Disorders"	"Discontinued"	FALSE
"ACHE"	"tobacco use disorder"	"Substance-Related Disorders"	"No Development Reported"	FALSE
"ACHE"	"urinary retention"	"Male Urogenital Diseases"	"Discontinued"	FALSE
"ACHE"	"wounds and injuries"	"Wounds and Injuries"	"Phase III Clinical Trial"	FALSE
"ACHE"	"xerostomia"	"Stomatognathic Diseases"	"No Development Reported"	FALSE
"ACLY"	"atherosclerosis"	"Cardiovascular Diseases"	"Discontinued"	FALSE
"ACLY"	"hyperlipidemias"	"Nutritional and Metabolic Diseases"	"Phase II Clinical Trial"	FALSE
"ACPP"	"breast neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ACPP"	"lymphoma, b-cell"	"Neoplasms"	"No Development Reported"	FALSE
"ACPP"	"prostatic neoplasms"	"Neoplasms"	"Launched"	TRUE
"ACR"	"herpesviridae infections"	"Virus Diseases"	"Phase II Clinical Trial"	FALSE
"ACR"	"hiv infections"	"Virus Diseases"	"Phase II Clinical Trial"	FALSE
"ACR"	"papilloma"	"Neoplasms"	"Preclinical"	FALSE
"ACR"	"reproductive tract infections"	"Bacterial Infections and Mycoses"	"Phase III Clinical Trial"	FALSE
"ACVR1"	"hematologic neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ACVR1"	"neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ACVR2A"	"anemia, sickle cell"	"Hemic and Lymphatic Diseases"	"Discontinued"	FALSE
"ACVR2A"	"blood coagulation disorders"	"Hemic and Lymphatic Diseases"	"Discontinued"	FALSE
"ACVR2A"	"cachexia"	"Pathological Conditions, Signs and Symptoms"	"Phase II Clinical Trial"	FALSE
"ACVR2A"	"hematologic neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ACVR2A"	"immune system diseases"	"Immune System Diseases"	"No Development Reported"	FALSE
"ACVR2A"	"myositis"	"Musculoskeletal Diseases"	"Phase II Clinical Trial"	FALSE
"ACVR2A"	"neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ACVR2A"	"nervous system diseases"	"Nervous System Diseases"	"Discontinued"	FALSE
"ACVR2A"	"osteoporosis"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ACVR2A"	"psoriasis"	"Skin and Connective Tissue Diseases"	"No Development Reported"	FALSE
"ACVR2B"	"cachexia"	"Pathological Conditions, Signs and Symptoms"	"Preclinical"	FALSE
"ACVR2B"	"muscular atrophy"	"Nervous System Diseases"	"Preclinical"	FALSE
"ACVRL1"	"adrenal gland neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"anemia"	"Hemic and Lymphatic Diseases"	"Phase II Clinical Trial"	FALSE
"ACVRL1"	"arthritis, rheumatoid"	"Musculoskeletal Diseases"	"Preclinical"	FALSE
"ACVRL1"	"carcinoma, non-small-cell lung"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"carcinoma, renal cell"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"endometrial neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ACVRL1"	"head and neck neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ACVRL1"	"kidney neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ACVRL1"	"liver neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"macular degeneration"	"Eye Diseases"	"Preclinical"	FALSE
"ACVRL1"	"mesothelioma"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"multiple myeloma"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ACVRL1"	"ovarian neoplasms"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ACVRL1"	"stomach neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ADA"	"anemia, aplastic"	"Hemic and Lymphatic Diseases"	"No Development Reported"	FALSE
"ADA"	"arthritis, rheumatoid"	"Musculoskeletal Diseases"	"No Development Reported"	FALSE
"ADA"	"inflammation"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ADA"	"ischemia"	"Pathological Conditions, Signs and Symptoms"	"Discontinued"	FALSE
"ADA"	"lesch-nyhan syndrome"	"Nervous System Diseases"	"Discontinued"	FALSE
"ADA"	"leukemia"	"Neoplasms"	"Launched"	FALSE
"ADA"	"leukemia, hairy cell"	"Neoplasms"	"Launched"	TRUE
"ADA"	"leukemia, lymphoid"	"Neoplasms"	"Launched"	TRUE
"ADA"	"lymphoma, non-hodgkin"	"Neoplasms"	"Launched"	TRUE
"ADA"	"lymphoma, t-cell"	"Neoplasms"	"No Development Reported"	FALSE
"ADA"	"multiple sclerosis, chronic progressive"	"Nervous System Diseases"	"Discontinued"	FALSE
"ADA"	"multiple sclerosis, relapsing-remitting"	"Nervous System Diseases"	"Discontinued"	FALSE
"ADA"	"neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ADA"	"severe combined immunodeficiency"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Launched"	TRUE
"ADAM10"	"breast neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ADAM10"	"carcinoma, non-small-cell lung"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM10"	"colorectal neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM10"	"diabetic nephropathies"	"Male Urogenital Diseases"	"No Development Reported"	FALSE
"ADAM10"	"head and neck neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM10"	"neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM10"	"prostatic neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM15"	"melanoma"	"Neoplasms"	"Phase II Clinical Trial"	FALSE
"ADAM17"	"arthritis"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ADAM17"	"arthritis, rheumatoid"	"Musculoskeletal Diseases"	"Discontinued"	FALSE
"ADAM17"	"blood coagulation disorders"	"Hemic and Lymphatic Diseases"	"No Development Reported"	FALSE
"ADAM17"	"brain ischemia"	"Nervous System Diseases"	"No Development Reported"	FALSE
"ADAM17"	"breast neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ADAM17"	"carcinoma, non-small-cell lung"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM17"	"colorectal neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM17"	"diabetic nephropathies"	"Male Urogenital Diseases"	"No Development Reported"	FALSE
"ADAM17"	"fallopian tube neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ADAM17"	"head and neck neoplasms"	"Neoplasms"	"No Development Reported"	FALSE
"ADAM17"	"inflammation"	"Pathological Conditions, Signs and Symptoms"	"No Development Reported"	FALSE
"ADAM17"	"inflammatory bowel diseases"	"Digestive System Diseases"	"Discontinued"	FALSE
"ADAM17"	"irritable bowel syndrome"	"Digestive System Diseases"	"No Development Reported"	FALSE
"ADAM17"	"multiple sclerosis"	"Nervous System Diseases"	"Discontinued"	FALSE
"ADAM17"	"neoplasms"	"Neoplasms"	"Discontinued"	FALSE
"ADAM17"	"ovarian neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
"ADAM17"	"peritoneal neoplasms"	"Neoplasms"	"Phase I Clinical Trial"	FALSE
