MSH	MSH.Top	Disease	Indication	Category
"anemia, pernicious"	Hemic and Lymphatic Diseases		"Anaemia, pernicious"	Blood
"anemia, sickle cell"	Hemic and Lymphatic Diseases		"Anaemia, sickle cell"	Blood
aneurysm	Cardiovascular Diseases		Aneurysm	Cardiovascular
angina pectoris	Cardiovascular Diseases		"Angina, unspecified"	Cardiovascular
"angina, unstable"	Cardiovascular Diseases		"Angina, unstable"	Cardiovascular
angioedema	Cardiovascular Diseases		"Angioedema, acquired"	Cardiovascular
"angioedemas, hereditary"	Cardiovascular Diseases	"Angioedema, hereditary, types I and II,  "	"Angioedema, hereditary"	Cardiovascular
anorexia	"Pathological Conditions, Signs and Symptoms"		"Anorexia, unspecified"	Neurological/behavioral
anorexia nervosa	Mental Disorders		Anorexia nervosa	Neurological/behavioral
anthrax	Bacterial Infections and Mycoses		"Infection, anthrax"	Infection
antiphospholipid syndrome	Immune System Diseases		Antiphospholipid syndrome	Autoimmune
antithrombin iii deficiency	Hemic and Lymphatic Diseases	"Thrombophilia due to antithrombin III deficiency,  "	Antithrombin III deficiency	Blood
anus neoplasms	Neoplasms		"Cancer, anal"	Oncology
anxiety	Behavior and Behavior Mechanisms		"Anxiety, unspecified"	Neurological/behavioral
anxiety disorders	Mental Disorders	"{Anxiety-related personality traits},  "	Generalized anxiety disorder	Neurological/behavioral
"anxiety, separation"	Mental Disorders		Separation anxiety disorder	Neurological/behavioral
aortic valve stenosis	Cardiovascular Diseases		"Stenosis, aortic valve"	Cardiovascular
apnea	Respiratory Tract Diseases		Apnoea	Respiratory
"arrhythmias, cardiac"	Cardiovascular Diseases		"Arrhythmia, unspecifed"	Cardiovascular
arthritis	Musculoskeletal Diseases		"Arthritis, unspecified"	Autoimmune
"arthritis, gouty"	Musculoskeletal Diseases		"Arthritis, gouty"	Autoimmune
"arthritis, juvenile rheumatoid"	Musculoskeletal Diseases		"Arthritis, juvenile"	Autoimmune
"arthritis, psoriatic"	Musculoskeletal Diseases		"Arthritis, psoriatic"	Autoimmune
"arthritis, rheumatoid"	Musculoskeletal Diseases		"Arthritis, rheumatoid"	Autoimmune
ascites	"Pathological Conditions, Signs and Symptoms"		Malignant ascites	Miscellaneous
aspergillosis	Bacterial Infections and Mycoses		"Infection, Aspergillus"	Infection
asthma	Respiratory Tract Diseases		Asthma	Respiratory
ataxia telangiectasia	Nervous System Diseases	"Ataxia-telangiectasia,  "	Ataxia telangiectasia	Neurological/behavioral
atherosclerosis	Cardiovascular Diseases		Atherosclerosis	Cardiovascular
atrial fibrillation	Cardiovascular Diseases		"Fibrillation, atrial"	Cardiovascular
attention deficit disorder with hyperactivity	Mental Disorders		Attention deficit hyperactivity disorder	Neurological/behavioral
autistic disorder	Mental Disorders		Autism	Neurological/behavioral
autoimmune diseases	Immune System Diseases	"{Autoimmune disease, susceptibility to, 6},  "	"Autoimmune disease, unspecified"	Autoimmune
bacterial infections	Bacterial Infections and Mycoses		"Infection, bacterial, unspecified"	Infection
barrett esophagus	Digestive System Diseases		Barrett's oesophagus	Oncology
basal cell nevus syndrome	Neoplasms	"Basal cell nevus syndrome,  "	Gorlin syndrome	Oncology
behcet syndrome	Stomatognathic Diseases		Behcet's disease	Autoimmune
biliary dyskinesia	Digestive System Diseases		"Dyskinesia, biliary"	Digestive system
biliary tract neoplasms	Neoplasms		"Cancer, biliary"	Oncology
binge-eating disorder	Mental Disorders		Binge eating disorder	Neurological/behavioral
bipolar disorder	Mental Disorders		"Depression, bipolar"	Neurological/behavioral
blepharitis	Eye Diseases		Blepharitis	Eye
blood coagulation disorders	Hemic and Lymphatic Diseases		"Blood/clotting disease, unspecified"	Blood
bone cysts	Neoplasms		"Cyst, bone"	Oncology
bone diseases	Musculoskeletal Diseases		"Bone disorder, unspecified"	Musculoskeletal
"bone diseases, metabolic"	Musculoskeletal Diseases		Osteopenia	Metabolic
bone neoplasms	Neoplasms		"Cancer, bone"	Oncology
bradycardia	Cardiovascular Diseases		Bradycardia	Cardiovascular
brain edema	Nervous System Diseases		"Oedema, cerebral"	Neurological/behavioral
brain ischemia	Nervous System Diseases		"Ischaemia, cerebral"	Neurological/behavioral
brain neoplasms	Neoplasms		"Cancer, brain"	Oncology
breast neoplasms	Neoplasms		"Cancer, breast"	Oncology
bronchiectasis	Respiratory Tract Diseases		Bronchiectasis	Respiratory
bronchiolitis obliterans	Respiratory Tract Diseases		Bronchiolitis obliterans	Respiratory
"bronchitis, chronic"	Respiratory Tract Diseases		"Bronchitis, chronic"	Respiratory
bronchopulmonary dysplasia	Respiratory Tract Diseases		"Dysplasia, bronchopulmonary, neonatal"	Respiratory
brucellosis	Bacterial Infections and Mycoses		"Infection, Brucella"	Infection
bulimia	"Pathological Conditions, Signs and Symptoms"		Bulimia	Neurological/behavioral
burkholderia infections	Bacterial Infections and Mycoses		"Infection, Burkholderia cepacia complex"	Infection
burns	Wounds and Injuries		Burns	Miscellaneous
bursitis	Musculoskeletal Diseases		Bursitis	Musculoskeletal
cachexia	"Pathological Conditions, Signs and Symptoms"		Cachexia	Musculoskeletal
candidiasis	Bacterial Infections and Mycoses		"Infection, Candida albicans"	Infection
capillary leak syndrome	Cardiovascular Diseases		Capillary leakage syndrome	Cardiovascular
"carbohydrate metabolism, inborn errors"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		Sucrase isomaltase deficiency	Metabolic
carcinoid tumor	Neoplasms		"Cancer, neuroendocrine, carcinoid"	Oncology
"carcinoma, merkel cell"	Virus Diseases		"Cancer, neuroendocrine, Merkel cell carcinoma"	Infection
"carcinoma, neuroendocrine"	Neoplasms		"Cancer, neuroendocrine, unspecified"	Oncology
"carcinoma, non-small-cell lung"	Neoplasms		"Cancer, lung, non-small cell"	Oncology
"carcinoma, renal cell"	Neoplasms		"Anaemia, renal disease-induced"	Oncology
"carcinoma, transitional cell"	Neoplasms		Vascular endothelial dysfunction	Oncology
cardiomyopathies	Cardiovascular Diseases		"Cardiomyopathy, ischaemic"	Cardiovascular
"cardiomyopathy, dilated"	Cardiovascular Diseases		"Cardiomyopathy, dilated"	Cardiovascular
"cardiomyopathy, hypertrophic"	Cardiovascular Diseases		"Cardiomyopathy, hypertrophic"	Cardiovascular
cardiovascular diseases	Cardiovascular Diseases		"Cardiovascular disease, unspecified"	Cardiovascular
cataplexy	Nervous System Diseases		Cataplexy	Neurological/behavioral
cataract	Eye Diseases		Cataract	Eye
celiac disease	Digestive System Diseases		Coeliac disease	Autoimmune
central nervous system neoplasms	Neoplasms		"Cancer, CNS"	Oncology
cerebral hemorrhage	Nervous System Diseases		"Haemorrhage, cerebral"	Neurological/behavioral
cerebral infarction	Nervous System Diseases	"{Cerebral infarction, susceptibility to},  "	"Infarction, cerebral"	Neurological/behavioral
cerebral palsy	Nervous System Diseases		Cerebral palsy	Neurological/behavioral
chlamydia infections	Bacterial Infections and Mycoses		"Infection, Chlamydia"	Infection
cholangitis	Digestive System Diseases		"Cholangitis, unspecified"	Digestive system
cholecystitis	Digestive System Diseases		"Cholecystitis, unspecified"	Digestive system
cholelithiasis	Digestive System Diseases		Cholelithiasis	Digestive system
chorioretinitis	Eye Diseases		"Retinitis, choroid"	Eye
choroidal neovascularization	Eye Diseases		Polypoidal choroidal vasculopathy	Eye
clostridium infections	Bacterial Infections and Mycoses		"Infection, Clostridium difficile"	Infection
cluster headache	Nervous System Diseases		"Headache, cluster"	Neurological/behavioral
cocaine-related disorders	Substance-Related Disorders		"Addiction, cocaine"	Neurological/behavioral
colic	"Pathological Conditions, Signs and Symptoms"		Infantile colic	Digestive system
colitis	Digestive System Diseases		"Colitis, unspecified"	Autoimmune
"colitis, ulcerative"	Digestive System Diseases		"Colitis, ulcerative"	Autoimmune
color vision defects	Nervous System Diseases		Achromatopsia	Eye
colorectal neoplasms	Neoplasms		"Cancer, colorectal"	Oncology
complex regional pain syndromes	Nervous System Diseases		"Pain, complex regional"	Neurological/behavioral
conduct disorder	Mental Disorders		Conduct disorder	Neurological/behavioral
conjunctivitis	Eye Diseases		"Conjunctivitis, unspecified"	Eye
"conjunctivitis, allergic"	Eye Diseases		"Conjunctivitis, allergic"	Eye
constipation	"Pathological Conditions, Signs and Symptoms"		"Constipation, chronic"	Digestive system
corneal ulcer	Bacterial Infections and Mycoses		"Ulcer, corneal"	Infection
coronary restenosis	Cardiovascular Diseases		Restenosis	Cardiovascular
coronary thrombosis	Cardiovascular Diseases		"Thrombosis, coronary"	Cardiovascular
coronavirus infections	Virus Diseases		"Infection, coronavirus"	Infection
cough	Respiratory Tract Diseases		Cough	Respiratory
craniocerebral trauma	Nervous System Diseases		Head trauma	Neurological/behavioral
creutzfeldt-jakob syndrome	Nervous System Diseases		Creutzfeldt-Jakob disease	Neurological/behavioral
crohn disease	Digestive System Diseases		Crohn's disease	Autoimmune
croup	Respiratory Tract Diseases		Croup	Respiratory
cryopyrin-associated periodic syndromes	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"CINCA syndrome,  "	Familial cold autoinflammatory syndrome	Metabolic
cryptococcosis	Bacterial Infections and Mycoses		"Infection, cryptococcal"	Infection
cystic fibrosis	Digestive System Diseases		Cystic fibrosis	Liver & kidney
cytomegalovirus infections	Virus Diseases		"Infection, cytomegalovirus"	Infection
dementia	Nervous System Diseases		"Dementia, Parkinson's disease"	Neurological/behavioral
"dementia, vascular"	Nervous System Diseases		"Dementia, vascular"	Neurological/behavioral
depression	Behavior and Behavior Mechanisms		"Depression, unspecified"	Neurological/behavioral
depressive disorder	Mental Disorders		"Depression, major depressive disorder"	Neurological/behavioral
"dermatitis, atopic"	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		"Eczema, allergic, unspecified"	Autoimmune
"dermatitis, contact"	Skin and Connective Tissue Diseases		"Eczema, contact"	Skin & connective tissue
"dermatitis, seborrheic"	Skin and Connective Tissue Diseases		"Eczema, seborrhoeic"	Skin & connective tissue
diabetes complications	Endocrine System Diseases		"Diabetic complication, unspecified"	Diabetes
diabetes insipidus	Male Urogenital Diseases		"Diabetes, insipidus"	Diabetes
"diabetes mellitus, type 1"	Nutritional and Metabolic Diseases		"Diabetes, Type 1"	Diabetes
"diabetes mellitus, type 2"	Nutritional and Metabolic Diseases		"Diabetes, Type 2"	Diabetes
"diabetes, gestational"	Female Urogenital Diseases and Pregnancy Complications		"Diabetes, gestational"	Diabetes
diabetic cardiomyopathies	Cardiovascular Diseases		"Cardiomyopathy, diabetic"	Cardiovascular
diabetic foot	Cardiovascular Diseases		"Ulcer, diabetic"	Cardiovascular
diabetic nephropathies	Male Urogenital Diseases		"Nephropathy, diabetic"	Diabetes
diabetic neuropathies	Nervous System Diseases		"Neuropathy, diabetic"	Neurological/behavioral
diabetic retinopathy	Eye Diseases		"Retinopathy, diabetic"	Diabetes
diarrhea	"Pathological Conditions, Signs and Symptoms"		Diarrhoea prophylaxis	Digestive system
diphtheria	Bacterial Infections and Mycoses		"Infection, diphtheria prophylaxis"	Infection
disseminated intravascular coagulation	Hemic and Lymphatic Diseases		Disseminated intravascular coagulation	Blood
diverticulitis	Bacterial Infections and Mycoses		Diverticulitis	Infection
down syndrome	Nervous System Diseases	"Leukemia, megakaryoblastic, with or without Down syndrome, somatic,  "	Down's syndrome	Neurological/behavioral
drug toxicity	Substance-Related Disorders		"Poisoning, drug"	Neurological/behavioral
"ductus arteriosus, patent"	Cardiovascular Diseases		Patent ductus arteriosus	Cardiovascular
duodenal ulcer	Digestive System Diseases		"Ulcer, duodenal"	Digestive system
dwarfism	Musculoskeletal Diseases		Dwarfism	Musculoskeletal
"dwarfism, pituitary"	Musculoskeletal Diseases		"Diagnosis, growth hormone deficiency"	Musculoskeletal
dyskinesias	Nervous System Diseases		"Dyskinesia, levodopa-induced"	Neurological/behavioral
dysmenorrhea	"Pathological Conditions, Signs and Symptoms"		Dysmenorrhoea	Urogenital
dyspareunia	Male Urogenital Diseases		Dyspareunia	Urogenital
dyspepsia	"Pathological Conditions, Signs and Symptoms"		"Dyspepsia, non-ulcer"	Digestive system
dystonia	Nervous System Diseases	"Dystonia 16,  "	"Dystonia, unspecified"	Neurological/behavioral
dysuria	"Pathological Conditions, Signs and Symptoms"		Dysuria	Urogenital
ear diseases	Otorhinolaryngologic Diseases		"Otological disorder, unspecified"	Miscellaneous
ectodermal dysplasia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		"Dysplasia, ectodermal"	Miscellaneous
eczema	Skin and Connective Tissue Diseases		"Eczema, unspecified"	Skin & connective tissue
edema	"Pathological Conditions, Signs and Symptoms"		"Oedema, hepatic"	Inflammation
"edema, cardiac"	Cardiovascular Diseases		"Oedema, cardiac"	Cardiovascular
emotions	Behavior and Behavior Mechanisms		Emotional lability	Neurological/behavioral
emphysema	"Pathological Conditions, Signs and Symptoms"		"Emphysema, unspecified"	Liver & kidney
encephalitis	Virus Diseases		"Inflammation, brain"	Infection
endometrial neoplasms	Neoplasms		"Cancer, endometrial"	Oncology
endometriosis	Female Urogenital Diseases and Pregnancy Complications		Endometriosis	Urogenital
endomyocardial fibrosis	Cardiovascular Diseases		"Fibrosis, myocardial"	Cardiovascular
"enterocolitis, necrotizing"	Digestive System Diseases		Necrotizing enterocolitis	Digestive system
enuresis	Male Urogenital Diseases		Enuresis	Urogenital
eosinophilic esophagitis	Digestive System Diseases		"Oesophagitis, eosinophilic"	Autoimmune
epidermolysis bullosa	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		Epidermolysis bullosa	Skin & connective tissue
"epilepsies, myoclonic"	Nervous System Diseases	"{Dravet syndrome, modifier of},  "	"Epilepsy, myoclonic"	Neurological/behavioral
"epilepsies, partial"	Nervous System Diseases		"Epilepsy, partial (focal, local)"	Neurological/behavioral
epilepsy	Nervous System Diseases		"Epilepsy, generalized, unspecified"	Neurological/behavioral
"epilepsy, tonic-clonic"	Nervous System Diseases		"Epilepsy, generalized, tonic-clonic"	Neurological/behavioral
epstein-barr virus infections	Virus Diseases		"Infection, Epstein-Barr virus"	Infection
erectile dysfunction	Male Urogenital Diseases		Impotence	Urogenital
erythema multiforme	Skin and Connective Tissue Diseases		Erythema multiforme	Autoimmune
erythromelalgia	Cardiovascular Diseases	"Small fiber neuropathy,  "	Erythromelalgia	Cardiovascular
escherichia coli infections	Bacterial Infections and Mycoses		"Infection, Escherichia coli prophylaxis"	Infection
esophageal neoplasms	Neoplasms		"Cancer, oesophageal"	Oncology
esophagitis	Digestive System Diseases		"Oesophagitis, radio/chemotherapy-induced"	Digestive system
"esophagitis, peptic"	Digestive System Diseases		"Oesophagitis, reflux"	Digestive system
essential tremor	Nervous System Diseases		Essential tremor	Neurological/behavioral
exocrine pancreatic insufficiency	Digestive System Diseases		Pancreatic insufficiency	Digestive system
exophthalmos	Eye Diseases		Exophthalmos	Eye
eye diseases	Eye Diseases		"Inflammation, ocular"	Eye
eye infections	Bacterial Infections and Mycoses		"Infection, ocular"	Infection
eye neoplasms	Neoplasms		"Cancer, ocular"	Oncology
fabry disease	Nervous System Diseases	"Fabry disease, cardiac variant,  "	Fabry's disease	Metabolic
factor xiii deficiency	Hemic and Lymphatic Diseases	"Factor XIIIB deficiency,  "	"Factor XIII deficiency, congenital"	Blood
fallopian tube neoplasms	Neoplasms		"Cancer, fallopian tube"	Oncology
familial mediterranean fever	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"Familial Mediterranean fever, AR,  "	Familial Mediterranean fever	Inflammation
"fasciitis, plantar"	Musculoskeletal Diseases		"Fasciitis, plantar"	Musculoskeletal
fatigue	"Pathological Conditions, Signs and Symptoms"		Cancer fatigue	Miscellaneous
"fatigue syndrome, chronic"	Virus Diseases		Chronic fatigue syndrome	Infection
fatty liver	Digestive System Diseases		Steatohepatitis	Liver & kidney
fecal incontinence	Digestive System Diseases		"Dysplasia, anal"	Digestive system
fetal death	Female Urogenital Diseases and Pregnancy Complications		Abortion	Urogenital
fever	"Pathological Conditions, Signs and Symptoms"		Fever	Inflammation
fibrocystic breast disease	Skin and Connective Tissue Diseases		Fibrocystic breast disorder	Skin & connective tissue
fibromyalgia	Musculoskeletal Diseases		Fibromyalgia	Musculoskeletal
fibrosarcoma	Neoplasms		"Cancer, sarcoma, fibro"	Oncology
fibrosis	"Pathological Conditions, Signs and Symptoms"		"Fibrosis, unspecified"	Inflammation
fissure in ano	Digestive System Diseases		Anal fissure	Digestive system
flatulence	"Pathological Conditions, Signs and Symptoms"		Flatulence	Digestive system
food hypersensitivity	Immune System Diseases		"Allergy, food"	Inflammation
fragile x syndrome	Nervous System Diseases		"Sex-chromosome abnormality, fragile X syndrome"	Neurological/behavioral
friedreich ataxia	Nervous System Diseases		"Ataxia, Friedreich's"	Neurological/behavioral
galactorrhea	Female Urogenital Diseases and Pregnancy Complications		"Galactorrhoea, hyperprolactinaemia associated"	Urogenital
gastritis	Digestive System Diseases		Gastritis	Digestive system
gastroenteritis	Digestive System Diseases		Gastroenteritis	Digestive system
gastroesophageal reflux	Digestive System Diseases		Gastro-oesophageal reflux	Digestive system
gastrointestinal diseases	Digestive System Diseases		"Diagnosis, GI"	Digestive system
gastrointestinal neoplasms	Neoplasms		"Cancer, gastrointestinal, stromal"	Oncology
gastroparesis	Digestive System Diseases		Gastroparesis	Digestive system
gaucher disease	Nervous System Diseases		Gaucher's disease	Metabolic
giant lymph node hyperplasia	Hemic and Lymphatic Diseases		Castleman's disease	Blood
glaucoma	Eye Diseases		Glaucoma	Eye
gliosarcoma	Neoplasms		"Cancer, sarcoma, glial"	Oncology
glomerulonephritis	Male Urogenital Diseases		Glomerulonephritis	Urogenital
"glomerulonephritis, membranoproliferative"	Male Urogenital Diseases		"Glomerulonephritis, membranoproliferative, type II"	Urogenital
glucose intolerance	Nutritional and Metabolic Diseases		Impaired glucose tolerance	Diabetes
glycogen storage disease type ii	Nervous System Diseases	"Glycogen storage disease II,  "	Pompe's disease	Metabolic
goiter	Endocrine System Diseases		"Goitre, non-toxic"	Endocrine
gonorrhea	Bacterial Infections and Mycoses		"Infection, gonorrhoea prophylaxis"	Infection
"granulomatous disease, chronic"	Hemic and Lymphatic Diseases		Chronic granulomatous disease	Blood
guillain-barre syndrome	Nervous System Diseases		Guillain-Barre syndrome	Neurological/behavioral
gynecomastia	Skin and Connective Tissue Diseases		Gynaecomastia	Skin & connective tissue
"hamartoma syndrome, multiple"	Neoplasms	"Lhermitte-Duclos syndrome,  "	Cowden syndrome	Oncology
hand-foot syndrome	Skin and Connective Tissue Diseases		Palmoplantar erythrodysesthesia	Skin & connective tissue
hantavirus infections	Virus Diseases		"Infection, Hantaan virus"	Infection
head and neck neoplasms	Neoplasms		"Cancer, head and neck"	Oncology
headache	Nervous System Diseases		"Headache, unspecified"	Neurological/behavioral
hearing loss	Otorhinolaryngologic Diseases		Hearing loss	Miscellaneous
heart failure	Cardiovascular Diseases		"Anaemia, heart failure-induced"	Cardiovascular
helicobacter infections	Bacterial Infections and Mycoses	"{H. pylori infection, susceptibility to},  "	"Infection, Helicobacter pylori"	Infection
hematologic neoplasms	Neoplasms		"Cancer, haematological, unspecified"	Oncology
hemiplegia	Nervous System Diseases		"Hemiplegia, alternating"	Neurological/behavioral
hemochromatosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"	"{HFE hemochromatosis, modifier of},  "	"Haemochromatosis, primary"	Blood
hemolytic-uremic syndrome	Male Urogenital Diseases		Haemolytic uraemic syndrome	Blood
hemophilia a	Hemic and Lymphatic Diseases	"Hemophilia A,  "	Haemophilia A	Blood
hemophilia b	Hemic and Lymphatic Diseases	"Hemophilia B,  "	Haemophilia B	Blood
hemorrhage	"Pathological Conditions, Signs and Symptoms"		"Haemorrhage, unspecified"	Blood
"hemorrhagic fever, ebola"	Virus Diseases		"Infection, Ebola virus"	Infection
"hemorrhagic fevers, viral"	Virus Diseases		"Infection, haemorrhagic fever"	Infection
hepatitis	Digestive System Diseases		"Hepatitis, non-infectious"	Digestive system
hepatitis a	Virus Diseases		"Infection, hepatitis-A virus"	Infection
hepatitis b	Virus Diseases		"Infection, hepatitis-B virus"	Infection
hepatitis c	Virus Diseases		"Infection, hepatitis-C virus"	Infection
hepatitis d	Virus Diseases		"Infection, hepatitis-D virus"	Infection
"hepatitis, viral, human"	Virus Diseases		"Infection, hepatitis virus, unspecified"	Infection
hepatolenticular degeneration	Digestive System Diseases	"Wilson disease,  "	Wilson's disease	Digestive system
hepatorenal syndrome	Digestive System Diseases		Hepatorenal syndrome	Digestive system
hereditary sensory and motor neuropathy	Nervous System Diseases		"Neuropathy, multifocal motor"	Neurological/behavioral
herpes simplex	Virus Diseases		"Infection, herpes simplex virus"	Infection
herpes zoster	Virus Diseases		"Infection, varicella zoster virus"	Infection
herpesviridae infections	Virus Diseases		"Infection, herpes virus prophylaxis, unspecified"	Infection
hidradenitis suppurativa	Bacterial Infections and Mycoses		Hidradenitis suppurativa	Infection
hirsutism	Skin and Connective Tissue Diseases		Hirsutism	Skin & connective tissue
hiv infections	Virus Diseases		"Infection, HIV prophylaxis"	Infection
hodgkin disease	Neoplasms		"Cancer, lymphoma, Hodgkin's"	Oncology
homocystinuria	Nervous System Diseases		Homocystinuria	Metabolic
huntington disease	Nervous System Diseases		Huntington's disease	Neurological/behavioral
hyperaldosteronism	Endocrine System Diseases		Hyperaldosteronism	Endocrine
hyperammonemia	"Pathological Conditions, Signs and Symptoms"		Hyperammonaemia	Metabolic
hyperbilirubinemia	"Pathological Conditions, Signs and Symptoms"		Hyperbilirubinaemia	Liver & kidney
hypercalcemia	Nutritional and Metabolic Diseases		Hypercalcaemia of malignancy	Metabolic
hypercholesterolemia	Nutritional and Metabolic Diseases		Hypercholesterolaemia	Cardiovascular
hypereosinophilic syndrome	Hemic and Lymphatic Diseases		"Hypereosinophilic syndrome, idiopathic"	Blood
hyper-igm immunodeficiency syndrome	Hemic and Lymphatic Diseases		Hyper-IgM syndrome	Blood
hyperlipidemias	Nutritional and Metabolic Diseases		"Hyperlipidaemia, unspecified"	Cardiovascular
hyperoxaluria	Male Urogenital Diseases		Hyperoxaluria	Urogenital
hyperparathyroidism	Endocrine System Diseases		Hyperparathyroidism	Endocrine
hyperphosphatemia	Nutritional and Metabolic Diseases		Hyperphosphataemia	Metabolic
hyperprolactinemia	Nervous System Diseases		Hyperprolactinaemia	Neurological/behavioral
hypersensitivity	Immune System Diseases		"Allergy, animal"	Inflammation
hypertension	Cardiovascular Diseases		"Hypertension, diabetic"	Cardiovascular
"hypertension, portal"	Digestive System Diseases		"Hypertension, portal"	Digestive system
"hypertension, pulmonary"	Respiratory Tract Diseases	"Pulmonary hypertension, primary, fenfluramine or dexfenfluramine-associated,   Pulmonary venoocclusive disease, 265450 "	"Hypertension, pulmonary"	Respiratory
hyperthyroidism	Endocrine System Diseases		Hyperthyroidism	Endocrine
hypertriglyceridemia	Nutritional and Metabolic Diseases		Hypertriglyceridaemia	Cardiovascular
hyperuricemia	"Pathological Conditions, Signs and Symptoms"		Hyperuricaemia	Metabolic
hypoalbuminemia	Hemic and Lymphatic Diseases		Hypoalbuminaemia	Blood
hypocalcemia	Nutritional and Metabolic Diseases		"Hypocalcaemia, autosomal dominant with hypercalciuria"	Metabolic
hypoglycemia	Nutritional and Metabolic Diseases		Hypoglycaemia	Metabolic
hypogonadism	Endocrine System Diseases	"Hypogonadotropic hypogonadism 7 with or without anosmia,  "	Hypogonadism	Endocrine
hyponatremia	Nutritional and Metabolic Diseases		Hyponatraemia	Metabolic
hypoparathyroidism	Endocrine System Diseases		Hypoparathyroidism	Endocrine
hypophosphatasia	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		Hypophosphatasia	Miscellaneous
hypophosphatemia	Nutritional and Metabolic Diseases		Hypophosphataemia	Metabolic
hypoprothrombinemias	Hemic and Lymphatic Diseases		Hypoprothrombinaemia	Blood
hypotension	Cardiovascular Diseases		Hypotension	Cardiovascular
hypothermia	"Pathological Conditions, Signs and Symptoms"		Hypothermia	Miscellaneous
hypotrichosis	Skin and Connective Tissue Diseases		"Hypotrichosis, eyelashes"	Skin & connective tissue
ichthyosis	"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"		Ichthyosis	Skin & connective tissue
idiopathic pulmonary fibrosis	Respiratory Tract Diseases		"Fibrosis, pulmonary, idiopathic"	Respiratory
iga deficiency	Hemic and Lymphatic Diseases		"Immunodeficiency, IgA deficiency"	Blood
igg deficiency	Hemic and Lymphatic Diseases		"Immunodeficiency, IgG deficiency"	Blood
ileus	Digestive System Diseases		Ileus	Digestive system
immune system diseases	Immune System Diseases		"Immunological disease, unspecified"	Inflammation
