ti_uid	phasenum	phase	maxphasenum	maxphase	n_drugs
ABCA1-D050197	2	Preclinical	5	Phase III	1
ABCA1-D065626	5	Phase III	5	Phase III	2
ABCA4-D008268	2	Preclinical	2	Preclinical	9
ABCA4-D008268	4	Phase II	4	Phase II	1
ABCA4-D012174	2	Preclinical	2	Preclinical	1
ABCB1-D001943	6	Launched	6	Launched	1
ABCB1-D002289	6	Launched	6	Launched	1
ABCB1-D006086	5	Phase III	5	Phase III	1
ABCB1-D007239	2	Preclinical	2	Preclinical	1
ABCB1-D007938	6	Launched	6	Launched	1
ABCB1-D008268	2	Preclinical	2	Preclinical	1
ABCB1-D009369	2	Preclinical	2	Preclinical	9
ABCB1-D009369	6	Launched	6	Launched	1
ABCB1-D015212	2	Preclinical	2	Preclinical	1
ABCB11-C535934	2	Preclinical	2	Preclinical	1
ABCB4-C535935	2	Preclinical	2	Preclinical	2
ABCC1-D001749	2	Preclinical	2	Preclinical	1
ABCC1-D001943	2	Preclinical	2	Preclinical	1
ABCC1-D002289	2	Preclinical	2	Preclinical	1
ABCC1-D003424	3	Phase I	4	Phase II	1
ABCC1-D003967	2	Preclinical	4	Phase II	1
ABCC1-D005334	2	Preclinical	4	Phase II	1
ABCC1-D005767	4	Phase II	4	Phase II	1
ABCC1-D006258	2	Preclinical	2	Preclinical	1
ABCC1-D007239	2	Preclinical	4	Phase II	1
ABCC1-D007249	2	Preclinical	4	Phase II	1
ABCC1-D008107	2	Preclinical	4	Phase II	1
ABCC1-D008113	4	Phase II	4	Phase II	1
ABCC1-D008268	2	Preclinical	2	Preclinical	1
ABCC1-D008545	2	Preclinical	2	Preclinical	1
ABCC1-D009325	2	Preclinical	4	Phase II	1
ABCC1-D009369	2	Preclinical	2	Preclinical	3
ABCC1-D010190	4	Phase II	4	Phase II	1
ABCC1-D011471	2	Preclinical	2	Preclinical	1
ABCC1-D014839	2	Preclinical	4	Phase II	1
ABCC1-D015179	4	Phase II	4	Phase II	1
ABCC1-D015212	2	Preclinical	2	Preclinical	1
ABCC1-D015212	2	Preclinical	4	Phase II	1
ABCC1-D059226	2	Preclinical	4	Phase II	1
ABCC4-D009369	2	Preclinical	2	Preclinical	1
ABCC8-D000070642	4	Phase II	5	Phase III	1
ABCC8-D000787	2	Preclinical	2	Preclinical	1
ABCC8-D002545	5	Phase III	5	Phase III	1
ABCC8-D003920	2	Preclinical	2	Preclinical	2
ABCC8-D003920	6	Launched	6	Launched	1
ABCC8-D003924	2	Preclinical	2	Preclinical	2
ABCC8-D003924	6	Launched	6	Launched	1
ABCC8-D006973	2	Preclinical	2	Preclinical	1
ABCC8-D009203	3	Phase I	5	Phase III	1
ABCC8-D013119	4	Phase II	5	Phase III	1
ABCC8-D013345	3	Phase I	5	Phase III	1
ABCC8-D020521	5	Phase III	5	Phase III	1
ABCC9-D000505	6	Launched	6	Launched	2
ABCC9-D000506	6	Launched	6	Launched	1
ABCC9-D000787	2	Preclinical	2	Preclinical	1
ABCC9-D002318	2	Preclinical	2	Preclinical	1
ABCC9-D003920	2	Preclinical	2	Preclinical	1
ABCC9-D006973	2	Preclinical	2	Preclinical	1
ABCC9-D007676	2	Preclinical	2	Preclinical	1
ABCC9-D058186	2	Preclinical	2	Preclinical	1
ABCD1-D000326	2	Preclinical	2	Preclinical	3
ABCD1-D000326	2	Preclinical	4	Phase II	1
ABCD1-D000326	3	Phase I	3	Phase I	1
ABCD1-D000326	6	Launched	6	Launched	1
ABCD1-D005953	2	Preclinical	4	Phase II	1
ABCD1-D006937	4	Phase II	4	Phase II	1
ABCD1-D065626	4	Phase II	4	Phase II	1
ABCG2-D009369	2	Preclinical	2	Preclinical	2
ABCG5-D006949	2	Preclinical	2	Preclinical	1
ABCG8-D006949	2	Preclinical	2	Preclinical	1
ABL1-D000086382	4	Phase II	4	Phase II	1
ABL1-D000086382	5	Phase III	6	Launched	1
ABL1-D000544	2	Preclinical	2	Preclinical	1
ABL1-D000544	2	Preclinical	5	Phase III	1
ABL1-D000544	5	Phase III	5	Phase III	1
ABL1-D000690	2	Preclinical	2	Preclinical	2
ABL1-D000690	3	Phase I	3	Phase I	1
ABL1-D001650	4	Phase II	6	Launched	1
ABL1-D001932	4	Phase II	4	Phase II	1
ABL1-D001932	4	Phase II	6	Launched	2
ABL1-D001943	4	Phase II	4	Phase II	2
ABL1-D001943	4	Phase II	6	Launched	2
ABL1-D002289	4	Phase II	4	Phase II	2
ABL1-D002289	4	Phase II	6	Launched	2
ABL1-D003680	3	Phase I	4	Phase II	1
ABL1-D004686	4	Phase II	6	Launched	1
ABL1-D004938	4	Phase II	4	Phase II	1
ABL1-D005128	2	Preclinical	2	Preclinical	1
ABL1-D005909	4	Phase II	4	Phase II	1
ABL1-D005909	4	Phase II	6	Launched	2
ABL1-D006258	2	Preclinical	2	Preclinical	1
ABL1-D006258	4	Phase II	6	Launched	1
ABL1-D006816	3	Phase I	5	Phase III	1
ABL1-D006976	3	Phase I	3	Phase I	1
ABL1-D006976	4	Phase II	6	Launched	1
ABL1-D006976	5	Phase III	5	Phase III	1
ABL1-D007674	2	Preclinical	2	Preclinical	1
ABL1-D007680	3	Phase I	6	Launched	1
ABL1-D007680	4	Phase II	4	Phase II	1
ABL1-D007690	4	Phase II	6	Launched	1
ABL1-D007938	2	Preclinical	2	Preclinical	2
ABL1-D007938	4	Phase II	6	Launched	1
ABL1-D007968	2	Preclinical	2	Preclinical	2
ABL1-D008415	4	Phase II	6	Launched	1
ABL1-D008527	4	Phase II	4	Phase II	1
ABL1-D008527	4	Phase II	6	Launched	2
ABL1-D008545	3	Phase I	6	Launched	1
ABL1-D008545	4	Phase II	6	Launched	2
ABL1-D008654	4	Phase II	4	Phase II	1
ABL1-D009101	3	Phase I	6	Launched	1
ABL1-D009101	4	Phase II	4	Phase II	1
ABL1-D009190	4	Phase II	4	Phase II	2
ABL1-D009190	4	Phase II	6	Launched	1
ABL1-D009369	2	Preclinical	2	Preclinical	16
ABL1-D009369	3	Phase I	3	Phase I	2
ABL1-D009369	3	Phase I	4	Phase II	1
ABL1-D009369	3	Phase I	6	Launched	1
ABL1-D009369	4	Phase II	4	Phase II	3
ABL1-D009369	4	Phase II	6	Launched	1
ABL1-D010051	3	Phase I	6	Launched	1
ABL1-D010051	4	Phase II	4	Phase II	3
ABL1-D010190	4	Phase II	4	Phase II	1
ABL1-D010190	4	Phase II	6	Launched	2
ABL1-D010300	2	Preclinical	2	Preclinical	3
ABL1-D010300	3	Phase I	3	Phase I	1
ABL1-D010300	4	Phase II	4	Phase II	1
ABL1-D010300	4	Phase II	5	Phase III	1
ABL1-D010300	4	Phase II	6	Launched	1
ABL1-D010300	5	Phase III	5	Phase III	1
ABL1-D011087	4	Phase II	6	Launched	1
ABL1-D011471	4	Phase II	4	Phase II	2
ABL1-D011471	5	Phase III	6	Launched	1
ABL1-D012128	4	Phase II	4	Phase II	1
ABL1-D012509	3	Phase I	6	Launched	1
ABL1-D012899	2	Preclinical	2	Preclinical	1
ABL1-D013274	4	Phase II	6	Launched	1
ABL1-D015179	4	Phase II	4	Phase II	2
ABL1-D015179	4	Phase II	6	Launched	1
ABL1-D015451	4	Phase II	4	Phase II	1
ABL1-D015451	4	Phase II	6	Launched	1
ABL1-D015464	2	Preclinical	2	Preclinical	17
ABL1-D015464	3	Phase I	3	Phase I	2
ABL1-D015464	3	Phase I	4	Phase II	1
ABL1-D015464	4	Phase II	4	Phase II	5
ABL1-D015464	5	Phase III	5	Phase III	1
ABL1-D015464	6	Launched	6	Launched	7
ABL1-D015470	2	Preclinical	2	Preclinical	3
ABL1-D015470	2	Preclinical	6	Launched	1
ABL1-D015470	3	Phase I	3	Phase I	1
ABL1-D015470	3	Phase I	4	Phase II	1
ABL1-D015470	4	Phase II	4	Phase II	3
ABL1-D015470	5	Phase III	5	Phase III	1
ABL1-D015470	5	Phase III	6	Launched	1
ABL1-D015470	6	Launched	6	Launched	1
ABL1-D016889	4	Phase II	4	Phase II	1
ABL1-D017681	4	Phase II	6	Launched	1
ABL1-D019142	2	Preclinical	2	Preclinical	1
ABL1-D019337	3	Phase I	3	Phase I	1
ABL1-D019337	3	Phase I	4	Phase II	1
ABL1-D019337	3	Phase I	6	Launched	1
ABL1-D019337	4	Phase II	4	Phase II	1
ABL1-D019578	2	Preclinical	2	Preclinical	1
ABL1-D019578	2	Preclinical	4	Phase II	1
ABL1-D020961	2	Preclinical	2	Preclinical	1
ABL1-D020961	4	Phase II	4	Phase II	1
ABL1-D020961	4	Phase II	5	Phase III	2
ABL1-D046152	2	Preclinical	2	Preclinical	1
ABL1-D046152	3	Phase I	6	Launched	1
ABL1-D046152	4	Phase II	6	Launched	1
ABL1-D046152	5	Phase III	6	Launched	1
ABL1-D054198	2	Preclinical	2	Preclinical	3
ABL1-D054198	3	Phase I	3	Phase I	2
ABL1-D054198	3	Phase I	4	Phase II	1
ABL1-D054198	3	Phase I	6	Launched	1
ABL1-D054198	4	Phase II	4	Phase II	3
ABL1-D054198	4	Phase II	6	Launched	3
ABL1-D054198	6	Launched	6	Launched	2
ABL1-D054990	4	Phase II	4	Phase II	1
ABL1-D055496	3	Phase I	4	Phase II	1
ABL1-D055752	4	Phase II	4	Phase II	1
ACACA-D000152	3	Phase I	3	Phase I	1
ACACA-D000152	4	Phase II	4	Phase II	1
ACACA-D002289	2	Preclinical	2	Preclinical	1
ACACA-D003920	2	Preclinical	2	Preclinical	2
ACACA-D003924	2	Preclinical	2	Preclinical	1
ACACA-D003924	2	Preclinical	4	Phase II	1
ACACA-D003924	4	Phase II	4	Phase II	1
ACACA-D008113	2	Preclinical	2	Preclinical	1
ACACA-D008113	2	Preclinical	4	Phase II	1
ACACA-D008659	2	Preclinical	2	Preclinical	1
ACACA-D009765	2	Preclinical	2	Preclinical	5
ACACA-D009765	2	Preclinical	4	Phase II	1
ACACA-D015228	2	Preclinical	4	Phase II	1
ACACA-D065626	2	Preclinical	2	Preclinical	1
ACACA-D065626	4	Phase II	4	Phase II	1
ACACB-D000152	3	Phase I	3	Phase I	1
ACACB-D000152	4	Phase II	4	Phase II	1
ACACB-D003920	2	Preclinical	2	Preclinical	3
ACACB-D003924	2	Preclinical	2	Preclinical	1
ACACB-D003924	4	Phase II	4	Phase II	1
ACACB-D008659	2	Preclinical	2	Preclinical	1
ACACB-D009765	2	Preclinical	2	Preclinical	5
ACACB-D065626	3	Phase I	3	Phase I	1
ACAN-D010003	4	Phase II	4	Phase II	1
ACAN-D013119	2	Preclinical	2	Preclinical	1
ACAN-D059352	2	Preclinical	4	Phase II	1
ACE-D000755	3	Phase I	3	Phase I	1
ACE-D002100	5	Phase III	5	Phase III	1
ACE-D002318	2	Preclinical	2	Preclinical	3
ACE-D003139	3	Phase I	3	Phase I	1
ACE-D003715	3	Phase I	3	Phase I	1
ACE-D003920	2	Preclinical	2	Preclinical	1
ACE-D003928	4	Phase II	4	Phase II	1
ACE-D006333	2	Preclinical	2	Preclinical	2
ACE-D006333	4	Phase II	4	Phase II	1
ACE-D006333	5	Phase III	5	Phase III	1
ACE-D006333	6	Launched	6	Launched	2
ACE-D006937	4	Phase II	4	Phase II	1
ACE-D006973	2	Preclinical	2	Preclinical	6
ACE-D006973	3	Phase I	3	Phase I	1
ACE-D006973	4	Phase II	4	Phase II	2
ACE-D006973	5	Phase III	5	Phase III	1
ACE-D006973	6	Launched	6	Launched	2
ACE-D007251	3	Phase I	3	Phase I	1
ACE-D007676	4	Phase II	4	Phase II	1
ACE-D009203	6	Launched	6	Launched	1
ACE-D009765	2	Preclinical	2	Preclinical	2
ACE-D014901	3	Phase I	3	Phase I	1
ACE-D015658	3	Phase I	3	Phase I	1
ACE-D020529	3	Phase I	3	Phase I	1
ACE-D024821	2	Preclinical	2	Preclinical	1
ACE-D045169	3	Phase I	3	Phase I	1
ACE-D050197	2	Preclinical	2	Preclinical	1
ACE-D054058	5	Phase III	5	Phase III	1
ACE-D059226	3	Phase I	3	Phase I	1
ACE2-D000086382	2	Preclinical	2	Preclinical	10
ACE2-D000086382	4	Phase II	4	Phase II	2
ACE2-D003093	4	Phase II	4	Phase II	1
ACE2-D006333	2	Preclinical	2	Preclinical	1
ACE2-D006333	3	Phase I	4	Phase II	1
ACE2-D006976	2	Preclinical	2	Preclinical	1
ACE2-D006976	4	Phase II	4	Phase II	1
ACE2-D007249	3	Phase I	4	Phase II	1
ACE2-D008107	3	Phase I	4	Phase II	1
ACE2-D009203	3	Phase I	4	Phase II	1
ACE2-D009369	2	Preclinical	2	Preclinical	1
ACE2-D009369	3	Phase I	4	Phase II	1
ACE2-D009765	4	Phase II	4	Phase II	1
ACE2-D012120	2	Preclinical	2	Preclinical	1
ACE2-D012128	2	Preclinical	2	Preclinical	1
ACE2-D012128	4	Phase II	4	Phase II	1
ACE2-D029424	2	Preclinical	4	Phase II	1
ACE2-D055371	4	Phase II	4	Phase II	1
ACHE-D000070642	3	Phase I	5	Phase III	1
ACHE-D000437	2	Preclinical	2	Preclinical	1
ACHE-D000437	4	Phase II	4	Phase II	1
ACHE-D000544	2	Preclinical	2	Preclinical	13
ACHE-D000544	2	Preclinical	3	Phase I	2
ACHE-D000544	3	Phase I	3	Phase I	11
ACHE-D000544	4	Phase II	4	Phase II	6
ACHE-D000544	5	Phase III	5	Phase III	2
ACHE-D000544	6	Launched	6	Launched	11
ACHE-D000690	4	Phase II	4	Phase II	1
ACHE-D000762	6	Launched	6	Launched	2
ACHE-D001008	2	Preclinical	2	Preclinical	1
ACHE-D001906	2	Preclinical	2	Preclinical	1
ACHE-D002100	2	Preclinical	2	Preclinical	1
ACHE-D002545	4	Phase II	4	Phase II	1
ACHE-D003072	2	Preclinical	2	Preclinical	3
ACHE-D003093	4	Phase II	4	Phase II	1
ACHE-D003248	2	Preclinical	6	Launched	1
ACHE-D003704	2	Preclinical	2	Preclinical	2
ACHE-D003704	3	Phase I	3	Phase I	2
ACHE-D003704	6	Launched	6	Launched	1
ACHE-D003863	2	Preclinical	2	Preclinical	1
ACHE-D003872	2	Preclinical	2	Preclinical	1
ACHE-D003920	2	Preclinical	2	Preclinical	1
ACHE-D003929	4	Phase II	4	Phase II	1
ACHE-D004415	6	Launched	6	Launched	1
ACHE-D004827	3	Phase I	3	Phase I	1
ACHE-D004828	3	Phase I	3	Phase I	1
ACHE-D004831	2	Preclinical	3	Phase I	1
ACHE-D005128	2	Preclinical	2	Preclinical	1
ACHE-D005756	3	Phase I	3	Phase I	1
ACHE-D005764	2	Preclinical	6	Launched	1
ACHE-D008268	2	Preclinical	2	Preclinical	1
ACHE-D009157	4	Phase II	4	Phase II	1
ACHE-D009422	2	Preclinical	2	Preclinical	4
ACHE-D009422	2	Preclinical	3	Phase I	1
ACHE-D009437	4	Phase II	4	Phase II	1
ACHE-D011041	2	Preclinical	2	Preclinical	2
ACHE-D012859	4	Phase II	4	Phase II	1
ACHE-D013514	6	Launched	6	Launched	2
ACHE-D014029	2	Preclinical	2	Preclinical	1
ACHE-D014029	4	Phase II	4	Phase II	1
ACHE-D014245	6	Launched	6	Launched	1
ACHE-D014987	4	Phase II	4	Phase II	1
ACHE-D015212	4	Phase II	4	Phase II	1
ACHE-D016055	2	Preclinical	2	Preclinical	1
ACHE-D016055	4	Phase II	4	Phase II	1
ACHE-D018589	2	Preclinical	6	Launched	1
ACHE-D020521	4	Phase II	4	Phase II	1
ACHE-D020820	2	Preclinical	2	Preclinical	3
ACHE-D020961	6	Launched	6	Launched	2
ACHE-D043183	2	Preclinical	6	Launched	1
ACHE-D060737	6	Launched	6	Launched	1
ACHE-D062025	2	Preclinical	2	Preclinical	2
ACHE-D062025	3	Phase I	3	Phase I	1
ACHE-D065768	2	Preclinical	3	Phase I	1
ACKR3-D001932	2	Preclinical	2	Preclinical	2
ACKR3-D005909	2	Preclinical	2	Preclinical	2
ACKR3-D007154	3	Phase I	3	Phase I	1
ACKR3-D008527	2	Preclinical	2	Preclinical	2
ACKR3-D009369	2	Preclinical	2	Preclinical	2
ACKR3-D009369	3	Phase I	3	Phase I	1
ACKR3-D015179	2	Preclinical	2	Preclinical	1
ACLY-D002318	2	Preclinical	2	Preclinical	1
ACLY-D006949	2	Preclinical	2	Preclinical	1
ACLY-D007154	2	Preclinical	2	Preclinical	1
ACLY-D008659	2	Preclinical	2	Preclinical	2
ACLY-D009369	2	Preclinical	2	Preclinical	2
ACLY-D009422	2	Preclinical	2	Preclinical	1
ACLY-D051437	2	Preclinical	2	Preclinical	1
ACLY-D065626	2	Preclinical	2	Preclinical	1
ACMSD-D000086382	2	Preclinical	2	Preclinical	1
ACMSD-D005235	2	Preclinical	2	Preclinical	1
ACMSD-D008659	2	Preclinical	2	Preclinical	1
ACMSD-D058186	2	Preclinical	2	Preclinical	2
ACMSD-D065626	2	Preclinical	2	Preclinical	1
ACPP-D011471	2	Preclinical	2	Preclinical	2
ACPP-D011471	3	Phase I	3	Phase I	1
ACPP-D011471	4	Phase II	4	Phase II	1
ACR-D000071243	2	Preclinical	6	Launched	1
ACR-D000086382	6	Launched	6	Launched	1
ACR-D000258	2	Preclinical	6	Launched	1
ACR-D003267	2	Preclinical	6	Launched	1
ACR-D006566	3	Phase I	6	Launched	1
ACR-D015658	4	Phase II	6	Launched	1
ACR-D030361	2	Preclinical	6	Launched	1
ACR-D060737	6	Launched	6	Launched	1
ACSS2-D000437	2	Preclinical	2	Preclinical	1
ACSS2-D000544	2	Preclinical	2	Preclinical	1
ACSS2-D008288	2	Preclinical	2	Preclinical	2
ACSS2-D009369	2	Preclinical	2	Preclinical	1
ACSS2-D009369	3	Phase I	3	Phase I	1
ACSS2-D013313	2	Preclinical	2	Preclinical	1
ACSS2-D019966	2	Preclinical	2	Preclinical	1
ACVR1-D000740	4	Phase II	4	Phase II	2
ACVR1-D002289	3	Phase I	6	Launched	1
ACVR1-D006976	2	Preclinical	6	Launched	1
ACVR1-D009101	4	Phase II	4	Phase II	1
ACVR1-D009190	4	Phase II	4	Phase II	1
ACVR1-D009221	2	Preclinical	2	Preclinical	3
ACVR1-D009221	3	Phase I	3	Phase I	3
ACVR1-D009221	4	Phase II	4	Phase II	2
ACVR1-D009221	5	Phase III	5	Phase III	1
ACVR1-D009369	2	Preclinical	2	Preclinical	1
ACVR1-D009369	3	Phase I	4	Phase II	1
ACVR1-D010190	5	Phase III	6	Launched	1
ACVR1-D011087	5	Phase III	6	Launched	1
ACVR1-D013922	5	Phase III	6	Launched	1
ACVR1-D018798	2	Preclinical	2	Preclinical	1
ACVR1-D018798	3	Phase I	3	Phase I	1
ACVR1-D018979	3	Phase I	5	Phase III	1
ACVR1-D019337	2	Preclinical	2	Preclinical	1
ACVR1-D051437	3	Phase I	4	Phase II	1
ACVR1-D055728	4	Phase II	4	Phase II	1
ACVR1-D055728	6	Launched	6	Launched	1
ACVR1C-D009765	2	Preclinical	2	Preclinical	1
ACVR2A-D000740	4	Phase II	4	Phase II	1
ACVR2A-D000740	4	Phase II	5	Phase III	1
ACVR2A-D002100	2	Preclinical	2	Preclinical	1
ACVR2A-D003928	4	Phase II	5	Phase III	1
ACVR2A-D006976	5	Phase III	5	Phase III	1
ACVR2A-D007676	4	Phase II	5	Phase III	1
ACVR2A-D008659	2	Preclinical	2	Preclinical	1
ACVR2A-D009190	4	Phase II	5	Phase III	1
ACVR2A-D010024	4	Phase II	5	Phase III	1
ACVR2A-D012010	4	Phase II	5	Phase III	1
ACVR2A-D013789	4	Phase II	5	Phase III	1
ACVR2A-D013921	4	Phase II	4	Phase II	1
ACVR2A-D019337	2	Preclinical	2	Preclinical	1
ACVR2A-D020388	3	Phase I	4	Phase II	1
ACVR2A-D020391	3	Phase I	4	Phase II	1
ACVR2B-D000690	2	Preclinical	2	Preclinical	1
ACVR2B-D000740	2	Preclinical	2	Preclinical	1
ACVR2B-D002100	2	Preclinical	2	Preclinical	2
ACVR2B-D002100	4	Phase II	5	Phase III	1
ACVR2B-D003924	4	Phase II	5	Phase III	1
ACVR2B-D009133	2	Preclinical	2	Preclinical	1
ACVR2B-D009133	4	Phase II	5	Phase III	1
ACVR2B-D009134	3	Phase I	3	Phase I	1
ACVR2B-D009369	2	Preclinical	2	Preclinical	1
ACVR2B-D009369	3	Phase I	3	Phase I	1
ACVR2B-D009765	2	Preclinical	5	Phase III	1
ACVR2B-D010051	3	Phase I	3	Phase I	1
ACVR2B-D010534	3	Phase I	3	Phase I	1
ACVR2B-D018979	5	Phase III	5	Phase III	1
ACVR2B-D055948	4	Phase II	5	Phase III	1
ACVR2B-NA	2	Preclinical	2	Preclinical	1
ACVRL1-D000690	3	Phase I	3	Phase I	1
ACVRL1-D000740	4	Phase II	6	Launched	1
ACVRL1-D000755	2	Preclinical	6	Launched	1
ACVRL1-D001172	4	Phase II	4	Phase II	1
ACVRL1-D001749	4	Phase II	4	Phase II	1
ACVRL1-D001932	4	Phase II	4	Phase II	1
ACVRL1-D001943	2	Preclinical	4	Phase II	1
ACVRL1-D001943	4	Phase II	4	Phase II	1
ACVRL1-D002607	4	Phase II	4	Phase II	1
ACVRL1-D004938	4	Phase II	4	Phase II	1
ACVRL1-D005355	3	Phase I	3	Phase I	1
ACVRL1-D005909	4	Phase II	4	Phase II	1
ACVRL1-D006258	4	Phase II	4	Phase II	1
ACVRL1-D007680	2	Preclinical	4	Phase II	1
ACVRL1-D007680	4	Phase II	4	Phase II	1
ACVRL1-D008113	4	Phase II	4	Phase II	2
ACVRL1-D008268	2	Preclinical	4	Phase II	1
ACVRL1-D008268	4	Phase II	4	Phase II	1
ACVRL1-D008527	4	Phase II	4	Phase II	1
ACVRL1-D009101	4	Phase II	4	Phase II	1
ACVRL1-D009134	3	Phase I	3	Phase I	1
ACVRL1-D009140	3	Phase I	3	Phase I	1
ACVRL1-D009190	6	Launched	6	Launched	1
ACVRL1-D009220	2	Preclinical	4	Phase II	1
ACVRL1-D009369	2	Preclinical	2	Preclinical	3
ACVRL1-D009369	3	Phase I	4	Phase II	1
ACVRL1-D009369	4	Phase II	4	Phase II	1
ACVRL1-D010051	4	Phase II	4	Phase II	1
ACVRL1-D011471	2	Preclinical	4	Phase II	1
ACVRL1-D013274	4	Phase II	4	Phase II	1
ACVRL1-D013789	6	Launched	6	Launched	1
ACVRL1-D015179	4	Phase II	4	Phase II	1
ACVRL1-D016889	4	Phase II	4	Phase II	1
ACVRL1-D018307	4	Phase II	4	Phase II	1
ACVRL1-D020388	3	Phase I	3	Phase I	1
ACVRL1-D020388	3	Phase I	4	Phase II	1
ACVRL1-D020391	3	Phase I	3	Phase I	1
ACVRL1-D020391	4	Phase II	4	Phase II	1
ACVRL1-D055728	5	Phase III	6	Launched	1
ADA-D007154	2	Preclinical	6	Launched	1
ADA-D007249	2	Preclinical	2	Preclinical	1
ADA-D009369	2	Preclinical	2	Preclinical	3
ADA-D012595	2	Preclinical	2	Preclinical	1
ADA-D012595	2	Preclinical	6	Launched	1
ADA-D015470	2	Preclinical	2	Preclinical	1
ADA-D045743	2	Preclinical	2	Preclinical	1
ADA-D045743	2	Preclinical	6	Launched	1
ADA-D045745	2	Preclinical	2	Preclinical	1
ADA-D045745	2	Preclinical	6	Launched	1
ADA-SDI0168	2	Preclinical	2	Preclinical	2
ADA-SDI0168	6	Launched	6	Launched	1
ADAM10-D001943	4	Phase II	4	Phase II	1
ADAM10-D002289	4	Phase II	4	Phase II	1
ADAM10-D003928	4	Phase II	4	Phase II	1
ADAM10-D006258	4	Phase II	4	Phase II	1
ADAM10-D009369	4	Phase II	4	Phase II	1
ADAM10-D011471	4	Phase II	4	Phase II	1
ADAM10-D015179	4	Phase II	4	Phase II	1
ADAM15-D001749	2	Preclinical	2	Preclinical	1
ADAM15-D001943	2	Preclinical	2	Preclinical	1
ADAM15-D008545	4	Phase II	4	Phase II	1
ADAM15-D011471	2	Preclinical	2	Preclinical	1
ADAM15-D057135	2	Preclinical	2	Preclinical	1
ADAM17-D001168	2	Preclinical	2	Preclinical	4
ADAM17-D001172	2	Preclinical	2	Preclinical	4
ADAM17-D001172	3	Phase I	3	Phase I	2
ADAM17-D001778	2	Preclinical	2	Preclinical	1
ADAM17-D001943	2	Preclinical	2	Preclinical	1
ADAM17-D001943	3	Phase I	3	Phase I	1
ADAM17-D001943	4	Phase II	4	Phase II	1
ADAM17-D002289	4	Phase II	4	Phase II	1
ADAM17-D002545	2	Preclinical	2	Preclinical	1
ADAM17-D003920	2	Preclinical	2	Preclinical	1
ADAM17-D003928	4	Phase II	4	Phase II	1
ADAM17-D005185	3	Phase I	3	Phase I	1
ADAM17-D006258	2	Preclinical	2	Preclinical	1
ADAM17-D006258	4	Phase II	4	Phase II	1
ADAM17-D007249	2	Preclinical	2	Preclinical	6
ADAM17-D009369	2	Preclinical	2	Preclinical	2
ADAM17-D009369	4	Phase II	4	Phase II	1
ADAM17-D010051	3	Phase I	3	Phase I	1
ADAM17-D010534	3	Phase I	3	Phase I	1
ADAM17-D011471	4	Phase II	4	Phase II	1
ADAM17-D011565	2	Preclinical	2	Preclinical	1
ADAM17-D012120	2	Preclinical	2	Preclinical	2
ADAM17-D013921	2	Preclinical	2	Preclinical	1
ADAM17-D015179	4	Phase II	4	Phase II	1
ADAM17-D015212	2	Preclinical	2	Preclinical	1
ADAM17-D018307	2	Preclinical	2	Preclinical	1
ADAM17-D018805	2	Preclinical	2	Preclinical	1
