ti_uid	gene	indication_mesh_id	indication_mesh_term
ADRB1-D013617	ADRB1	D013617	Tachycardia, Supraventricular
ADRB1-D014693	ADRB1	D014693	Ventricular Fibrillation
ADRB1-D017180	ADRB1	D017180	Tachycardia, Ventricular
ADRB2-D001249	ADRB2	D001249	Asthma
ADRB2-D001281	ADRB2	D001281	Atrial Fibrillation
ADRB2-D004646	ADRB2	D004646	Emphysema
ADRB2-D005901	ADRB2	D005901	Glaucoma
ADRB2-D006333	ADRB2	D006333	Heart Failure
ADRB2-D006973	ADRB2	D006973	Hypertension
ADRB2-D014693	ADRB2	D014693	Ventricular Fibrillation
ADRB2-D029424	ADRB2	D029424	Pulmonary Disease, Chronic Obstructive
ADRB2-D029481	ADRB2	D029481	Bronchitis, Chronic
ADRB3-D014549	ADRB3	D014549	Urinary Incontinence
ADRB3-D053201	ADRB3	D053201	Urinary Bladder, Overactive
AGT-D000086382	AGT	D000086382	COVID-19
AGT-D006973	AGT	D006973	Hypertension
AGT-D007022	AGT	D007022	Hypotension
AGT-D018805	AGT	D018805	Sepsis
AGTR1-D003928	AGTR1	D003928	Diabetic Nephropathies
AGTR1-D005922	AGTR1	D005922	Glomerulonephritis, IGA
AGTR1-D006333	AGTR1	D006333	Heart Failure
AGTR1-D006973	AGTR1	D006973	Hypertension
AGTR1-D006976	AGTR1	D006976	Hypertension, Pulmonary
AGTR1-D009203	AGTR1	D009203	Myocardial Infarction
AGTR1-D018149	AGTR1	D018149	Glucose Intolerance
AHR-D011565	AHR	D011565	Psoriasis
ALAS1-D011164	ALAS1	D011164	Porphyrias
ALDH1A1-D000437	ALDH1A1	D000437	Alcoholism
ALK-D002289	ALK	D002289	Carcinoma, Non-Small-Cell Lung
ALK-D009369	ALK	D009369	Neoplasms
ALK-D017728	ALK	D017728	Lymphoma, Large-Cell, Anaplastic
ALOX5-D001249	ALOX5	D001249	Asthma
ALOX5-D029424	ALOX5	D029424	Pulmonary Disease, Chronic Obstructive
ALPL-D007014	ALPL	D007014	Hypophosphatasia
AMY2A-D010188	AMY2A	D010188	Exocrine Pancreatic Insufficiency
ANGPT2-D008269	ANGPT2	D008269	Macular Edema
ANGPT2-D057135	ANGPT2	D057135	Wet Macular Degeneration
ANGPTL3-D006938	ANGPTL3	D006938	Hyperlipoproteinemia Type II
ANO1-D003967	ANO1	D003967	Diarrhea
ANPEP-D001943	ANPEP	D001943	Breast Neoplasms
ANPEP-D006258	ANPEP	D006258	Head and Neck Neoplasms
ANPEP-D006689	ANPEP	D006689	Hodgkin Disease
ANPEP-D008228	ANPEP	D008228	Lymphoma, Non-Hodgkin
ANPEP-D009101	ANPEP	D009101	Multiple Myeloma
ANPEP-D009396	ANPEP	D009396	Wilms Tumor
ANPEP-D009447	ANPEP	D009447	Neuroblastoma
ANPEP-D010051	ANPEP	D010051	Ovarian Neoplasms
ANPEP-D011471	ANPEP	D011471	Prostatic Neoplasms
ANPEP-D012208	ANPEP	D012208	Rhabdomyosarcoma
ANPEP-D012509	ANPEP	D012509	Sarcoma
ANPEP-D012512	ANPEP	D012512	Sarcoma, Ewing
ANPEP-D012516	ANPEP	D012516	Osteosarcoma
ANPEP-D013274	ANPEP	D013274	Stomach Neoplasms
ANPEP-D013964	ANPEP	D013964	Thyroid Neoplasms
ANPEP-D015451	ANPEP	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
ANPEP-D015470	ANPEP	D015470	Leukemia, Myeloid, Acute
ANPEP-D016889	ANPEP	D016889	Endometrial Neoplasms
ANPEP-D054198	ANPEP	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
ANTXR1-D000881	ANTXR1	D000881	Anthrax
APOB-D006938	APOB	D006938	Hyperlipoproteinemia Type II
APOC3-D008060	APOC3	D008060	Lipodystrophy
APOC3-D008072	APOC3	D008072	Hyperlipoproteinemia Type I
APOC3-D015228	APOC3	D015228	Hypertriglyceridemia
APP-D000544	APP	D000544	Alzheimer Disease
AR-D000086382	AR	D000086382	COVID-19
AR-D000152	AR	D000152	Acne Vulgaris
AR-D002100	AR	D002100	Cachexia
AR-D003924	AR	D003924	Diabetes Mellitus, Type 2
AR-D004414	AR	D004414	Dyspareunia
AR-D006519	AR	D006519	Hepatitis, Alcoholic
AR-D007006	AR	D007006	Hypogonadism
AR-D007751	AR	D007751	Labor, Induced
AR-D008593	AR	D008593	Menopause
AR-D011470	AR	D011470	Prostatic Hyperplasia
AR-D011471	AR	D011471	Prostatic Neoplasms
AR-D012735	AR	D012735	Sexual Dysfunction, Physiological
AR-D014424	AR	D014424	Turner Syndrome
AR-D020018	AR	D020018	Sexual Dysfunctions, Psychological
AR-D020249	AR	D020249	Hormone Replacement Therapy
ARHGEF2-D009503	ARHGEF2	D009503	Neutropenia
ARSB-D009087	ARSB	D009087	Mucopolysaccharidosis VI
ATP1A1-D005764	ATP1A1	D005764	Gastroesophageal Reflux
ATP1A1-D064420	ATP1A1	D064420	Drug-Related Side Effects and Adverse Reactions
ATP4A-D004381	ATP4A	D004381	Duodenal Ulcer
ATP4A-D004942	ATP4A	D004942	Esophagitis, Peptic
ATP4A-D005764	ATP4A	D005764	Gastroesophageal Reflux
ATP4A-D010437	ATP4A	D010437	Peptic Ulcer
ATP4A-D013276	ATP4A	D013276	Stomach Ulcer
ATP4A-D014456	ATP4A	D014456	Ulcer
ATP4A-D015043	ATP4A	D015043	Zollinger-Ellison Syndrome
ATP4A-D016481	ATP4A	D016481	Helicobacter Infections
AVPR1A-D001778	AVPR1A	D001778	Blood Coagulation Disorders
AVPR1A-D004700	AVPR1A	D004700	Endocrine System Diseases
AVPR1A-D004932	AVPR1A	D004932	Esophageal and Gastric Varices
AVPR1A-D006530	AVPR1A	D006530	Hepatorenal Syndrome
AVPR1A-D007010	AVPR1A	D007010	Hyponatremia
AVPR1A-D007247	AVPR1A	D007247	Infertility, Female
AVPR1B-D001778	AVPR1B	D001778	Blood Coagulation Disorders
AVPR1B-D004700	AVPR1B	D004700	Endocrine System Diseases
AVPR1B-D004932	AVPR1B	D004932	Esophageal and Gastric Varices
AVPR1B-D006530	AVPR1B	D006530	Hepatorenal Syndrome
AVPR2-D004487	AVPR2	D004487	Edema
AVPR2-D004489	AVPR2	D004489	Edema, Cardiac
AVPR2-D004932	AVPR2	D004932	Esophageal and Gastric Varices
AVPR2-D006333	AVPR2	D006333	Heart Failure
AVPR2-D006530	AVPR2	D006530	Hepatorenal Syndrome
AVPR2-D006973	AVPR2	D006973	Hypertension
AVPR2-D007010	AVPR2	D007010	Hyponatremia
AVPR2-D007177	AVPR2	D007177	Inappropriate ADH Syndrome
AVPR2-D007690	AVPR2	D007690	Polycystic Kidney Diseases
AVPR2-D011141	AVPR2	D011141	Polyuria
AXL-D007680	AXL	D007680	Kidney Neoplasms
AXL-D008113	AXL	D008113	Liver Neoplasms
AXL-D013964	AXL	D013964	Thyroid Neoplasms
AXL-D015470	AXL	D015470	Leukemia, Myeloid, Acute
BBOX1-D006333	BBOX1	D006333	Heart Failure
BBOX1-D007511	BBOX1	D007511	Ischemia
BCHE-D000544	BCHE	D000544	Alzheimer Disease
BCHE-D003704	BCHE	D003704	Dementia
BCKDK-D056806	BCKDK	D056806	Urea Cycle Disorders, Inborn
BCL2-D001943	BCL2	D001943	Breast Neoplasms
BCL2-D002289	BCL2	D002289	Carcinoma, Non-Small-Cell Lung
BCL2-D004938	BCL2	D004938	Esophageal Neoplasms
BCL2-D005770	BCL2	D005770	Gastrointestinal Neoplasms
BCL2-D007680	BCL2	D007680	Kidney Neoplasms
BCL2-D008113	BCL2	D008113	Liver Neoplasms
BCL2-D008228	BCL2	D008228	Lymphoma, Non-Hodgkin
BCL2-D008232	BCL2	D008232	Lymphoproliferative Disorders
BCL2-D008545	BCL2	D008545	Melanoma
BCL2-D009101	BCL2	D009101	Multiple Myeloma
BCL2-D009369	BCL2	D009369	Neoplasms
BCL2-D010190	BCL2	D010190	Pancreatic Neoplasms
BCL2-D011471	BCL2	D011471	Prostatic Neoplasms
BCL2-D015179	BCL2	D015179	Colorectal Neoplasms
BCL2-D015451	BCL2	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
BCL2-D015464	BCL2	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
BCL2-D015470	BCL2	D015470	Leukemia, Myeloid, Acute
BCL2-D016393	BCL2	D016393	Lymphoma, B-Cell
BCL2-D020522	BCL2	D020522	Lymphoma, Mantle-Cell
BCL2-D055752	BCL2	D055752	Small Cell Lung Carcinoma
BCR-D004686	BCR	D004686	Encephalomyocarditis virus
BCR-D006976	BCR	D006976	Hypertension, Pulmonary
BCR-D008415	BCR	D008415	Mastocytosis
BCR-D009190	BCR	D009190	Myelodysplastic Syndromes
BCR-D012509	BCR	D012509	Sarcoma
BCR-D015464	BCR	D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
BCR-D015470	BCR	D015470	Leukemia, Myeloid, Acute
BCR-D017681	BCR	D017681	Hypereosinophilic Syndrome
BCR-D046152	BCR	D046152	Gastrointestinal Stromal Tumors
BCR-D054198	BCR	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
BDKRB2-D000799	BDKRB2	D000799	Angioedema
BDKRB2-D054179	BDKRB2	D054179	Angioedemas, Hereditary
BRAF-D002289	BRAF	D002289	Carcinoma, Non-Small-Cell Lung
BRAF-D005185	BRAF	D005185	Fallopian Tube Neoplasms
BRAF-D007680	BRAF	D007680	Kidney Neoplasms
BRAF-D008113	BRAF	D008113	Liver Neoplasms
BRAF-D008545	BRAF	D008545	Melanoma
BRAF-D010051	BRAF	D010051	Ovarian Neoplasms
BRAF-D010534	BRAF	D010534	Peritoneal Neoplasms
BRAF-D012509	BRAF	D012509	Sarcoma
BRAF-D013964	BRAF	D013964	Thyroid Neoplasms
BRAF-D015179	BRAF	D015179	Colorectal Neoplasms
BRAF-D031249	BRAF	D031249	Erdheim-Chester Disease
BRAF-D046152	BRAF	D046152	Gastrointestinal Stromal Tumors
BSG-D008113	BSG	D008113	Liver Neoplasms
BTK-D002289	BTK	D002289	Carcinoma, Non-Small-Cell Lung
BTK-D006086	BTK	D006086	Graft vs Host Disease
BTK-D008223	BTK	D008223	Lymphoma
BTK-D008228	BTK	D008228	Lymphoma, Non-Hodgkin
BTK-D008258	BTK	D008258	Waldenstrom Macroglobulinemia
BTK-D015451	BTK	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
BTK-D016393	BTK	D016393	Lymphoma, B-Cell
BTK-D016403	BTK	D016403	Lymphoma, Large B-Cell, Diffuse
BTK-D018442	BTK	D018442	Lymphoma, B-Cell, Marginal Zone
BTK-D020522	BTK	D020522	Lymphoma, Mantle-Cell
C1S-D000744	C1S	D000744	Anemia, Hemolytic, Autoimmune
C3-D000744	C3	D000744	Anemia, Hemolytic, Autoimmune
C3-D006457	C3	D006457	Hemoglobinuria, Paroxysmal
C3-D057092	C3	D057092	Geographic Atrophy
C5-D006457	C5	D006457	Hemoglobinuria, Paroxysmal
C5-D006463	C5	D006463	Hemolytic-Uremic Syndrome
C5-D009157	C5	D009157	Myasthenia Gravis
C5-D009471	C5	D009471	Neuromyelitis Optica
C5-D057092	C5	D057092	Geographic Atrophy
C5AR1-D014657	C5AR1	D014657	Vasculitis
C5AR1-D014890	C5AR1	D014890	Granulomatosis with Polyangiitis
C5AR1-D055953	C5AR1	D055953	Microscopic Polyangiitis
CA2-D005901	CA2	D005901	Glaucoma
CA2-D059352	CA2	D059352	Musculoskeletal Pain
CACNA1B-D000072716	CACNA1B	D000072716	Cancer Pain
CACNA1B-D009437	CACNA1B	D009437	Neuralgia
CACNA1B-D010149	CACNA1B	D010149	Pain, Postoperative
CACNA1B-D059226	CACNA1B	D059226	Nociceptive Pain
CACNA1C-D000787	CACNA1C	D000787	Angina Pectoris
CACNA1C-D000789	CACNA1C	D000789	Angina, Unstable
CACNA1C-D001750	CACNA1C	D001750	Urinary Bladder, Neurogenic
CACNA1C-D002545	CACNA1C	D002545	Brain Ischemia
CACNA1C-D004775	CACNA1C	D004775	Enuresis
CACNA1C-D006333	CACNA1C	D006333	Heart Failure
CACNA1C-D006973	CACNA1C	D006973	Hypertension
CACNA1C-D014549	CACNA1C	D014549	Urinary Incontinence
CACNA1C-D014555	CACNA1C	D014555	Urination Disorders
CACNA1C-D020521	CACNA1C	D020521	Stroke
CACNA1C-D053201	CACNA1C	D053201	Urinary Bladder, Overactive
CACNA1G-D000787	CACNA1G	D000787	Angina Pectoris
CACNA1G-D000789	CACNA1G	D000789	Angina, Unstable
CACNA1G-D006333	CACNA1G	D006333	Heart Failure
CACNA1G-D006973	CACNA1G	D006973	Hypertension
CACNA2D1-D001008	CACNA2D1	D001008	Anxiety Disorders
CACNA2D1-D003929	CACNA2D1	D003929	Diabetic Neuropathies
CACNA2D1-D004828	CACNA2D1	D004828	Epilepsies, Partial
CACNA2D1-D005356	CACNA2D1	D005356	Fibromyalgia
CACNA2D1-D008593	CACNA2D1	D008593	Menopause
CACNA2D1-D009437	CACNA2D1	D009437	Neuralgia
CACNA2D1-D012148	CACNA2D1	D012148	Restless Legs Syndrome
CACNA2D1-D051474	CACNA2D1	D051474	Neuralgia, Postherpetic
CACNA2D1-D059226	CACNA2D1	D059226	Nociceptive Pain
CALCA-D003027	CALCA	D003027	Cluster Headache
CALCA-D008881	CALCA	D008881	Migraine Disorders
CALCB-D008881	CALCB	D008881	Migraine Disorders
CALCR-C537701	CALCR	C537701	Hyperostosis corticalis deformans juvenilis
CALCR-D003922	CALCR	D003922	Diabetes Mellitus, Type 1
CALCR-D003924	CALCR	D003924	Diabetes Mellitus, Type 2
CALCR-D010001	CALCR	D010001	Osteitis Deformans
CALCR-D010024	CALCR	D010024	Osteoporosis
CALCR-D010144	CALCR	D010144	Paget's Disease, Mammary
CALCR-D010145	CALCR	D010145	Paget Disease, Extramammary
CALCRL-D008881	CALCRL	D008881	Migraine Disorders
CASR-D006934	CASR	D006934	Hypercalcemia
CASR-D006962	CASR	D006962	Hyperparathyroidism, Secondary
CASR-D049950	CASR	D049950	Hyperparathyroidism, Primary
CCL3-D008224	CCL3	D008224	Lymphoma, Follicular
CCL3-D008228	CCL3	D008228	Lymphoma, Non-Hodgkin
CCL3-D009101	CCL3	D009101	Multiple Myeloma
CCL3-D015451	CCL3	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
CCL3-D015470	CCL3	D015470	Leukemia, Myeloid, Acute
CCL4-D008224	CCL4	D008224	Lymphoma, Follicular
CCL4-D008228	CCL4	D008228	Lymphoma, Non-Hodgkin
CCL4-D009101	CCL4	D009101	Multiple Myeloma
CCL4-D015451	CCL4	D015451	Leukemia, Lymphocytic, Chronic, B-Cell
CCL4-D015470	CCL4	D015470	Leukemia, Myeloid, Acute
CCNB1-D004686	CCNB1	D004686	Encephalomyocarditis virus
CCNB1-D007946	CCNB1	D007946	Leukemia, Mast-Cell
CCNB1-D008415	CCNB1	D008415	Mastocytosis
CCNB1-D015470	CCNB1	D015470	Leukemia, Myeloid, Acute
CCNG1-D009369	CCNG1	D009369	Neoplasms
CCR4-D016399	CCR4	D016399	Lymphoma, T-Cell
CCR4-D016410	CCR4	D016410	Lymphoma, T-Cell, Cutaneous
CCR4-D016411	CCR4	D016411	Lymphoma, T-Cell, Peripheral
CCR5-D015658	CCR5	D015658	HIV Infections
CD19-D008224	CD19	D008224	Lymphoma, Follicular
CD19-D008228	CD19	D008228	Lymphoma, Non-Hodgkin
CD19-D009471	CD19	D009471	Neuromyelitis Optica
CD19-D016393	CD19	D016393	Lymphoma, B-Cell
CD19-D016403	CD19	D016403	Lymphoma, Large B-Cell, Diffuse
CD19-D018442	CD19	D018442	Lymphoma, B-Cell, Marginal Zone
CD19-D020522	CD19	D020522	Lymphoma, Mantle-Cell
CD19-D054198	CD19	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
CD2-D003922	CD2	D003922	Diabetes Mellitus, Type 1
CD2-D011565	CD2	D011565	Psoriasis
CD22-D007943	CD22	D007943	Leukemia, Hairy Cell
CD22-D054198	CD22	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
CD274-D001650	CD274	D001650	Bile Duct Neoplasms
CD274-D001749	CD274	D001749	Urinary Bladder Neoplasms
CD274-D001943	CD274	D001943	Breast Neoplasms
CD274-D002289	CD274	D002289	Carcinoma, Non-Small-Cell Lung
CD274-D006258	CD274	D006258	Head and Neck Neoplasms
CD274-D006689	CD274	D006689	Hodgkin Disease
CD274-D007680	CD274	D007680	Kidney Neoplasms
CD274-D008113	CD274	D008113	Liver Neoplasms
CD274-D008545	CD274	D008545	Melanoma
CD274-D009369	CD274	D009369	Neoplasms
CD274-D013274	CD274	D013274	Stomach Neoplasms
CD274-D014523	CD274	D014523	Urethral Neoplasms
CD274-D015179	CD274	D015179	Colorectal Neoplasms
CD274-D015266	CD274	D015266	Carcinoma, Merkel Cell
CD274-D016399	CD274	D016399	Lymphoma, T-Cell
CD274-D055752	CD274	D055752	Small Cell Lung Carcinoma
CD276-D001932	CD276	D001932	Brain Neoplasms
CD276-D005909	CD276	D005909	Glioblastoma
CD276-D008527	CD276	D008527	Medulloblastoma
CD276-D009447	CD276	D009447	Neuroblastoma
CD28-D012874	CD28	D012874	Skin Diseases, Infectious
CD33-D015470	CD33	D015470	Leukemia, Myeloid, Acute
CD38-D000075363	CD38	D000075363	Immunoglobulin Light-chain Amyloidosis
CD38-D009101	CD38	D009101	Multiple Myeloma
CD3E-D001201	CD3E	D001201	Ascites
CD3E-D003922	CD3E	D003922	Diabetes Mellitus, Type 1
CD3E-D006086	CD3E	D006086	Graft vs Host Disease
CD3E-D008224	CD3E	D008224	Lymphoma, Follicular
CD3E-D008228	CD3E	D008228	Lymphoma, Non-Hodgkin
CD3E-D008545	CD3E	D008545	Melanoma
CD3E-D009101	CD3E	D009101	Multiple Myeloma
CD3E-D016393	CD3E	D016393	Lymphoma, B-Cell
CD3E-D016403	CD3E	D016403	Lymphoma, Large B-Cell, Diffuse
CD3E-D054198	CD3E	D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
CD4-D015658	CD4	D015658	HIV Infections
CD44-D000152	CD44	D000152	Acne Vulgaris
CD44-D001168	CD44	D001168	Arthritis
CD44-D003668	CD44	D003668	Pressure Ulcer
CD44-D010003	CD44	D010003	Osteoarthritis
CD44-D014945	CD44	D014945	Wound Healing
CD6-D001172	CD6	D001172	Arthritis, Rheumatoid
CD6-D011565	CD6	D011565	Psoriasis
CD79B-D016403	CD79B	D016403	Lymphoma, Large B-Cell, Diffuse
CD80-D001171	CD80	D001171	Arthritis, Juvenile
CD80-D001172	CD80	D001172	Arthritis, Rheumatoid
CD80-D006086	CD80	D006086	Graft vs Host Disease
CD80-D015535	CD80	D015535	Arthritis, Psoriatic
CD86-D001171	CD86	D001171	Arthritis, Juvenile
CD86-D001172	CD86	D001172	Arthritis, Rheumatoid
CD86-D006086	CD86	D006086	Graft vs Host Disease
CD86-D015535	CD86	D015535	Arthritis, Psoriatic
CDK4-D001943	CDK4	D001943	Breast Neoplasms
CDK4-D055752	CDK4	D055752	Small Cell Lung Carcinoma
CDK6-D001943	CDK6	D001943	Breast Neoplasms
CDK6-D055752	CDK6	D055752	Small Cell Lung Carcinoma
CFTR-D003550	CFTR	D003550	Cystic Fibrosis
CFTR-D003967	CFTR	D003967	Diarrhea
CHRM1-D001657	CHRM1	D001657	Biliary Dyskinesia
CHRM1-D001714	CHRM1	D001714	Bipolar Disorder
CHRM1-D001750	CHRM1	D001750	Urinary Bladder, Neurogenic
CHRM1-D003863	CHRM1	D003863	Depression
CHRM1-D004415	CHRM1	D004415	Dyspepsia
CHRM1-D004775	CHRM1	D004775	Enuresis
CHRM1-D010437	CHRM1	D010437	Peptic Ulcer
CHRM1-D011618	CHRM1	D011618	Psychotic Disorders
CHRM1-D012559	CHRM1	D012559	Schizophrenia
CHRM1-D012798	CHRM1	D012798	Sialorrhea
CHRM1-D014549	CHRM1	D014549	Urinary Incontinence
CHRM1-D014555	CHRM1	D014555	Urination Disorders
CHRM1-D029424	CHRM1	D029424	Pulmonary Disease, Chronic Obstructive
CHRM1-D053201	CHRM1	D053201	Urinary Bladder, Overactive
CHRM1-D065631	CHRM1	D065631	Rhinitis, Allergic
CHRM2-D001657	CHRM2	D001657	Biliary Dyskinesia
CHRM2-D001714	CHRM2	D001714	Bipolar Disorder
CHRM2-D001750	CHRM2	D001750	Urinary Bladder, Neurogenic
CHRM2-D003863	CHRM2	D003863	Depression
CHRM2-D004415	CHRM2	D004415	Dyspepsia
CHRM2-D004775	CHRM2	D004775	Enuresis
CHRM2-D010437	CHRM2	D010437	Peptic Ulcer
CHRM2-D011618	CHRM2	D011618	Psychotic Disorders
CHRM2-D012559	CHRM2	D012559	Schizophrenia
CHRM2-D014549	CHRM2	D014549	Urinary Incontinence
CHRM2-D014555	CHRM2	D014555	Urination Disorders
CHRM2-D053201	CHRM2	D053201	Urinary Bladder, Overactive
CHRM3-D001249	CHRM3	D001249	Asthma
CHRM3-D001657	CHRM3	D001657	Biliary Dyskinesia
CHRM3-D001714	CHRM3	D001714	Bipolar Disorder
CHRM3-D001750	CHRM3	D001750	Urinary Bladder, Neurogenic
CHRM3-D003863	CHRM3	D003863	Depression
CHRM3-D004646	CHRM3	D004646	Emphysema
CHRM3-D004775	CHRM3	D004775	Enuresis
CHRM3-D005901	CHRM3	D005901	Glaucoma
CHRM3-D007637	CHRM3	D007637	Keratoconjunctivitis
CHRM3-D010437	CHRM3	D010437	Peptic Ulcer
CHRM3-D011183	CHRM3	D011183	Postoperative Complications
CHRM3-D011618	CHRM3	D011618	Psychotic Disorders
CHRM3-D012559	CHRM3	D012559	Schizophrenia
CHRM3-D012798	CHRM3	D012798	Sialorrhea
CHRM3-D012859	CHRM3	D012859	Sjogren's Syndrome
CHRM3-D014549	CHRM3	D014549	Urinary Incontinence
CHRM3-D014555	CHRM3	D014555	Urination Disorders
CHRM3-D014987	CHRM3	D014987	Xerostomia
CHRM3-D015352	CHRM3	D015352	Dry Eye Syndromes
